strategy,horizon_years,block_days,metric,statistic,value
LEAPS_95_50_TREASURY,20,63,terminal_wealth,p5,1.616694909
LEAPS_95_50_TREASURY,20,63,terminal_wealth,p10,2.866721107
LEAPS_95_50_TREASURY,20,63,terminal_wealth,p50,22.64946122
LEAPS_95_50_TREASURY,20,63,terminal_wealth,p90,179.4233737
LEAPS_95_50_TREASURY,20,63,terminal_wealth,p95,335.6782474
LEAPS_95_50_TREASURY,20,63,terminal_wealth,mean,93.72999615
LEAPS_95_50_TREASURY_ROLL_18M,20,63,cagr,p5,0.01783070214
LEAPS_95_50_TREASURY_ROLL_18M,20,63,cagr,p10,0.04994292899
LEAPS_95_50_TREASURY_ROLL_18M,20,63,cagr,p50,0.1703859416
LEAPS_95_50_TREASURY_ROLL_18M,20,63,cagr,p90,0.3035974788
LEAPS_95_50_TREASURY_ROLL_18M,20,63,cagr,p95,0.3448423109
LEAPS_95_50_TREASURY_ROLL_18M,20,63,cagr,mean,0.1743591857
LEAPS_95_50_TREASURY_ROLL_18M,20,63,terminal_wealth,p5,1.424008897
LEAPS_95_50_TREASURY_ROLL_18M,20,63,terminal_wealth,p10,2.650417709
LEAPS_95_50_TREASURY_ROLL_18M,20,63,terminal_wealth,p50,23.25851802
LEAPS_95_50_TREASURY_ROLL_18M,20,63,terminal_wealth,p90,200.849261
LEAPS_95_50_TREASURY_ROLL_18M,20,63,terminal_wealth,p95,374.4788704
LEAPS_95_50_TREASURY_ROLL_18M,20,63,terminal_wealth,mean,104.4548
SP500_1X,30,63,cagr,p5,0.06218612231
SP500_1X,30,63,cagr,p10,0.07287523252
SP500_1X,30,63,cagr,p50,0.1124602013
SP500_1X,30,63,cagr,p90,0.1520208582
SP500_1X,30,63,cagr,p95,0.1632783918
SP500_1X,30,63,cagr,mean,0.1124428301
SP500_1X,30,63,terminal_wealth,p5,6.11018781
SP500_1X,30,63,terminal_wealth,p10,8.25122486
SP500_1X,30,63,terminal_wealth,p50,24.46796482
SP500_1X,30,63,terminal_wealth,p90,69.80627221
SP500_1X,30,63,terminal_wealth,p95,93.4544488
SP500_1X,30,63,terminal_wealth,mean,33.77636138
UPRO_SMA_TO_SP500,30,63,cagr,p5,-0.009452523941
UPRO_SMA_TO_SP500,30,63,cagr,p10,0.01687502863
UPRO_SMA_TO_SP500,30,63,cagr,p50,0.1155671461
UPRO_SMA_TO_SP500,30,63,cagr,p90,0.2244542995
UPRO_SMA_TO_SP500,30,63,cagr,p95,0.2595365902
UPRO_SMA_TO_SP500,30,63,cagr,mean,0.1190808686
UPRO_SMA_TO_SP500,30,63,terminal_wealth,p5,0.7520618498
UPRO_SMA_TO_SP500,30,63,terminal_wealth,p10,1.652104593
UPRO_SMA_TO_SP500,30,63,terminal_wealth,p50,26.60336635
UPRO_SMA_TO_SP500,30,63,terminal_wealth,p90,434.909345
UPRO_SMA_TO_SP500,30,63,terminal_wealth,p95,1014.98785
UPRO_SMA_TO_SP500,30,63,terminal_wealth,mean,385.599815
UPRO60_TMF40,30,63,cagr,p5,0.0575716091
UPRO60_TMF40,30,63,cagr,p10,0.07817506693
UPRO60_TMF40,30,63,cagr,p50,0.1540275213
UPRO60_TMF40,30,63,cagr,p90,0.2349507398
UPRO60_TMF40,30,63,cagr,p95,0.2567609764
UPRO60_TMF40,30,63,cagr,mean,0.1554679433
UPRO60_TMF40,30,63,terminal_wealth,p5,5.361999894
UPRO60_TMF40,30,63,terminal_wealth,p10,9.565846817
UPRO60_TMF40,30,63,terminal_wealth,p50,73.54790329
UPRO60_TMF40,30,63,terminal_wealth,p90,561.8425348
UPRO60_TMF40,30,63,terminal_wealth,p95,949.9849723
UPRO60_TMF40,30,63,terminal_wealth,mean,242.5304069
LEAPS_80_25_TREASURY_ROLL_9M,30,63,cagr,p5,0.06980781005
LEAPS_80_25_TREASURY_ROLL_9M,30,63,cagr,p10,0.07918287799
