series,fund,lag,cost_bps,horizon_years,cohorts,first_entry,last_entry,min_terminal_multiple,median_terminal_multiple,min_cagr,median_cagr,min_ratio_vs_no_reserve,median_ratio_vs_no_reserve,max_ratio_vs_no_reserve,fraction_outperforming_no_reserve,cohort_kind
FIXED_85_15,UPRO,LAG2,25,30,120,1986-09-30,1996-08-30,33.48830978,66.13066521,0.1241582576,0.1499347464,0.6408886913,0.7218538958,0.8524733627,0,fresh_investor_reset
FIXED_90_10,SSO,LAG1,0,20,240,1986-09-30,2006-08-31,2.872624522,8.215345874,0.05417798698,0.1110440821,0.8138224952,0.9017295334,0.9816307963,0,fresh_investor_reset
FIXED_90_10,SSO,LAG1,0,30,120,1986-09-30,1996-08-30,25.98224617,38.36681121,0.1146890582,0.1292530799,0.7650525161,0.7978098558,0.8468230579,0,fresh_investor_reset
FIXED_90_10,SSO,LAG1,25,20,240,1986-09-30,2006-08-31,2.045005039,5.903108449,0.03641745619,0.09282759103,0.8390245585,0.9351394833,1.019800301,0.0125,fresh_investor_reset
FIXED_90_10,SSO,LAG1,25,30,120,1986-09-30,1996-08-30,16.48553201,24.0156142,0.09791380972,0.111752323,0.8054551627,0.8402109371,0.8912559231,0,fresh_investor_reset
FIXED_90_10,SSO,LAG2,0,20,240,1986-09-30,2006-08-31,3.948610696,9.630790651,0.07108075458,0.1199003428,0.8091032528,0.8890979886,0.9543077975,0,fresh_investor_reset
FIXED_90_10,SSO,LAG2,0,30,120,1986-09-30,1996-08-30,28.98792934,46.4712246,0.1187636551,0.1365086478,0.7438543013,0.7818132781,0.8414764612,0,fresh_investor_reset
FIXED_90_10,SSO,LAG2,25,20,240,1986-09-30,2006-08-31,2.810206377,6.925242582,0.05302070542,0.1015658341,0.8340494874,0.9214420538,0.98923127,0,fresh_investor_reset
FIXED_90_10,SSO,LAG2,25,30,120,1986-09-30,1996-08-30,18.38927402,29.10938314,0.1019204157,0.1189253144,0.78223243,0.8234127254,0.8854624496,0,fresh_investor_reset
FIXED_90_10,UPRO,LAG1,0,20,240,1986-09-30,2006-08-31,3.104114874,12.04741652,0.05827098539,0.1325165192,0.8055139351,0.9168218985,1.033492465,0.02083333333,fresh_investor_reset
FIXED_90_10,UPRO,LAG1,0,30,120,1986-09-30,1996-08-30,45.54909501,77.78290318,0.1357431756,0.1561825035,0.7608185198,0.8082132044,0.8704772581,0,fresh_investor_reset
FIXED_90_10,UPRO,LAG1,25,20,240,1986-09-30,2006-08-31,2.212893498,8.650232711,0.04051423399,0.1138967681,0.8312690888,0.9530486863,1.075180761,0.1458333333,fresh_investor_reset
FIXED_90_10,UPRO,LAG1,25,30,120,1986-09-30,1996-08-30,28.94423403,49.02133931,0.118707404,0.1385141729,0.8016832108,0.8538641999,0.9175116144,0,fresh_investor_reset
FIXED_90_10,UPRO,LAG2,0,20,240,1986-09-30,2006-08-31,5.236454541,16.07191296,0.08630522109,0.1489559498,0.782869814,0.8904671151,0.964927035,0,fresh_investor_reset
FIXED_90_10,UPRO,LAG2,0,30,120,1986-09-30,1996-08-30,56.53466007,118.8478556,0.1439520677,0.172624279,0.7125845206,0.7703576826,0.8618956209,0,fresh_investor_reset
FIXED_90_10,UPRO,LAG2,25,20,240,1986-09-30,2006-08-31,3.731228955,11.67965034,0.06805248533,0.130753182,0.8109939583,0.924552514,1.003209113,0.004166666667,fresh_investor_reset
FIXED_90_10,UPRO,LAG2,25,30,120,1986-09-30,1996-08-30,35.91201978,74.39891085,0.1267795654,0.1544588027,0.7502992621,0.8116175176,0.9081284888,0,fresh_investor_reset
HWM_DRAWDOWN,SSO,LAG1,0,20,240,1986-09-30,2006-08-31,2.907925534,9.241352388,0.05482196339,0.117583907,0.9250478071,0.9927068044,1.044650553,0.3916666667,fresh_investor_reset
HWM_DRAWDOWN,SSO,LAG1,0,30,120,1986-09-30,1996-08-30,29.60035548,45.54594742,0.1195435523,0.1357339434,0.917490315,0.9594614018,0.9899577092,0,fresh_investor_reset
HWM_DRAWDOWN,SSO,LAG1,25,20,240,1986-09-30,2006-08-31,2.016454254,6.546255219,0.03568913128,0.09849888066,0.950914637,1.011264893,1.059930678,0.625,fresh_investor_reset
HWM_DRAWDOWN,SSO,LAG1,25,30,120,1986-09-30,1996-08-30,18.45993596,28.20266808,0.1020612877,0.11774566,0.9542644916,0.9958184706,1.026064562,0.35,fresh_investor_reset
