case,arm,dial,block_days,iv_premium,roll,treasury_leverage,horizon_years,paths,strategy,family,underlying,moneyness,premium_budget,mean_cagr,max_drawdown_median,worst_max_drawdown,prob_negative_cagr,prob_below_own_underlying,prob_below_sp500,cagr_p5,terminal_wealth_p5,cagr_p10,terminal_wealth_p10,cagr_p50,terminal_wealth_p50,cagr_p90,terminal_wealth_p90,cagr_p95,terminal_wealth_p95,max_drawdown_p90,max_drawdown_p95,prob_drawdown_worse_than_40,prob_drawdown_worse_than_50,prob_drawdown_worse_than_60,prob_drawdown_worse_than_75,mean_delta_exposure,mean_option_weight,treasury_notional,gross_notional
iv_premium,iv_0,iv_premium,63,0,12m,1,30,3000,NDX_85_20,NDX LEAPS,NASDAQ100_1X,0.85,0.2,0.138691975,-0.3849926325,-0.7250309416,0,0.6733333333,0.1813333333,0.07638992513,9.101909562,0.08951489036,13.09320861,0.1376416737,47.88962662,0.1882011434,176.5230805,0.2026450083,253.6500768,-0.5007612776,-0.538418436,0.4326666667,0.102,0.01366666667,0,0.6775363543,0.2233310236,0.7766689764,1.454411257
iv_premium,iv_0,iv_premium,63,0,12m,1,30,3000,NDX_85_25,NDX LEAPS,NASDAQ100_1X,0.85,0.25,0.1544508968,-0.438277933,-0.7811144747,0,0.428,0.09366666667,0.08077824318,10.28357242,0.09650443038,15.86231316,0.1530471207,71.69624208,0.2140684784,336.8301204,0.2315725672,517.516993,-0.5590963911,-0.600874542,0.6893333333,0.2486666667,0.051,0.001666666667,0.8369222614,0.2744944183,0.7255055817,1.562339056
iv_premium,iv_0,iv_premium,63,0,12m,1,30,3000,NDX_85_30,NDX LEAPS,NASDAQ100_1X,0.85,0.3,0.1686824298,-0.4920714974,-0.8387183513,0,0.1896666667,0.05966666667,0.08361739226,11.12568495,0.1003514025,17.61971558,0.1664807199,101.4889107,0.2389004515,618.3291164,0.2594054246,1011.821742,-0.6234037509,-0.6641854611,0.8906666667,0.4686666667,0.1416666667,0.007666666667,0.993572907,0.3245321814,0.6754678186,1.669155996
iv_premium,iv_0,iv_premium,63,0,12m,1,30,3000,NDX_85_35,NDX LEAPS,NASDAQ100_1X,0.85,0.35,0.1814348732,-0.5480037241,-0.8878978265,0,0.076,0.048,0.08464160483,11.44553477,0.1041249027,19.52567381,0.1790170286,139.8621792,0.2623338523,1084.841569,0.2862136141,1903.455435,-0.684877288,-0.7259272511,0.977,0.7093333333,0.3046666667,0.03366666667,1.148118794,0.3734608401,0.6265391599,1.774929684
iv_premium,iv_0,iv_premium,63,0,12m,1,30,3000,NDX_85_40,NDX LEAPS,NASDAQ100_1X,0.85,0.4,0.1927335576,-0.6041090138,-0.9257621539,0,0.04133333333,0.04233333333,0.08469654759,11.46295113,0.1054562222,20.24445465,0.1905176736,187.1458322,0.2840828617,1811.092418,0.3128442619,3520.126478,-0.7386115385,-0.7847955391,0.9986666667,0.8806666667,0.5156666667,0.08366666667,1.300985831,0.4215717349,0.5784282651,1.879704901
iv_premium,iv_0,iv_premium,63,0,12m,1,30,3000,NDX_85_45,NDX LEAPS,NASDAQ100_1X,0.85,0.45,0.2025830073,-0.6551916226,-0.9522703505,0.0006666666667,0.03833333333,0.04533333333,0.08231065826,10.73013277,0.1053323194,20.17650545,0.1999721419,237.2704603,0.3052424737,2957.292645,0.3363272886,5991.807197,-0.7880481978,-0.8310525536,0.9996666667,0.9606666667,0.707,0.189,1.453352207,0.4691018284,0.5308981716,1.98411531
iv_premium,iv_0,iv_premium,63,0,12m,1,30,3000,NDX_85_50,NDX LEAPS,NASDAQ100_1X,0.85,0.5,0.2109673286,-0.7036193003,-0.9740755917,0.002,0.04566666667,0.05333333333,0.07753205093,9.396161338,0.1029893728,18.93211636,0.2068674793,281.7729825,0.3253963154,4683.17401,0.3595144619,10039.23255,-0.8336674638,-0.8727713064,1,0.9923333333,0.856,0.3233333333,1.604476475,0.5160568792,0.4839431208,2.088180994
iv_premium,iv_0,iv_premium,63,0,12m,1,30,3000,NDX_90_20,NDX LEAPS,NASDAQ100_1X,0.9,0.2,0.1448481627,-0.4034579706,-0.739291327,0,0.589,0.148,0.07814748054,9.558514019,0.09116907528,13.7029271,0.1433035642,55.58099795,0.1987030659,229.8562334,0.2148864408,343.7054161,-0.5208401042,-0.5595929467,0.5186666667,0.142,0.022,0,0.7321692611,0.2244569997,0.7755430003,1.508037715
iv_premium,iv_0,iv_premium,63,0,12m,1,30,3000,NDX_90_25,NDX LEAPS,NASDAQ100_1X,0.9,0.25,0.1614216085,-0.460146328,-0.7982687861,0,0.3143333333,0.077,0.08158757878,10.51713476,0.09836225169,16.68875903,0.1598242007,85.47776166,0.2266753551,459.2092969,0.2462300692,738.0363434,-0.5843092605,-0.6260265847,0.78,0.3326666667,0.07666666667,0.003333333333,0.9033975481,0.2754756959,0.7245243041,1.628047659
iv_premium,iv_0,iv_premium,63,0,12m,1,30,3000,NDX_90_30,NDX LEAPS,NASDAQ100_1X,0.9,0.3,0.1762484249,-0.517615739,-0.85918164,0,0.1203333333,0.057,0.08386843753,11.20327692,0.1026411793,18.7535926,0.1735886693,121.7790031,0.2534750012,878.2226335,0.2765714279,1518.793957,-0.6488322937,-0.6887485338,0.9366666667,0.5793333333,0.203,0.016,1.071515579,0.3251687338,0.6748312662,1.746010588
