series,fund,lag,cost_bps,deployment,cap,harvest,rebalance,average_reserve_weight,median_reserve_weight,fraction_reserve_zero,fraction_reserve_at_cap,fraction_reserve_above_cap,average_risky_exposure,average_effective_equity_exposure,average_leverage,average_total_safe_asset_weight,average_risky_sleeve_leverage,fraction_at_1x,fraction_at_2x,fraction_at_3x,fraction_sleeve_at_1x,fraction_sleeve_at_2x,fraction_sleeve_at_3x
HWM_DRAWDOWN,SSO,LAG1,0,drawdown,0.15,0.1,rule,0.06156375867,0.0606534629,0.0610398648,0,0.01043841336,0.9384362413,1.651218681,1.651218681,0.06156375867,1.757431156,0.02028034596,0.04075951884,0,0.2425688438,0.7574311562,0
BAND_DRAWDOWN,SSO,LAG1,0,drawdown,0.2,0.1,rule,0.06879126531,0.0735738606,0.09543692216,0,0,0.9312087347,1.638033064,1.638033064,0.06879126531,1.757431156,0.03022169202,0.06521523014,0,0.2425688438,0.7574311562,0
SP500_1X,SSO,LAG1,0,none,0,0,none,0,0,1,,,1,1,1,0,1,1,0,0,1,0,0
SSO_ALWAYS,SSO,LAG1,0,none,0,0,none,0,0,1,,,1,2,2,0,2,0,1,0,0,1,0
SSO_SMA_TO_TBILL,SSO,LAG1,0,none,0,0,none,0,0,1,,,1,1.514862312,1.514862312,0.2425688438,1.514862312,0,0.7574311562,0,0,0.7574311562,0
NO_RESERVE,SSO,LAG1,10,staged,0.15,0.1,rule,0,0,1,,,1,1.757431156,1.757431156,0,1.757431156,0.2425688438,0.7574311562,0,0.2425688438,0.7574311562,0
FIXED_90_10,SSO,LAG1,10,staged,0.15,0.1,quarterly,0.09866616764,0.09791913132,0,,,0.9013338324,1.585575881,1.585575881,0.09866616764,1.757431156,0,0,0,0.2425688438,0.7574311562,0
FIXED_85_15,SSO,LAG1,10,staged,0.15,0.1,quarterly,0.1480525109,0.1470486909,0,,,0.8519474891,1.499414004,1.499414004,0.1480525109,1.757431156,0,0,0,0.2425688438,0.7574311562,0
HWM_RESERVE,SSO,LAG1,10,staged,0.15,0.1,rule,0.009661506683,0.001016127684,0.4310567651,0,0,0.9903384933,1.739764121,1.739764121,0.009661506683,1.757431156,0.1452430659,0.2858136992,0,0.2425688438,0.7574311562,0
ASYMMETRIC_RESERVE_BAND,SSO,LAG1,10,staged,0.2,0.1,rule,0.04012354898,0.01184872472,0.3590814196,0,0,0.959876451,1.683035323,1.683035323,0.04012354898,1.757431156,0.1043841336,0.254697286,0,0.2425688438,0.7574311562,0
HWM_DRAWDOWN,SSO,LAG1,10,drawdown,0.15,0.1,rule,0.05931127393,0.05709321003,0.095834576,0,0.009344865295,0.9406887261,1.655125568,1.655125568,0.05931127393,1.757431156,0.0305199324,0.0653146436,0,0.2425688438,0.7574311562,0
BAND_DRAWDOWN,SSO,LAG1,10,drawdown,0.2,0.1,rule,0.06876208343,0.0735738606,0.09543692216,0,0,0.9312379166,1.638082934,1.638082934,0.06876208343,1.757431156,0.03022169202,0.06521523014,0,0.2425688438,0.7574311562,0
SP500_1X,SSO,LAG1,10,none,0,0,none,0,0,1,,,1,1,1,0,1,1,0,0,1,0,0
SSO_ALWAYS,SSO,LAG1,10,none,0,0,none,0,0,1,,,1,2,2,0,2,0,1,0,0,1,0
SSO_SMA_TO_TBILL,SSO,LAG1,10,none,0,0,none,0,0,1,,,1,1.514862312,1.514862312,0.2425688438,1.514862312,0,0.7574311562,0,0,0.7574311562,0
NO_RESERVE,SSO,LAG1,25,staged,0.15,0.1,rule,0,0,1,,,1,1.757431156,1.757431156,0,1.757431156,0.2425688438,0.7574311562,0,0.2425688438,0.7574311562,0
FIXED_90_10,SSO,LAG1,25,staged,0.15,0.1,quarterly,0.09866616764,0.09791913132,0,,,0.9013338324,1.585575881,1.585575881,0.09866616764,1.757431156,0,0,0,0.2425688438,0.7574311562,0
FIXED_85_15,SSO,LAG1,25,staged,0.15,0.1,quarterly,0.1480525109,0.1470486909,0,,,0.8519474891,1.499414004,1.499414004,0.1480525109,1.757431156,0,0,0,0.2425688438,0.7574311562,0
HWM_RESERVE,SSO,LAG1,25,staged,0.15,0.1,rule,0.008769909247,0.0005664612566,0.4457699573,0,0,0.9912300908,1.741508684,1.741508684,0.008769909247,1.757431156,0.1452430659,0.3005268913,0,0.2425688438,0.7574311562,0
ASYMMETRIC_RESERVE_BAND,SSO,LAG1,25,staged,0.2,0.1,rule,0.04012174407,0.01183369231,0.3590814196,0,0,0.9598782559,1.683038403,1.683038403,0.04012174407,1.757431156,0.1043841336,0.254697286,0,0.2425688438,0.7574311562,0
HWM_DRAWDOWN,SSO,LAG1,25,drawdown,0.15,0.1,rule,0.05571599977,0.05151978545,0.1079630182,0,0.007257182623,0.9442840002,1.661538593,1.661538593,0.05571599977,1.757431156,0.03121582662,0.07674719157,0,0.2425688438,0.7574311562,0
BAND_DRAWDOWN,SSO,LAG1,25,drawdown,0.2,0.1,rule,0.06871785904,0.0735738606,0.09543692216,0,0,0.931282141,1.638158509,1.638158509,0.06871785904,1.757431156,0.03022169202,0.06521523014,0,0.2425688438,0.7574311562,0
SP500_1X,SSO,LAG1,25,none,0,0,none,0,0,1,,,1,1,1,0,1,1,0,0,1,0,0
SSO_ALWAYS,SSO,LAG1,25,none,0,0,none,0,0,1,,,1,2,2,0,2,0,1,0,0,1,0
SSO_SMA_TO_TBILL,SSO,LAG1,25,none,0,0,none,0,0,1,,,1,1.514862312,1.514862312,0.2425688438,1.514862312,0,0.7574311562,0,0,0.7574311562,0
NO_RESERVE,SSO,LAG1,50,staged,0.15,0.1,rule,0,0,1,,,1,1.757431156,1.757431156,0,1.757431156,0.2425688438,0.7574311562,0,0.2425688438,0.7574311562,0
