strategy,horizon_years,block_days,paths,mean_cagr,sd_cagr,mean_terminal_wealth,median_max_drawdown,max_drawdown_p90,max_drawdown_p95,worst_max_drawdown,median_annualized_volatility,median_min_wealth,p5_min_wealth,prob_negative_10y,prob_negative_20y,negative_20y_basis,prob_below_SP500_1X,prob_below_LEAPS_85_30_TSY100,prob_below_LEAPS_95_50_TSY100,cagr_p5,terminal_wealth_p5,cagr_p10,terminal_wealth_p10,cagr_p50,terminal_wealth_p50,cagr_p90,terminal_wealth_p90,cagr_p95,terminal_wealth_p95,prob_drawdown_worse_than_40,prob_drawdown_worse_than_50,prob_drawdown_worse_than_60,prob_drawdown_worse_than_75,mean_delta_exposure_median,mean_delta_exposure_p5,mean_delta_exposure_p95,treasury_notional_median,treasury_notional_p5,treasury_notional_p95,gross_notional_median,gross_notional_p5,gross_notional_p95
LEAPS_80_25_TSY100,20,126,2000,0.1207514494,0.03886877342,12.22767601,-0.3395938238,-0.4555470816,-0.5019196974,-0.7110196089,0.165643792,0.931267975,0.7106705887,0.01436666667,0.001,across paths,0.367,0.891,0.809,0.05763565145,3.067058127,0.07021775663,3.885465603,0.1208417391,9.792340597,0.1706506323,23.36394175,0.1847585698,29.68911191,0.2385,0.0525,0.0065,0,0.8986396721,0.8174662212,0.9671956875,0.7319066571,0.7106791206,0.7562260665,1.629469223,1.568771356,1.68379999
LEAPS_85_30_TSY100,20,126,2000,0.1365636345,0.04957890958,18.40885784,-0.4007249107,-0.5302898072,-0.5721917865,-0.8037638484,0.205893477,0.9068931321,0.6463007379,0.0236625,0.003,across paths,0.155,0,0.7735,0.05646381466,2.999802456,0.07325260619,4.11186687,0.1347966243,12.5418342,0.2014437281,39.27071158,0.2185524935,52.10565542,0.5015,0.1525,0.032,0.001,1.186450896,1.067718895,1.28909364,0.6806316133,0.6549606694,0.7103861697,1.865115987,1.769815497,1.951185412
LEAPS_95_50_TSY100,20,126,2000,0.1766911161,0.09783625774,92.25764891,-0.6530529748,-0.8062520053,-0.8462508215,-0.9720381797,0.3920271876,0.7644036564,0.3240903693,0.08929583333,0.025,across paths,0.1475,0.2265,0,0.02466027688,1.627788619,0.05240524252,2.777538344,0.171647948,23.76534897,0.30827631,215.7692809,0.3423250886,360.708241,0.999,0.9475,0.691,0.203,2.326837995,2.073294167,2.569109252,0.4885394019,0.4528643367,0.5304021479,2.814235786,2.586488548,3.035757824
LEAPS_80_25_TSY125,20,126,2000,0.1235957514,0.04147731989,13.24942303,-0.3674383143,-0.4999652329,-0.5471026581,-0.7673171042,0.1771219799,0.9234660938,0.6712273572,0.018625,0.0015,across paths,0.354,0.8045,0.7875,0.05454059857,2.892451559,0.07088868186,3.934473802,0.1236834599,10.30101271,0.1778895082,26.42963144,0.1926660048,33.91382978,0.3695,0.1,0.0205,0.0005,0.8988876157,0.8160190175,0.9687784953,0.9147902311,0.8876478796,0.9456034162,1.812149492,1.753291237,1.864768152
LEAPS_85_30_TSY125,20,126,2000,0.1394469779,0.05129416125,19.79856124,-0.4208213232,-0.5580322684,-0.6050936963,-0.8403207993,0.2130554241,0.9013168255,0.6158272507,0.02625,0.003,across paths,0.1695,0.299,0.749,0.05540763902,2.940388195,0.07405076626,4.173464512,0.1391736762,13.545618,0.2060736127,42.41078692,0.2257047934,58.5757937,0.5955,0.2175,0.054,0.002,1.186509511,1.06610055,1.291705525,0.850936507,0.8178884169,0.8885427309,2.0356537,1.943534935,2.118318253
LEAPS_95_50_TSY125,20,126,2000,0.179434499,0.09811875597,96.532261,-0.657391661,-0.809939347,-0.8477093093,-0.9734794085,0.3921566067,0.7638668087,0.321745999,0.08656666667,0.024,across paths,0.139,0.2035,0.2715,0.0286797758,1.760456608,0.05527741872,2.933140751,0.1737032411,24.61308678,0.3107777681,224.1722126,0.3466866987,384.885428,0.9985,0.9475,0.705,0.204,2.325839154,2.07039685,2.569446353,0.6105462944,0.5653895843,0.6636887131,2.935034437,2.711868169,3.151636438
LEAPS_80_25_TSY150,20,126,2000,0.1258450234,0.04461767488,14.33143509,-0.3998231207,-0.5463747074,-0.5954798435,-0.8142496749,0.1908432752,0.913566169,0.6309086787,0.02429583333,0.002,across paths,0.3525,0.719,0.7685,0.0490353509,2.60496978,0.0688740334,3.789053378,0.1258266471,10.70115062,0.183017536,28.82860976,0.1994650657,37.99731143,0.4985,0.179,0.0455,0.0025,0.8992919105,0.814233851,0.9704288634,1.09747375,1.064401321,1.134734656,1.994828639,1.939285356,2.045205841
LEAPS_85_30_TSY150,20,126,2000,0.1417946064,0.05348256186,21.25962646,-0.4447933365,-0.5922216712,-0.6391017464,-0.8712489327,0.2223561282,0.8949707653,0.5857351695,0.02989166667,0.003,across paths,0.191,0.3165,0.723,0.0540198709,2.864019868,0.07359354054,4.138070021,0.1417878058,14.181038,0.210346647,45.51928688,0.231103773,63.95776262,0.678,0.303,0.0885,0.005,1.187681421,1.063901565,1.294096494,1.020615383,0.9807020278,1.06590375,2.205884788,2.116713678,2.285501451
LEAPS_95_50_TSY150,20,126,2000,0.1818403892,0.09860031755,100.8774662,-0.6599596563,-0.8138940159,-0.8564117464,-0.9775924304,0.3929839393,0.7642521,0.3178959095,0.08504583333,0.0235,across paths,0.1345,0.184,0.281,0.0291038089,1.774942221,0.05819314982,3.099557409,0.176912675,25.99476818,0.3135229533,233.7511461,0.3499172146,403.7780725,0.9985,0.9525,0.7205,0.21,2.325223505,2.067968716,2.569264548,0.7328058703,0.6775244039,0.7970975701,3.057204236,2.840881875,3.268800056
LEAPS_80_25_TSY200,20,126,2000,0.128549288,0.0520420627,16.67638594,-0.4673873194,-0.6311044187,-0.6851594668,-0.8853141652,0.2232833083,0.8906567569,0.5390253275,0.04062083333,0.0045,across paths,0.362,0.619,0.737,0.04096438583,2.232120493,0.06219324294,3.342494486,0.1290643408,11.33375529,0.1951136547,35.33332274,0.2153711868,49.45142753,0.746,0.4025,0.147,0.0185,0.9019917807,0.8139837216,0.9774957562,1.46183826,1.415932285,1.513575842,2.361735353,2.309986682,2.408848699
