strategy,horizon_years,block_days,threshold,probability
LEAPS_85_30_TREASURY,30,63,0.75,0.0014
LEAPS_85_30_TREASURY_ROLL_18M,30,63,0.4,0.7164
LEAPS_85_30_TREASURY_ROLL_18M,30,63,0.5,0.2554
LEAPS_85_30_TREASURY_ROLL_18M,30,63,0.6,0.0546
LEAPS_85_30_TREASURY_ROLL_18M,30,63,0.75,0.0014
LEAPS_95_50_TREASURY_ROLL_9M,30,63,0.4,1
LEAPS_95_50_TREASURY_ROLL_9M,30,63,0.5,0.982
LEAPS_95_50_TREASURY_ROLL_9M,30,63,0.6,0.7842
LEAPS_95_50_TREASURY_ROLL_9M,30,63,0.75,0.2448
LEAPS_95_50_TREASURY,30,63,0.4,1
LEAPS_95_50_TREASURY,30,63,0.5,0.9906
LEAPS_95_50_TREASURY,30,63,0.6,0.8328
LEAPS_95_50_TREASURY,30,63,0.75,0.299
LEAPS_95_50_TREASURY_ROLL_18M,30,63,0.4,1
LEAPS_95_50_TREASURY_ROLL_18M,30,63,0.5,0.9952
LEAPS_95_50_TREASURY_ROLL_18M,30,63,0.6,0.8894
LEAPS_95_50_TREASURY_ROLL_18M,30,63,0.75,0.372
