series,fund,lag,cost_bps,deployment,cap,harvest,rebalance,entry_close,first_return,last_return,observations,cagr,max_drawdown,terminal_multiple,years,annualized_volatility,sharpe,longest_underwater_calendar_days,max_drawdown_peak,max_drawdown_trough,max_drawdown_recovery,max_drawdown_recovered,max_drawdown_recovery_days_from_trough,max_drawdown_recovery_days_from_peak,worst_calendar_year,worst_calendar_year_return,best_calendar_year,best_calendar_year_return,worst_rolling_1y_cagr,worst_rolling_5y_cagr,worst_rolling_10y_cagr,worst_rolling_20y_cagr,cohort_20y_count,cohort_20y_min_cagr,cohort_20y_median_cagr,worst_rolling_30y_cagr,cohort_30y_count,cohort_30y_min_cagr,cohort_30y_median_cagr,switch_count,switches_per_year,average_reserve_weight,median_reserve_weight,fraction_reserve_zero,fraction_reserve_at_cap,fraction_reserve_above_cap,average_risky_exposure,average_effective_equity_exposure,average_leverage,average_total_safe_asset_weight,average_risky_sleeve_leverage,fraction_at_1x,fraction_at_2x,fraction_at_3x,fraction_sleeve_at_1x,fraction_sleeve_at_2x,fraction_sleeve_at_3x,reserve_accumulation_trades,reserve_deployment_trades,reserve_rebalance_sell_trades,leverage_state_trades,traded_transition_days,total_charged_transitions,reserve_turnover,risky_sleeve_turnover,net_asset_turnover,sum_dollar_costs,direct_log_cost_drag,direct_wealth_cost_drag,total_trading_cost_drag,cost_cagr_drag,rolling_20y_min_terminal_multiple,rolling_20y_median_terminal_multiple,rolling_30y_min_terminal_multiple,rolling_30y_median_terminal_multiple
MATCHED_FIXED_FOR_ASYMMETRIC_RESERVE_BAND,UPRO,LAG1,10,none,0.05,0,quarterly,1986-09-26,1986-09-29,2026-09-02,10059,0.1704083619,-0.7483992721,535.8044212,39.93429158,0.3566044842,0.5337019705,5109,1999-07-16,2009-03-09,2013-07-11,True,1585,5109,2000,-0.4756783492,1995,1.153374532,-0.5242822429,-0.1726578035,-0.1176273224,0.04013954913,240,0.05003368074,0.1275750485,0.127522668,120,0.1315087991,0.1529699064,0,0,0.04926913927,0.04867711971,0,,,0.9507308607,2.393213817,2.393213817,0.04926913927,2.514862312,0,0,0,0.2425688438,0,0.7574311562,101,0,59,261,417,417,1.071247398,246.5363381,247.5799019,10.86977823,0.2476964242,0.2194031223,0.2194031223,0.007282135268,2.655000415,11.03902624,40.72035174,71.58027708
MATCHED_FIXED_FOR_HWM_DRAWDOWN,UPRO,LAG1,10,none,0.05,0,quarterly,1986-09-26,1986-09-29,2026-09-02,10059,0.1704083619,-0.7483992721,535.8044212,39.93429158,0.3566044842,0.5337019705,5109,1999-07-16,2009-03-09,2013-07-11,True,1585,5109,2000,-0.4756783492,1995,1.153374532,-0.5242822429,-0.1726578035,-0.1176273224,0.04013954913,240,0.05003368074,0.1275750485,0.127522668,120,0.1315087991,0.1529699064,0,0,0.04926913927,0.04867711971,0,,,0.9507308607,2.393213817,2.393213817,0.04926913927,2.514862312,0,0,0,0.2425688438,0,0.7574311562,101,0,59,261,417,417,1.071247398,246.5363381,247.5799019,10.86977823,0.2476964242,0.2194031223,0.2194031223,0.007282135268,2.655000415,11.03902624,40.72035174,71.58027708
MATCHED_FIXED_FOR_BAND_DRAWDOWN,UPRO,LAG1,10,none,0.05,0,quarterly,1986-09-26,1986-09-29,2026-09-02,10059,0.1704083619,-0.7483992721,535.8044212,39.93429158,0.3566044842,0.5337019705,5109,1999-07-16,2009-03-09,2013-07-11,True,1585,5109,2000,-0.4756783492,1995,1.153374532,-0.5242822429,-0.1726578035,-0.1176273224,0.04013954913,240,0.05003368074,0.1275750485,0.127522668,120,0.1315087991,0.1529699064,0,0,0.04926913927,0.04867711971,0,,,0.9507308607,2.393213817,2.393213817,0.04926913927,2.514862312,0,0,0,0.2425688438,0,0.7574311562,101,0,59,261,417,417,1.071247398,246.5363381,247.5799019,10.86977823,0.2476964242,0.2194031223,0.2194031223,0.007282135268,2.655000415,11.03902624,40.72035174,71.58027708
FIXED_90_10,UPRO,LAG1,10,none,0.1,0,monthly,1986-09-26,1986-09-29,2026-09-02,10059,0.1656166041,-0.7212581145,454.8369512,39.93429158,0.3374383971,0.5318084137,5051,1999-07-16,2009-03-09,2013-05-14,True,1527,5051,2000,-0.451703927,1995,1.074004936,-0.5021403289,-0.1605781362,-0.1088900368,0.04044691656,240,0.04989849201,0.1240657189,0.1249514878,120,0.1287096604,0.148528805,0,0,0.09947229014,0.09922480459,0,,,0.9005277099,2.266444362,2.266444362,0.09947229014,2.514862312,0,0,0,0.2425688438,0,0.7574311562,284,0,196,261,728,728,3.418140366,233.4477751,236.725596,9.423845777,0.2368300877,0.2108746413,0.2108746413,0.006933220994,2.648172301,10.37132425,37.80412967,63.75353936
FIXED_85_15,UPRO,LAG1,10,none,0.15,0,monthly,1986-09-26,1986-09-29,2026-09-02,10059,0.1607358416,-0.6904083254,384.6646426,39.93429158,0.3184360445,0.5304891136,5044,1999-07-16,2009-03-09,2013-05-07,True,1520,5044,2000,-0.427956045,1995,1.00063637,-0.4787733706,-0.1481686517,-0.1000296859,0.04132250718,240,0.05016115118,0.1211303086,0.1221277983,120,0.1256737089,0.1441049959,0,0,0.149216114,0.1489013334,0,,,0.850783886,2.142065072,2.142065072,0.149216114,2.514862312,0,0,0,0.2425688438,0,0.7574311562,284,0,196,261,728,728,4.839798468,219.8117942,224.4544068,8.061936086,0.2245470749,0.2011220313,0.2011220313,0.006545101483,2.661454011,9.842873457,34.8695278,56.79338085
FIXED_90_10,UPRO,LAG1,10,none,0.1,0,annual,1986-09-26,1986-09-29,2026-09-02,10059,0.1669777572,-0.7125633346,476.5369268,39.93429158,0.339596408,0.5341065426,5047,1999-07-16,2009-03-09,2013-05-10,True,1523,5047,2000,-0.4419514309,1995,1.11084713,-0.4909319789,-0.1590737904,-0.1064585553,0.04395600476,240,0.05309116834,0.1260669989,0.1257266471,120,0.1296321719,0.1503653029,0,0,0.09636830156,0.09515230096,0,,,0.9036316984,2.283544891,2.283544891,0.09636830156,2.514862312,0,0,0,0.2425688438,0,0.7574311562,26,0,14,261,299,299,1.14392869,231.1738825,232.2805644,9.537544285,0.2323830614,0.2073575656,0.2073575656,0.006810598598,2.81396967,10.74919598,38.74217906,66.88413103
FIXED_85_15,UPRO,LAG1,10,none,0.15,0,annual,1986-09-26,1986-09-29,2026-09-02,10059,0.162702626,-0.6771378736,411.5705501,39.93429158,0.3217085595,0.5337341527,5040,1999-07-16,2002-10-09,2013-05-03,True,3859,5040,2000,-0.414182329,1995,1.052333135,-0.4627010059,-0.146217104,-0.09667591315,0.04625800823,240,0.05466472431,0.1238669279,0.1232330056,120,0.1269927544,0.1466429672,0,0,0.1444473669,0.1431138809,0,,,0.8555526331,2.167120582,2.167120582,0.1444473669,2.514862312,0,0,0,0.2425688438,0,0.7574311562,26,0,14,261,299,299,1.623870594,216.6688629,218.2405131,8.197015943,0.2183306102,0.1961403664,0.1961403664,0.006374190453,2.89926829,10.33471088,36.11642821,60.695155
HWM_GRID,UPRO,LAG1,10,staged,0.1,0.05,rule,1986-09-26,1986-09-29,2026-09-02,10059,0.1744492115,-0.7746656072,614.8666376,39.93429158,0.372891609,0.5358144153,5130,1999-07-16,2009-03-09,2013-08-01,True,1606,5130,2000,-0.4971828276,1995,1.215777839,-0.5464941926,-0.1830942759,-0.1266405476,0.03792600323,240,0.04860116489,0.1290676344,0.1298341311,120,0.1339519501,0.1563273155,0,0,0.00570913762,0.000137478049,0.4606819763,0,0,0.9942908624,2.500036036,2.500036036,0.00570913762,2.514862312,0.1454418928,0,0.3250820161,0.2425688438,0,0.7574311562,576,107,0,261,877,877,0.636357745,260.009824,260.4490727,12.42349167,0.2605786795,0.2293944768,0.2273235029,0.007609111781,2.583489595,11.33871264,43.44244924,78.10569256
HWM_GRID,UPRO,LAG1,10,staged,0.1,0.1,rule,1986-09-26,1986-09-29,2026-09-02,10059,0.1745369581,-0.7738458929,616.7038312,39.93429158,0.3702389318,0.5371207097,5130,1999-07-16,2009-03-09,2013-08-01,True,1606,5130,2000,-0.4969813427,1995,1.20370117,-0.5464941926,-0.1805366036,-0.1263472277,0.03799099689,240,0.04862461702,0.1285540136,0.1299628924,120,0.1340193608,0.1561052462,0,0,0.01138440448,0.0003616489473,0.4600854956,0,0.001888855751,0.9886155955,2.485256894,2.485256894,0.01138440448,2.514862312,0.1452430659,0,0.3148424297,0.2425688438,0,0.7574311562,578,107,0,261,879,879,1.27143136,259.0345904,259.9147295,12.42309544,0.2600433911,0.2289818702,0.2247914671,0.007512837087,2.584645443,11.23609895,43.51999612,77.65702474
HWM_GRID,UPRO,LAG1,10,staged,0.1,0.15,rule,1986-09-26,1986-09-29,2026-09-02,10059,0.1745099841,-0.7730293744,616.1384927,39.93429158,0.367723465,0.5381420616,5130,1999-07-16,2009-03-09,2013-08-01,True,1606,5130,2000,-0.4967819117,1995,1.191660173,-0.5464941926,-0.1785852798,-0.1260561299,0.03805697416,240,0.04864927919,0.1278434304,0.1299568189,120,0.133952172,0.1556692516,0,0,0.01692149683,0.0008326876811,0.457798986,0.001192961527,0.01530967293,0.9830785032,2.470761043,2.470761043,0.01692149683,2.514862312,0.1452430659,0,0.3125559201,0.2425688438,0,0.7574311562,582,107,0,261,883,883,1.883377436,258.1222374,259.4325711,12.37931369,0.2595603641,0.2286093577,0.2222547892,0.007415970611,2.585861459,11.09551392,43.44270432,76.75271157
