series,lag,switch_cost_bps,period,entry_close,first_return,last_return,observations,cagr,max_drawdown,terminal_multiple,years,annualized_volatility,sharpe,longest_underwater_calendar_days,max_drawdown_peak,max_drawdown_trough,max_drawdown_recovery,max_drawdown_recovered,max_drawdown_recovery_days_from_trough,max_drawdown_recovery_days_from_peak,worst_calendar_year,worst_calendar_year_return,best_calendar_year,best_calendar_year_return,worst_rolling_1y_cagr,worst_rolling_5y_cagr,worst_rolling_10y_cagr,switch_count,switches_per_year
EFFICIENCY,LAG1,0,2010_2019,2009-12-31,2010-01-04,2019-12-31,2516,0.1175900751,-0.299439495,3.039199912,9.998631075,0.1887034478,0.6549000252,692,2010-04-23,2010-07-02,2011-02-18,True,231,301,2018,-0.06990224993,2017,0.395738958,-0.205437796,0.04816333842,0.1175900751,101,10.1013828
EFFICIENCY,LAG1,0,2020_latest,2019-12-31,2020-01-02,2026-09-02,1676,0.07883503209,-0.3570207568,1.659131168,6.672142368,0.254017003,0.3136220215,755,2020-02-19,2020-03-23,2021-06-28,True,462,495,2022,-0.1811088889,2021,0.2148729558,-0.2013887855,0.04503206176,,83,12.43978252
EFFICIENCY,LAG1,25,1987_1999,1986-12-31,1987-01-02,1999-12-31,3286,0.1751446868,-0.3869494597,8.149659474,12.99931554,0.2182263044,0.5980601387,1148,1987-08-25,1987-10-19,1990-06-04,True,959,1014,1992,-0.05322403245,1995,0.7711791962,-0.2716373558,0.01030254414,0.1085906149,112,8.615838248
EFFICIENCY,LAG1,25,2000_2009,1999-12-31,2000-01-03,2009-12-31,2515,-0.03809343243,-0.6248804577,0.678118839,10.00136893,0.2373208973,-0.1617964577,3408,2000-09-01,2009-03-09,,False,,,2008,-0.3699761113,2009,0.2870935517,-0.4751914483,-0.1135275566,-0.03809343243,72,7.199014509
EFFICIENCY,LAG1,25,2010_2019,2009-12-31,2010-01-04,2019-12-31,2516,0.08968598964,-0.3046805743,2.36027501,9.998631075,0.1886235081,0.5208327637,699,2010-04-23,2010-07-02,2012-03-15,True,622,692,2018,-0.08147048584,2019,0.3483946905,-0.2152734567,0.0258377172,0.08968598964,101,10.1013828
EFFICIENCY,LAG1,25,2020_latest,2019-12-31,2020-01-02,2026-09-02,1676,0.04575947254,-0.3590942272,1.347881721,6.672142368,0.2542460191,0.1907288161,761,2020-01-17,2020-03-23,2021-12-23,True,640,706,2022,-0.1811088889,2023,0.1868177858,-0.2106681584,0.01158684489,,83,12.43978252
TREND_QUALITY,LAG1,0,1987_1999,1986-12-31,1987-01-02,1999-12-31,3286,0.1873851985,-0.7899962287,9.324813322,12.99931554,0.4284219778,0.51528869,3086,1987-08-25,1987-12-04,1996-02-05,True,2985,3086,1987,-0.4278465316,1995,1.044034651,-0.7720161926,-0.161247827,0.04604019066,30,2.307813816
TREND_QUALITY,LAG1,0,2000_2009,1999-12-31,2000-01-03,2009-12-31,2515,-0.04609249648,-0.7389536456,0.6237845238,10.00136893,0.3636235984,-0.02340205934,3570,2000-03-23,2009-03-09,,False,,,2000,-0.468371998,2009,0.711569338,-0.5628195752,-0.1360367993,-0.04609249648,20,1.999726252
TREND_QUALITY,LAG1,0,2010_2019,2009-12-31,2010-01-04,2019-12-31,2516,0.2922988773,-0.3856080259,12.98605454,9.998631075,0.3379875892,0.9134328381,689,2010-04-23,2010-07-02,2011-02-04,True,217,287,2018,-0.1867889157,2013,1.18798752,-0.3048464959,0.180351787,0.2922988773,12,1.200164294
TREND_QUALITY,LAG1,0,2020_latest,2019-12-31,2020-01-02,2026-09-02,1676,0.1373566377,-0.7093078017,2.360209299,6.672142368,0.461564346,0.457389686,889,2020-02-19,2020-03-16,2021-07-02,True,473,499,2022,-0.3481661445,2021,0.9825793327,-0.3659932198,0.1142898762,,10,1.498768978
TREND_QUALITY,LAG1,25,1987_1999,1986-12-31,1987-01-02,1999-12-31,3286,0.180545735,-0.7905212381,8.65022247,12.99931554,0.428380155,0.5018479231,3089,1987-08-25,1987-12-04,1996-02-08,True,2988,3089,1987,-0.4292769153,1995,1.038924564,-0.7731492714,-0.1654346306,0.03925544691,30,2.307813816
TREND_QUALITY,LAG1,25,2000_2009,1999-12-31,2000-01-03,2009-12-31,2515,-0.05085542169,-0.7510782673,0.5933250477,10.00136893,0.3637371473,-0.03706184227,3570,2000-03-23,2009-03-09,,False,,,2000,-0.4723492483,2009,0.7072904147,-0.5660924698,-0.1399212758,-0.05085542169,20,1.999726252
TREND_QUALITY,LAG1,25,2010_2019,2009-12-31,2010-01-04,2019-12-31,2516,0.2884224206,-0.3883738205,12.60178526,9.998631075,0.3379346356,0.9046123181,692,2018-01-26,2018-12-24,2019-12-19,True,360,692,2018,-0.1928727638,2013,1.18798752,-0.3100224178,0.1768111335,0.2884224206,12,1.200164294
TREND_QUALITY,LAG1,25,2020_latest,2019-12-31,2020-01-02,2026-09-02,1676,0.1330977087,-0.7093078017,2.301863469,6.672142368,0.4616118683,0.4492356061,891,2020-02-19,2020-03-16,2021-07-02,True,473,499,2022,-0.3497957291,2021,0.9825793327,-0.367579321,0.1101920987,,10,1.498768978
LOW_CHURN,LAG1,0,1987_1999,1986-12-31,1987-01-02,1999-12-31,3286,0.2115976022,-0.7913204744,12.12277966,12.99931554,0.3727015901,0.585928588,2940,1987-08-25,1987-12-04,1995-09-12,True,2839,2940,1987,-0.3012591416,1995,1.095067965,-0.7279182034,-0.1589396777,0.06094485544,159,12.23141323
LOW_CHURN,LAG1,0,2000_2009,1999-12-31,2000-01-03,2009-12-31,2515,-0.08257450987,-0.7685348924,0.4223347219,10.00136893,0.3442638711,-0.1577029249,3653,1999-12-31,2009-03-09,,False,,,2008,-0.5559413728,2009,0.3751232477,-0.630188727,-0.1419810858,-0.08257450987,127,12.6982617
LOW_CHURN,LAG1,0,2010_2019,2009-12-31,2010-01-04,2019-12-31,2516,0.1295217932,-0.5669374719,3.379665655,9.998631075,0.3505154301,0.508502173,707,2011-02-18,2011-10-03,2013-01-25,True,480,707,2018,-0.3229530893,2013,0.8170922365,-0.4378437223,-0.01931470892,0.1295217932,131,13.10179354
LOW_CHURN,LAG1,0,2020_latest,2019-12-31,2020-01-02,2026-09-02,1676,0.2611790866,-0.5773309338,4.703237321,6.672142368,0.3682596844,0.7376783933,799,2022-03-29,2022-09-30,2024-06-05,True,614,799,2022,-0.3740411286,2024,0.7087226524,-0.4394474612,0.1873307053,,119,17.83535084
LOW_CHURN,LAG1,25,1987_1999,1986-12-31,1987-01-02,1999-12-31,3286,0.1750644546,-0.7930175159,8.142429454,12.99931554,0.3728629839,0.5039517063,3100,1987-08-13,1987-12-04,1996-02-07,True,2987,3100,1987,-0.3219355252,1995,1.05867811,-0.7398492564,-0.1801331597,0.03084394073,159,12.23141323
