variant,horizon_years,paths,block_days,cell,family,regime,underlying,moneyness,premium_budget,maturity_months,roll_months,mean_cagr,median_max_drawdown,worst_max_drawdown,prob_negative_cagr,prob_below_index,prob_below_canonical,cagr_p5,cagr_p10,cagr_p50,cagr_p90,cagr_p95,terminal_wealth_p5,terminal_wealth_p50,terminal_wealth_p95,prob_drawdown_worse_than_50,prob_drawdown_worse_than_60,prob_drawdown_worse_than_75,mean_delta_exposure,min_exposure_after_loss,underexposed_recovery,delta_p5,delta_p50,delta_p95,mean_option_weight,recovery_exposure_ratio
SPX_90_35_18M_R12,20,5000,63,SPX_90_35,SPX,18m/12m,SP500_1X,0.9,0.35,18,12,0.1553707983,-0.5196563386,-0.9101716667,0.0076,0.12,0.3568,0.04456979009,0.06739527453,0.1527483035,0.2449121961,0.2745538063,2.391934369,17.16682059,127.9866355,0.592,0.226,0.0254,1.679854084,0.3500115861,0.1954390878,1.082756544,1.728108828,2.129430536,0.367151674,0.9264298625
SPX_90_35_24M_R6,20,5000,63,SPX_90_35,SPX,24m/6m,SP500_1X,0.9,0.35,24,6,0.1421352241,-0.4620879092,-0.8543638781,0.004,0.146,0.8356,0.04953374919,0.06849897213,0.1404005856,0.2174108738,0.2412626589,2.629832993,13.84040007,75.3830718,0.3462,0.1012,0.0052,1.469360876,0.5127727452,0.1809197257,1.040598976,1.488874581,1.850303576,0.3588209465,0.9225493745
SPX_90_35_24M_R12,20,5000,63,SPX_90_35,SPX,24m/12m,SP500_1X,0.9,0.35,24,12,0.1499667021,-0.4750113797,-0.8670780832,0.0042,0.1008,0,0.05129369402,0.07207052371,0.1476936709,0.2292524352,0.2541759038,2.719450719,15.72243373,92.7190669,0.3904,0.1086,0.0058,1.500009586,0.4655444326,0.2167874396,0.9913447664,1.531757343,1.913934324,0.3682726707,0.9118920184
SPX_90_35_30M_R12,20,5000,63,SPX_90_35,SPX,30m/12m,SP500_1X,0.9,0.35,30,12,0.1451348062,-0.444552343,-0.8288636325,0.0022,0.1106,0.6606,0.054548653,0.07349621663,0.1430186812,0.2179231774,0.2412344328,2.892893402,14.48993941,75.34882241,0.263,0.0624,0.002,1.381010121,0.5310219748,0.2389541954,0.9225257842,1.403507062,1.767543683,0.3679779252,0.8991559733
SPX_90_35_30M_R18,20,5000,63,SPX_90_35,SPX,30m/18m,SP500_1X,0.9,0.35,30,18,0.1482101354,-0.4598687496,-0.8359566412,0.0024,0.1038,0.5664,0.05541786393,0.07367725024,0.1461984199,0.2237200847,0.2479692801,2.94095807,15.31778997,83.96108612,0.3224,0.0732,0.002,1.408412755,0.4934365879,0.2474788221,0.8948576063,1.440406183,1.817143077,0.3766814765,0.9009752594
SPX_90_40_15M_R6,20,5000,63,SPX_90_40,SPX,15m/6m,SP500_1X,0.9,0.4,15,6,0.1585686436,-0.5836297044,-0.9364410136,0.0178,0.1572,0.5012,0.0322386769,0.0576599859,0.1548830484,0.2618955851,0.2950934354,1.886264419,17.81394636,176.2065535,0.8074,0.441,0.0878,1.995967873,0.4348509308,0.1484,1.436434071,2.039792123,2.449391565,0.407026863,0.9346834153
SPX_90_40_15M_R12,20,5000,63,SPX_90_40,SPX,15m/12m,SP500_1X,0.9,0.4,15,12,0.167547521,-0.6093638493,-0.9538570994,0.0182,0.1414,0.3458,0.03248911113,0.06032796638,0.1646093715,0.2764799971,0.3114696822,1.895442252,21.06714153,226.5505448,0.8758,0.5378,0.125,2.042814502,0.2418426639,0.1516,1.34394529,2.098838541,2.568405522,0.4151600832,0.9527858298
SPX_90_40_18M_R6,20,5000,63,SPX_90_40,SPX,18m/6m,SP500_1X,0.9,0.4,18,6,0.1548611912,-0.5526733864,-0.9255579302,0.0128,0.151,0.651,0.03788225364,0.06184059378,0.1522561495,0.2512992419,0.2808531862,2.103593037,17.02082889,141.2496451,0.7164,0.3368,0.0544,1.866013982,0.5047065753,0.1622,1.347692665,1.901327473,2.301415646,0.4070881315,0.9270106741
SPX_90_40_18M_R12,20,5000,63,SPX_90_40,SPX,18m/12m,SP500_1X,0.9,0.4,18,12,0.1635917686,-0.5742412179,-0.9389485358,0.014,0.1216,0.377,0.03845782537,0.06420798273,0.1607806089,0.2648571991,0.2985862288,2.127048164,19.72435904,185.9586005,0.79,0.3974,0.0678,1.906422091,0.3948728823,0.178,1.276118513,1.957539115,2.389020441,0.4153167409,0.929889143
SPX_90_40_24M_R6,20,5000,63,SPX_90_40,SPX,24m/6m,SP500_1X,0.9,0.4,24,6,0.1502054623,-0.5104066684,-0.8923212081,0.007,0.1284,0.8364,0.04568117963,0.06714916693,0.1477998991,0.2359080299,0.2620064947,2.443352839,15.75156264,105.0102967,0.5424,0.2008,0.0206,1.673403459,0.5813129005,0.1759055433,1.206211265,1.697502908,2.081437815,0.4081002179,0.922637973
SPX_90_40_24M_R12,20,5000,63,SPX_90_40,SPX,24m/12m,SP500_1X,0.9,0.4,24,12,0.1586684767,-0.5225879391,-0.9012427808,0.0058,0.0954,0,0.04851290595,0.07067117755,0.1555970585,0.2479693336,0.2765196325,2.579144119,18.0355153,131.9927197,0.5992,0.2276,0.0196,1.703257105,0.5282322988,0.2014,1.159243896,1.738564889,2.139663309,0.416845709,0.9133822427
SPX_90_40_30M_R12,20,5000,63,SPX_90_40,SPX,30m/12m,SP500_1X,0.9,0.4,30,12,0.153746571,-0.4897644731,-0.8688880708,0.0044,0.0882,0.6494,0.05179278734,0.07418246506,0.1515299463,0.2359653207,0.2620294811,2.745388886,16.80756258,105.0485654,0.4492,0.133,0.0086,1.567695857,0.5908737691,0.2282107794,1.07867386,1.595477676,1.973813976,0.4169944442,0.8988715966
SPX_90_40_30M_R18,20,5000,63,SPX_90_40,SPX,30m/18m,SP500_1X,0.9,0.4,30,18,0.1568824781,-0.5048428724,-0.8761220565,0.006,0.0862,0.5582,0.05301548009,0.07357547959,0.154796512,0.2421834152,0.2688362372,2.809927496,17.78726889,116.9799603,0.5204,0.1626,0.0102,1.59549706,0.5503362927,0.2277644231,1.052605552,1.631156418,2.023398255,0.4252465535,0.906795867
