series,lag,state,days,fraction_days,mean_sp500_daily_return,mean_sp500_daily_log_return,mean_upro_daily_return,mean_upro_daily_log_return,annualized_sp500_log_return,annualized_upro_log_return,realized_volatility,annualized_approx_path_drag,annualized_exact_path_drag_log,annualized_financing_drag_log
UPRO_SMA_TO_SP500,LAG2,favorable,7866,0.781986280942,0.000461660068049,0.000422551027618,0.00103931833009,0.000669981004633,0.10648285896,0.168835213168,0.139269938043,0.058342075771,0.0634963088197,0.0782180929503
UPRO_SMA_TO_SP500,LAG2,unfavorable,2193,0.218013719058,0.000596104792538,0.000427533375575,0.0014673478701,-6.45985951865e-05,0.107738410645,-0.016278845987,0.291332530622,0.25477646035,0.258515786592,0.0720042953222
VOL_BINARY,LAG2,favorable,8069,0.802167213441,0.000452556192372,0.000416259065564,0.00100914858035,0.000680588260995,0.104897284522,0.171508241771,0.134905017036,0.0547461586368,0.0554141219392,0.0788650140195
VOL_BINARY,LAG2,unfavorable,1990,0.197832786559,0.000646733662846,0.000453554108467,0.00163334269785,-0.000182543122996,0.114295635334,-0.0460008669951,0.310496647143,0.289395372624,0.31118117349,0.068747306867
REL_VOL,LAG2,favorable,6133,0.609702753753,0.000476691114619,0.000432422464001,0.0010935644446,0.000693232602722,0.108970460928,0.174694615886,0.149063852572,0.0668210165665,0.0674894069403,0.0758013452991
REL_VOL,LAG2,unfavorable,3926,0.390297246247,0.000513277967232,0.000409913424393,0.00119366814184,0.000223334261515,0.103298182947,0.0562802339017,0.227055050786,0.1548217654,0.166193212534,0.0785224880461
EFFICIENCY,LAG2,favorable,1415,0.140670046724,0.000304584821285,0.000275893978548,0.000530698819558,0.000271475467776,0.069525282594,0.0684118178795,0.120099624959,0.0433113145635,0.0436446514671,0.0874692441584
EFFICIENCY,LAG2,unfavorable,8644,0.859329953276,0.000521481765756,0.000447822431309,0.00123116994839,0.000548851003737,0.11285125269,0.138310452942,0.191872834644,0.110638365971,0.116222802331,0.0751272510764
TREND_QUALITY,LAG2,favorable,6876,0.683566954966,0.000443309327872,0.000396717268935,0.000980758970537,0.000538606236217,0.0999727517716,0.135728771527,0.151961758167,0.0694156241371,0.0761547861349,0.0791369434022
TREND_QUALITY,LAG2,unfavorable,3183,0.316433045034,0.000593930558236,0.000481790491576,0.0014607204468,0.000447674955381,0.121411203877,0.112814088756,0.237728986129,0.169758628337,0.170514224225,0.0719520314027
LOW_CHURN,LAG2,favorable,3743,0.372104582961,0.000471423978589,0.00040882516541,0.00106621998003,0.000468019060736,0.103023941683,0.117940803305,0.176158900353,0.0932390163959,0.103368085067,0.0788643832865
LOW_CHURN,LAG2,unfavorable,6316,0.627895417039,0.000502554774138,0.000432415212437,0.00117199342595,0.000534612178415,0.108968633534,0.134722268961,0.18769819517,0.105866039771,0.107580801578,0.0756775731708
AO,LAG2,favorable,6563,0.652450541803,0.000421197863974,0.000382554345454,0.00092385095928,0.000573462155417,0.0964036950544,0.144512463165,0.139202733043,0.0582574652709,0.0591156426855,0.0766609328703
AO,LAG2,unfavorable,3496,0.347549458197,0.000621954898185,0.000500761700992,0.00152458181288,0.000390381503777,0.12619194865,0.0983761389517,0.24595486056,0.181721911038,0.194053524665,0.0772434886615
