treasury_share,moneyness,premium_budget,duration_exposure,mean_delta_exposure,cagr,max_drawdown,cohort_20y_min_cagr,cohort_30y_min_cagr,dot_com_return,rates_shock_2022
0.5,0.8,0.35,0.325,1.265350748,0.1373566403,-0.4807513679,0.08041985972,0.1193537536,-0.4469344576,-0.3487073243
0.5,0.8,0.45,0.275,1.605212326,0.1568441435,-0.6077125216,0.08355555118,0.1307576326,-0.58019463,-0.4013993829
0.5,0.8,0.55,0.225,1.939977012,0.1731678563,-0.7118888893,0.08213024473,0.1392213692,-0.690386943,-0.4533799221
0.5,0.8,0.65,0.175,2.272160281,0.1858961937,-0.7981244158,0.07343359986,0.1442099171,-0.7800733289,-0.5046564655
0.5,0.85,0.25,0.375,1.027184861,0.120991012,-0.3811203086,0.07418344376,0.1085289612,-0.3135305783,-0.3103747181
0.5,0.85,0.35,0.325,1.413385759,0.1447933708,-0.5126151938,0.08028363004,0.1231020924,-0.4764419278,-0.3695387024
0.5,0.85,0.45,0.275,1.790638652,0.1651295872,-0.6416367447,0.08239409096,0.1346649844,-0.6108460984,-0.4278264824
0.5,0.85,0.55,0.225,2.161992876,0.1817188035,-0.7454662828,0.08007526787,0.142845581,-0.7200354664,-0.485248058
0.5,0.85,0.65,0.175,2.530656804,0.1940630075,-0.829344103,0.07123799903,0.1470450556,-0.8070744779,-0.5418122338
0.5,0.9,0.25,0.375,1.14681355,0.1264926536,-0.4178679272,0.0728050085,0.110607722,-0.3379605741,-0.3242893503
0.5,0.9,0.35,0.325,1.575091057,0.1512567732,-0.5419126571,0.07758160659,0.1251521297,-0.5041167572,-0.388726479
0.5,0.9,0.45,0.275,1.992797006,0.1719019803,-0.673809353,0.07792415971,0.1362129476,-0.6390986488,-0.4521237295
0.5,0.9,0.55,0.225,2.403819823,0.188126346,-0.7753128768,0.07335888161,0.1433969941,-0.7468035945,-0.5144928776
0.5,0.9,0.65,0.175,2.812211492,0.1993627227,-0.8603246075,0.06308010917,0.1460484169,-0.8308372395,-0.5758438563
0.5,0.95,0.25,0.375,1.274882686,0.1310865646,-0.4564362623,0.06908670988,0.1112019001,-0.3608616105,-0.3367238604
0.5,0.95,0.35,0.325,1.747602131,0.1561787969,-0.5708580282,0.07165073177,0.1249223099,-0.5296853901,-0.4058375229
0.5,0.95,0.45,0.275,2.208085017,0.1764003758,-0.7026336826,0.06936299899,0.134618602,-0.6647637728,-0.4737452841
0.5,0.95,0.55,0.225,2.661244062,0.1914399826,-0.8013966998,0.06171701921,0.1398928048,-0.7706329245,-0.540460729
0.5,0.95,0.65,0.175,3.11213927,0.2006615349,-0.8901489646,0.04784036278,0.1400433816,-0.8514641102,-0.6059947626
0.5,1,0.25,0.375,1.408757841,0.1344649059,-0.4959631569,0.06263819085,0.1100626382,-0.3820315282,-0.3475359281
0.5,1,0.35,0.325,1.927207162,0.159090052,-0.5975381704,0.06201499774,0.1220172924,-0.5529934919,-0.4206799822
0.5,1,0.45,0.275,2.43184938,0.1779986,-0.7281134802,0.056181221,0.1293394322,-0.6877822577,-0.492453989
0.5,1,0.55,0.225,2.928829414,0.1908866119,-0.8377725749,0.04459701669,0.1316475354,-0.7915904561,-0.5628734119
0.5,1,0.65,0.175,3.424397071,0.1970523748,-0.9174316991,0.02632629732,0.1282089488,-0.8691642812,-0.6319500368
0.5,1.05,0.25,0.375,1.545537457,0.1364397379,-0.5355586164,0.05327627214,0.1071226838,-0.4013620151,-0.3567256743
0.5,1.05,0.35,0.325,2.109798685,0.159697665,-0.6248619789,0.04848687998,0.1163027507,-0.5739942589,-0.4332596712
0.5,1.05,0.45,0.275,2.658916351,0.1763115009,-0.7660899469,0.03821767278,0.1201797827,-0.7082018924,-0.5082645828
0.5,1.05,0.55,0.225,3.200496386,0.1860046216,-0.8754932151,0.02189239852,0.1184115573,-0.8098357963,-0.5817578744
0.5,1.05,0.65,0.175,3.742185725,0.1880148615,-0.9408115568,-0.001486208621,0.1102487556,-0.8842120417,-0.6537522324
0.75,0.8,0.25,0.5625,0.9173848126,0.1201131294,-0.3998347715,0.08400710613,0.1076142803,-0.2472338498,-0.3531984028
0.75,0.8,0.35,0.4875,1.264568403,0.1421347691,-0.4591369203,0.09021865407,0.1275061844,-0.4164857803,-0.3979922239
0.75,0.8,0.45,0.4125,1.604362554,0.1612163076,-0.5891594729,0.09272884924,0.1395069553,-0.5581750361,-0.4423486093
0.75,0.8,0.55,0.3375,1.939141035,0.1771003487,-0.6982124108,0.09112693275,0.1469588231,-0.6751953403,-0.4862721466
0.75,0.8,0.65,0.2625,2.271410198,0.1893448141,-0.7865442827,0.08270072268,0.1508392167,-0.7702679493,-0.5297669249
0.75,0.85,0.25,0.5625,1.026345322,0.1260939515,-0.4122659598,0.08452934547,0.113926895,-0.2739152061,-0.3679736084
0.75,0.85,0.35,0.4875,1.412384518,0.1495164482,-0.4874696973,0.09018265611,0.1328084183,-0.4471339026,-0.418456771
0.75,0.85,0.45,0.4125,1.789585121,0.1694484514,-0.6231756091,0.091689112,0.1434544735,-0.5899609851,-0.468378664
0.75,0.85,0.55,0.3375,2.16099479,0.1856044663,-0.7329607904,0.08860101064,0.1506489158,-0.705872762,-0.5177450326
0.75,0.85,0.65,0.2625,2.529810024,0.1974769301,-0.8176847779,0.08015872439,0.1537660728,-0.7981188711,-0.5665607547
0.75,0.9,0.25,0.5625,1.145730295,0.1315360799,-0.4310251726,0.08321649891,0.1190570945,-0.29934169,-0.3816024234
0.75,0.9,0.35,0.4875,1.57382776,0.1559179239,-0.5178092133,0.08756686711,0.1348638806,-0.4759130741,-0.4372997873
0.75,0.9,0.45,0.4125,1.991492313,0.1761607819,-0.655754316,0.08732330426,0.1450321084,-0.6193020066,-0.4923028151
0.75,0.9,0.55,0.3375,2.402610374,0.1919566612,-0.763893751,0.08200382664,0.151255334,-0.7336177834,-0.5466184283
0.75,0.9,0.65,0.2625,2.811223325,0.202729465,-0.8464946075,0.07077842343,0.1528491185,-0.8226785839,-0.6002521396
0.75,0.95,0.25,0.5625,1.273523785,0.1360658161,-0.469141431,0.07955069511,0.1217336944,-0.3231970024,-0.3937747539
0.75,0.95,0.35,0.4875,1.746040141,0.1607762002,-0.5545714119,0.08170439677,0.1346301283,-0.5025306526,-0.4540947116
0.75,0.95,0.45,0.4125,2.206485086,0.1805984896,-0.6857659881,0.07884368852,0.1434578262,-0.6459913443,-0.5135823592
0.75,0.95,0.55,0.3375,2.659771441,0.1952129336,-0.7909670832,0.07045384786,0.1477948512,-0.7583563378,-0.5722458176
0.75,0.95,0.65,0.2625,3.110954838,0.2039745449,-0.8789698599,0.05563822787,0.1469096419,-0.8440376086,-0.6300910732
0.75,1,0.25,0.5625,1.407102136,0.1393793981,-0.5081569572,0.07313914197,0.1205619627,-0.3452655994,-0.4043509249
0.75,1,0.35,0.4875,1.92532094,0.1636276351,-0.5947198634,0.07211573277,0.1317152293,-0.5268183866,-0.468652896
0.75,1,0.45,0.4125,2.429918069,0.1821422134,-0.712327942,0.06571641741,0.1381917422,-0.6699572262,-0.5319836333
0.75,1,0.55,0.3375,2.927043639,0.1946075618,-0.8197825665,0.05339318866,0.1395831253,-0.7801454821,-0.5943525214
0.75,1,0.65,0.2625,3.422954598,0.2003124419,-0.9087993105,0.03418610779,0.135125872,-0.8623984204,-0.6557659197
0.75,1.05,0.25,0.5625,1.543578569,0.1412930636,-0.5471889436,0.06379672787,0.1175866644,-0.3654301992,-0.4133313865
0.75,1.05,0.35,0.4875,2.107578034,0.1641848593,-0.6337484194,0.05861068288,0.1259894912,-0.5487207917,-0.4809805556
0.75,1.05,0.45,0.4125,2.65662993,0.1804132369,-0.7384916459,0.04777712632,0.1290421773,-0.6912404134,-0.5475218301
0.75,1.05,0.55,0.3375,3.198354082,0.1896861448,-0.8613868066,0.03071185874,0.126373246,-0.7991402142,-0.6129659824
0.75,1.05,0.65,0.2625,3.74042118,0.1912305956,-0.934456204,0.006394356614,0.1172024749,-0.8780332801,-0.6773197544
1,0.8,0.25,0.75,0.9172115733,0.1246550497,-0.4587386717,0.09364541465,0.1116762301,-0.2053241593,-0.407429174
1,0.8,0.35,0.65,1.264264472,0.1464232105,-0.5005678956,0.09950258848,0.1314594648,-0.3850966192,-0.4442866513
1,0.8,0.45,0.55,1.603954457,0.1652062048,-0.5728985444,0.1014875477,0.1476377498,-0.5354927921,-0.4809287558
1,0.8,0.55,0.45,1.938671669,0.1807453073,-0.6851618813,0.09918528416,0.1544607582,-0.6595654923,-0.5173571168
1,0.8,0.65,0.35,2.270925935,0.1925897309,-0.7778872289,0.09170309315,0.1572927762,-0.7601977918,-0.5535730574
1,0.85,0.25,0.75,1.02600735,0.1305777817,-0.4711114504,0.09423962467,0.1179221048,-0.2330461805,-0.4219102359
1,0.85,0.35,0.65,1.411905012,0.1537399566,-0.517703975,0.09956065047,0.1390417317,-0.4169075008,-0.4643961962
1,0.85,0.45,0.55,1.789017235,0.1733727084,-0.6052602357,0.1005616499,0.1519320284,-0.5684352277,-0.5065744781
1,0.85,0.55,0.45,2.160406271,0.1891890606,-0.72008455,0.09679080303,0.1582082605,-0.6912914918,-0.5484473333
1,0.85,0.65,0.35,2.529268396,0.2006739472,-0.8099580513,0.08746760074,0.1603023248,-0.7889142004,-0.5900164245
1,0.9,0.25,0.75,1.14518992,0.1359530619,-0.4828365252,0.09298797514,0.1236013719,-0.2594884965,-0.4352625988
1,0.9,0.35,0.65,1.573129824,0.1600685215,-0.5327067829,0.09702468052,0.1441775266,-0.4468128195,-0.4829056432
1,0.9,0.45,0.55,1.990717675,0.1800112741,-0.6370992815,0.09629203952,0.1535311984,-0.5988863175,-0.5301375356
1,0.9,0.55,0.45,2.401854852,0.1954708295,-0.7521259015,0.09030400624,0.1588607575,-0.7200325929,-0.5769611581
1,0.9,0.65,0.35,2.810582917,0.2058645124,-0.8377405778,0.07820958614,0.1594559877,-0.8142860471,-0.6233783637
1,0.95,0.25,0.75,1.272749045,0.1404105451,-0.4931272201,0.08937012742,0.1277689975,-0.2843168488,-0.4471814586
1,0.95,0.35,0.65,1.745086663,0.164851134,-0.5644101283,0.09122421521,0.1439321773,-0.4745004166,-0.4993948319
1,0.95,0.45,0.55,2.205459142,0.1843735261,-0.6683249156,0.08788628881,0.1519680699,-0.6266206359,-0.5510861785
1,0.95,0.55,0.45,2.658797295,0.1986534551,-0.7802093581,0.07883763311,0.1554346801,-0.7456986969,-0.6022590262
1,0.95,0.65,0.35,3.110162669,0.2070397359,-0.8672720515,0.06316069862,0.153573104,-0.8363915963,-0.652915258
1,1,0.25,0.75,1.406070992,0.143650575,-0.5202112643,0.08299109877,0.1305584883,-0.3073020086,-0.4575297184
1,1,0.35,0.65,1.924085281,0.1676301088,-0.6040374413,0.08167656472,0.1409986994,-0.4997877908,-0.51367824
1,1,0.45,0.55,2.428603611,0.185847292,-0.6959938236,0.07480643767,0.1467054465,-0.6515535312,-0.5691901559
1,1,0.55,0.45,2.925800205,0.1979790725,-0.8044940585,0.06182888828,0.1472469167,-0.7683366467,-0.6240696992
1,1,0.65,0.35,3.42194943,0.2033076802,-0.8997487811,0.04176340409,0.1418312519,-0.855426408,-0.6783186763
1,1.05,0.25,0.75,1.542282838,0.1454936049,-0.5586829049,0.07366409025,0.1275399629,-0.3283175116,-0.4663081499
1,1.05,0.35,0.65,2.106048344,0.1681237981,-0.6425113498,0.06818919208,0.1352521014,-0.5226105451,-0.5257624788
1,1.05,0.45,0.55,2.655001874,0.1840606745,-0.7202518334,0.05688524521,0.1375557163,-0.6737185201,-0.5844651141
1,1.05,0.55,0.45,3.196796908,0.1930010041,-0.8465583686,0.03916455304,0.134053347,-0.788096655,-0.6424211187
1,1.05,0.65,0.35,3.739138546,0.1941641639,-0.9277794685,0.01398660861,0.1239361722,-0.8716605964,-0.699632221
