iv_premium,moneyness,premium_budget,safe_asset,mean_implied_vol,mean_delta_exposure,total_exposure,cagr,max_drawdown,cohort_10y_min_cagr
0.03,0.75,0.6,LONG_TREASURY_1X,0.2024913094,1.888995876,2.288995876,0.1773581339,-0.697355882,-0.05592489334
0.03,0.8,0.15,TBILL_3M_1X,0.2024913094,0.5626823309,1.412682331,0.07648237117,-0.2302938504,0.007191250132
0.03,0.8,0.15,LONG_TREASURY_1X,0.2024913094,0.5602871549,1.410287155,0.1000345365,-0.4243190251,0.04601627849
0.03,0.8,0.2,TBILL_3M_1X,0.2024913094,0.7431341874,1.543134187,0.08997016413,-0.3161662892,7.251092879e-05
0.03,0.8,0.2,LONG_TREASURY_1X,0.2024913094,0.7401505767,1.540150577,0.1126970086,-0.4402382272,0.04761922864
0.03,0.8,0.25,TBILL_3M_1X,0.2024913094,0.9206742783,1.670674278,0.1027718306,-0.3946351248,-0.008006610733
0.03,0.8,0.25,LONG_TREASURY_1X,0.2024913094,0.9172115733,1.667211573,0.1246550497,-0.4587386717,0.03713561393
0.03,0.8,0.3,TBILL_3M_1X,0.2024913094,1.095641768,1.795641768,0.1148812374,-0.4661633276,-0.01833063011
0.03,0.8,0.3,LONG_TREASURY_1X,0.2024913094,1.091809901,1.791809901,0.1359014842,-0.4797243289,0.02575077365
0.03,0.8,0.4,TBILL_3M_1X,0.2024913094,1.439123841,2.039123841,0.1369697099,-0.5914906235,-0.04155997733
0.03,0.8,0.4,LONG_TREASURY_1X,0.2024913094,1.434880189,2.034880189,0.1562005474,-0.5212708101,9.626192009e-05
0.03,0.8,0.5,TBILL_3M_1X,0.2024913094,1.776021725,2.276021725,0.1560611805,-0.6945722683,-0.06857939156
0.03,0.8,0.5,LONG_TREASURY_1X,0.2024913094,1.771783869,2.271783869,0.1734037454,-0.6308643019,-0.02981909905
0.03,0.8,0.6,TBILL_3M_1X,0.2024913094,2.108795277,2.508795277,0.1718446718,-0.7887414308,-0.09998817239
0.03,0.8,0.6,LONG_TREASURY_1X,0.2024913094,2.104936809,2.504936809,0.1871682046,-0.7340086519,-0.06472773902
0.03,0.85,0.15,TBILL_3M_1X,0.2024913094,0.6311587423,1.481158742,0.08062390778,-0.2490733912,0.00506800212
