return_end,execution_close,signal_close,reason,stage,transfer_to_reserve,net_deployed,asset,favorable,streak,row,series,fund,lag,cost_bps,deployment,cap,harvest,rebalance,remaining_tagged_risky_wealth_at_sample_end
1990-03-19,1990-03-16,1990-03-16,deployment,recovery_1_of_3,-0.04460167762,0.04439129146,UPRO,True,1,877,ASYMMETRIC_RESERVE_BAND,UPRO,LAG1,50,staged,0.2,0.1,rule,0.8068330174
1990-03-28,1990-03-27,1990-03-27,deployment,recovery_1_of_3,-0.02952751224,0.02938554165,UPRO,True,1,884,ASYMMETRIC_RESERVE_BAND,UPRO,LAG1,50,staged,0.2,0.1,rule,0.5477385279
1990-04-04,1990-04-03,1990-04-03,deployment,recovery_1_of_3,-0.01952650033,0.01943137907,UPRO,True,1,889,ASYMMETRIC_RESERVE_BAND,UPRO,LAG1,50,staged,0.2,0.1,rule,0.3671148618
1990-04-10,1990-04-09,1990-04-09,deployment,recovery_1_of_3,-0.01290822397,0.01284481645,UPRO,True,1,893,ASYMMETRIC_RESERVE_BAND,UPRO,LAG1,50,staged,0.2,0.1,rule,0.2508473151
1990-05-09,1990-05-08,1990-05-08,deployment,recovery_1_of_3,-0.008575802203,0.0085334303,UPRO,True,1,913,ASYMMETRIC_RESERVE_BAND,UPRO,LAG1,50,staged,0.2,0.1,rule,0.1689347521
1990-06-07,1990-06-06,1990-06-06,deployment,recovery_2_of_3,-0.008630267811,0.008630053454,UPRO,True,21,933,ASYMMETRIC_RESERVE_BAND,UPRO,LAG1,50,staged,0.2,0.1,rule,0.1416393282
1990-08-03,1990-08-02,1990-08-02,deployment,recovery_3_of_3,-0.008651176106,0.008650929009,UPRO,True,61,973,ASYMMETRIC_RESERVE_BAND,UPRO,LAG1,50,staged,0.2,0.1,rule,0.163008278
1991-04-23,1991-04-22,1991-04-22,deployment,recovery_3_of_3,-0.2004876815,0.2003872284,UPRO,True,61,1154,ASYMMETRIC_RESERVE_BAND,UPRO,LAG1,50,staged,0.2,0.1,rule,3.177987378
1991-12-16,1991-12-13,1991-12-13,deployment,recovery_1_of_3,-0.07381447878,0.07347353444,UPRO,True,1,1319,ASYMMETRIC_RESERVE_BAND,UPRO,LAG1,50,staged,0.2,0.1,rule,1.364481731
1992-01-15,1992-01-14,1992-01-14,deployment,recovery_2_of_3,-0.07407214155,0.07406097196,UPRO,True,21,1339,ASYMMETRIC_RESERVE_BAND,UPRO,LAG1,50,staged,0.2,0.1,rule,1.061313776
1992-03-12,1992-03-11,1992-03-11,deployment,recovery_3_of_3,-0.247538261,0.247398923,UPRO,True,61,1379,ASYMMETRIC_RESERVE_BAND,UPRO,LAG1,50,staged,0.2,0.1,rule,4.330961341
1993-01-15,1993-01-14,1993-01-14,deployment,recovery_3_of_3,-0.2466189928,0.2464954253,UPRO,True,61,1593,ASYMMETRIC_RESERVE_BAND,UPRO,LAG1,50,staged,0.2,0.1,rule,4.284433615
1994-06-15,1994-06-14,1994-06-14,deployment,recovery_1_of_3,-0.08897726185,0.08856032514,UPRO,True,1,1950,ASYMMETRIC_RESERVE_BAND,UPRO,LAG1,50,staged,0.2,0.1,rule,1.482747951
1994-08-02,1994-08-01,1994-08-01,deployment,recovery_1_of_3,-0.0591017621,0.05881879179,UPRO,True,1,1983,ASYMMETRIC_RESERVE_BAND,UPRO,LAG1,50,staged,0.2,0.1,rule,1.002297743
1994-08-04,1994-08-03,1994-08-03,deployment,recovery_1_of_3,-0.03903424015,0.03884459266,UPRO,True,1,1985,ASYMMETRIC_RESERVE_BAND,UPRO,LAG1,50,staged,0.2,0.1,rule,0.6685700309
1994-08-15,1994-08-12,1994-08-12,deployment,recovery_1_of_3,-0.02579938026,0.02567284574,UPRO,True,1,1992,ASYMMETRIC_RESERVE_BAND,UPRO,LAG1,50,staged,0.2,0.1,rule,0.4510810728
1994-09-13,1994-09-12,1994-09-12,deployment,recovery_2_of_3,-0.02590164494,0.02590042671,UPRO,True,21,2012,ASYMMETRIC_RESERVE_BAND,UPRO,LAG1,50,staged,0.2,0.1,rule,0.444405057
1994-09-28,1994-09-27,1994-09-27,deployment,recovery_1_of_3,-0.008523234689,0.008480894348,UPRO,True,1,2023,ASYMMETRIC_RESERVE_BAND,UPRO,LAG1,50,staged,0.2,0.1,rule,0.1529541653
1994-10-12,1994-10-11,1994-10-11,deployment,recovery_1_of_3,-0.005636457048,0.005608399678,UPRO,True,1,2033,ASYMMETRIC_RESERVE_BAND,UPRO,LAG1,50,staged,0.2,0.1,rule,0.1047627757
1994-11-09,1994-11-08,1994-11-08,deployment,recovery_2_of_3,-0.005658731761,0.005658668166,UPRO,True,21,2053,ASYMMETRIC_RESERVE_BAND,UPRO,LAG1,50,staged,0.2,0.1,rule,0.1062549371
1994-12-19,1994-12-16,1994-12-16,deployment,recovery_1_of_3,-0.001869011846,0.001859681399,UPRO,True,1,2080,ASYMMETRIC_RESERVE_BAND,UPRO,LAG1,50,staged,0.2,0.1,rule,0.03696417608
1994-12-22,1994-12-21,1994-12-21,deployment,recovery_1_of_3,-0.001234562098,0.001228395747,UPRO,True,1,2083,ASYMMETRIC_RESERVE_BAND,UPRO,LAG1,50,staged,0.2,0.1,rule,0.02473703765
1995-01-23,1995-01-20,1995-01-20,deployment,recovery_2_of_3,-0.001240415629,0.001240412442,UPRO,True,21,2103,ASYMMETRIC_RESERVE_BAND,UPRO,LAG1,50,staged,0.2,0.1,rule,0.0242958016
1995-03-21,1995-03-20,1995-03-20,deployment,recovery_3_of_3,-0.001239838897,0.001239836255,UPRO,True,61,2143,ASYMMETRIC_RESERVE_BAND,UPRO,LAG1,50,staged,0.2,0.1,rule,0.02015038055
1996-07-18,1996-07-17,1996-07-17,deployment,recovery_1_of_3,-0.1077872131,0.1072712132,UPRO,True,1,2479,ASYMMETRIC_RESERVE_BAND,UPRO,LAG1,50,staged,0.2,0.1,rule,1.074550762
1996-07-29,1996-07-26,1996-07-26,deployment,recovery_1_of_3,-0.07126511153,0.0709191345,UPRO,True,1,2486,ASYMMETRIC_RESERVE_BAND,UPRO,LAG1,50,staged,0.2,0.1,rule,0.7340577179
1996-07-31,1996-07-30,1996-07-30,deployment,recovery_1_of_3,-0.04707742394,0.04684667515,UPRO,True,1,2488,ASYMMETRIC_RESERVE_BAND,UPRO,LAG1,50,staged,0.2,0.1,rule,0.4983186545
1996-08-28,1996-08-27,1996-08-27,deployment,recovery_2_of_3,-0.0472649498,0.04726289688,UPRO,True,21,2508,ASYMMETRIC_RESERVE_BAND,UPRO,LAG1,50,staged,0.2,0.1,rule,0.4382817227
1996-10-24,1996-10-23,1996-10-23,deployment,recovery_3_of_3,-0.629951336,0.6296411861,UPRO,True,61,2548,ASYMMETRIC_RESERVE_BAND,UPRO,LAG1,50,staged,0.2,0.1,rule,5.463251843
1998-09-24,1998-09-23,1998-09-23,deployment,recovery_1_of_3,-0.4797846243,0.4775433992,UPRO,True,1,3031,ASYMMETRIC_RESERVE_BAND,UPRO,LAG1,50,staged,0.2,0.1,rule,2.023119777
1998-10-23,1998-10-22,1998-10-22,deployment,recovery_1_of_3,-0.3179228287,0.3164053214,UPRO,True,1,3052,ASYMMETRIC_RESERVE_BAND,UPRO,LAG1,50,staged,0.2,0.1,rule,1.399486566
1998-10-27,1998-10-26,1998-10-26,deployment,recovery_1_of_3,-0.2100223067,0.209004599,UPRO,True,1,3054,ASYMMETRIC_RESERVE_BAND,UPRO,LAG1,50,staged,0.2,0.1,rule,0.9529403526
1998-10-30,1998-10-29,1998-10-29,deployment,recovery_1_of_3,-0.1387088879,0.1380296236,UPRO,True,1,3057,ASYMMETRIC_RESERVE_BAND,UPRO,LAG1,50,staged,0.2,0.1,rule,0.6358832013
1998-11-30,1998-11-27,1998-11-27,deployment,recovery_2_of_3,-0.139205662,0.1392001242,UPRO,True,21,3077,ASYMMETRIC_RESERVE_BAND,UPRO,LAG1,50,staged,0.2,0.1,rule,0.4890510216
1999-01-28,1999-01-27,1999-01-27,deployment,recovery_3_of_3,-2.094296455,2.093161421,UPRO,True,61,3117,ASYMMETRIC_RESERVE_BAND,UPRO,LAG1,50,staged,0.2,0.1,rule,7.413721356
1999-10-07,1999-10-06,1999-10-06,deployment,recovery_1_of_3,-0.7320866785,0.7286996938,UPRO,True,1,3292,ASYMMETRIC_RESERVE_BAND,UPRO,LAG1,50,staged,0.2,0.1,rule,2.877155575
1999-10-29,1999-10-28,1999-10-28,deployment,recovery_1_of_3,-0.4850241084,0.4827261721,UPRO,True,1,3308,ASYMMETRIC_RESERVE_BAND,UPRO,LAG1,50,staged,0.2,0.1,rule,2.028542067
1999-11-29,1999-11-26,1999-11-26,deployment,recovery_2_of_3,-0.487024768,0.486968944,UPRO,True,21,3328,ASYMMETRIC_RESERVE_BAND,UPRO,LAG1,50,staged,0.2,0.1,rule,1.760770787
2000-01-26,2000-01-25,2000-01-25,deployment,recovery_3_of_3,-0.4866272711,0.4865689795,UPRO,True,61,3368,ASYMMETRIC_RESERVE_BAND,UPRO,LAG1,50,staged,0.2,0.1,rule,1.842458534
2014-10-22,2014-10-21,2014-10-21,deployment,recovery_1_of_3,-0.5024279558,0.5000294095,UPRO,True,1,7076,ASYMMETRIC_RESERVE_BAND,UPRO,LAG1,50,staged,0.2,0.1,rule,1.865269591
2014-11-19,2014-11-18,2014-11-18,deployment,recovery_2_of_3,-0.5024357719,0.5023872072,UPRO,True,21,7096,ASYMMETRIC_RESERVE_BAND,UPRO,LAG1,50,staged,0.2,0.1,rule,1.583715306
2015-01-20,2015-01-16,2015-01-16,deployment,recovery_3_of_3,-2.642841288,2.641434868,UPRO,True,61,7136,ASYMMETRIC_RESERVE_BAND,UPRO,LAG1,50,staged,0.2,0.1,rule,9.571012087
2015-07-13,2015-07-10,2015-07-10,deployment,recovery_1_of_3,-0.9209925299,0.9167105677,UPRO,True,1,7256,ASYMMETRIC_RESERVE_BAND,UPRO,LAG1,50,staged,0.2,0.1,rule,3.524610263
2015-08-10,2015-08-07,2015-08-07,deployment,recovery_2_of_3,-0.9210232345,0.9208612044,UPRO,True,21,7276,ASYMMETRIC_RESERVE_BAND,UPRO,LAG1,50,staged,0.2,0.1,rule,3.535678077
2015-10-26,2015-10-23,2015-10-23,deployment,recovery_1_of_3,-0.3026554072,0.3011786333,UPRO,True,1,7330,ASYMMETRIC_RESERVE_BAND,UPRO,LAG1,50,staged,0.2,0.1,rule,1.213655145
2015-11-19,2015-11-18,2015-11-18,deployment,recovery_1_of_3,-0.1998188546,0.1988361793,UPRO,True,1,7348,ASYMMETRIC_RESERVE_BAND,UPRO,LAG1,50,staged,0.2,0.1,rule,0.827295603
2015-12-07,2015-12-04,2015-12-04,deployment,recovery_1_of_3,-0.1319156232,0.131263476,UPRO,True,1,7359,ASYMMETRIC_RESERVE_BAND,UPRO,LAG1,50,staged,0.2,0.1,rule,0.5674172758
2015-12-17,2015-12-16,2015-12-16,deployment,recovery_1_of_3,-0.0870835654,0.08665153502,UPRO,True,1,7367,ASYMMETRIC_RESERVE_BAND,UPRO,LAG1,50,staged,0.2,0.1,rule,0.3919842766
2015-12-24,2015-12-23,2015-12-23,deployment,recovery_1_of_3,-0.0574836314,0.05719775598,UPRO,True,1,7372,ASYMMETRIC_RESERVE_BAND,UPRO,LAG1,50,staged,0.2,0.1,rule,0.2705190559
2015-12-30,2015-12-29,2015-12-29,deployment,recovery_1_of_3,-0.03794350354,0.03775446241,UPRO,True,1,7375,ASYMMETRIC_RESERVE_BAND,UPRO,LAG1,50,staged,0.2,0.1,rule,0.179682869
2016-03-14,2016-03-11,2016-03-11,deployment,recovery_1_of_3,-0.02505833882,0.0249333622,UPRO,True,1,7425,ASYMMETRIC_RESERVE_BAND,UPRO,LAG1,50,staged,0.2,0.1,rule,0.1267606407
2016-03-17,2016-03-16,2016-03-16,deployment,recovery_1_of_3,-0.01654009532,0.01645753401,UPRO,True,1,7428,ASYMMETRIC_RESERVE_BAND,UPRO,LAG1,50,staged,0.2,0.1,rule,0.08482473238
2016-04-15,2016-04-14,2016-04-14,deployment,recovery_2_of_3,-0.01654352081,0.01654345627,UPRO,True,21,7448,ASYMMETRIC_RESERVE_BAND,UPRO,LAG1,50,staged,0.2,0.1,rule,0.07865385256
