series,regime,entry_close,episode_end,episode_max_drawdown,episode_terminal_multiple,episode_peak,episode_trough,recovery_date,recovery_days_from_peak,recovery_days_from_trough,recovered,end_relative_to_pre_episode_all_time_peak,pre_episode_peak_first_regained,kind,window
UPRO_SMA_TO_SP500,1987,1986-12-31,1987-12-31,-0.550009909588,1.09392399154,1987-08-25,1987-10-19,1989-07-31,706,651,True,0.762049200388,1987-03-04,sma,SP500_extended
UPRO_SMA_TO_SP500,2000_2002,1999-12-31,2002-12-31,-0.693616793635,0.348454226898,1999-12-31,2002-10-09,2013-03-11,4819,3806,True,0.320515374479,2013-05-03,sma,SP500_extended
UPRO_SMA_TO_SP500,2007_2009,2006-12-29,2009-12-31,-0.693515188166,0.895929112305,2007-07-13,2009-03-09,2013-01-29,2027,1422,True,0.603601194732,2013-05-03,sma,SP500_extended
UPRO_SMA_TO_SP500,2020,2019-12-31,2020-12-31,-0.557272556512,1.28290355899,2020-02-19,2020-03-23,2020-11-16,271,238,True,1.27183498623,2020-01-02,sma,SP500_extended
UPRO_SMA_TO_SP500,2022,2021-12-31,2022-12-30,-0.440556011627,0.58187896664,2022-01-03,2022-10-12,2024-03-01,788,506,True,0.572294114984,2022-01-03,sma,SP500_extended
UPRO_SMA_TO_TBILL,1987,1986-12-31,1987-12-31,-0.434232294923,1.18587922802,1987-08-25,1987-10-16,1989-07-19,694,642,True,0.857807434039,1987-03-04,sma,SP500_extended
UPRO_SMA_TO_TBILL,2000_2002,1999-12-31,2002-12-31,-0.510567663565,0.495269960753,1999-12-31,2002-04-03,2007-07-13,2751,1927,True,0.429375227339,2010-03-17,sma,SP500_extended
UPRO_SMA_TO_TBILL,2007_2009,2006-12-29,2009-12-31,-0.489157734507,1.26147664425,2007-07-13,2009-07-10,2009-11-16,857,129,True,0.887460949441,2010-03-17,sma,SP500_extended
UPRO_SMA_TO_TBILL,2020,2019-12-31,2020-12-31,-0.449366924816,1.19406858654,2020-02-19,2020-06-11,2020-12-17,302,189,True,1.18376645982,2020-01-02,sma,SP500_extended
UPRO_SMA_TO_TBILL,2022,2021-12-31,2022-12-30,-0.394425169332,0.618242039259,2022-01-03,2022-12-14,2024-03-20,807,462,True,0.60805820624,2022-01-03,sma,SP500_extended
NASDAQ100_1X,1987,1986-12-31,1987-12-31,-0.399349868958,1.10498215303,1987-10-05,1987-10-26,1989-05-26,599,578,True,1.04111139455,1987-01-07,sma,NASDAQ100_extended
NASDAQ100_1X,2000_2002,1999-12-31,2002-12-31,-0.828728190357,0.265965131699,2000-03-27,2002-10-07,2014-11-26,5357,4433,True,0.265965131699,2000-01-03,sma,NASDAQ100_extended
NASDAQ100_1X,2007_2009,2006-12-29,2009-12-31,-0.534198516079,1.07713114479,2007-10-31,2008-11-20,2010-12-08,1134,748,True,0.408555624944,2014-11-26,sma,NASDAQ100_extended
NASDAQ100_1X,2020,2019-12-31,2020-12-31,-0.279686169275,1.48877121448,2020-02-19,2020-03-20,2020-06-03,105,75,True,1.48118095178,2020-01-02,sma,NASDAQ100_extended
NASDAQ100_1X,2022,2021-12-31,2022-12-30,-0.347805077118,0.676168725681,2022-01-03,2022-10-14,2023-12-12,708,424,True,0.666096830464,2023-12-12,sma,NASDAQ100_extended
TQQQ_ALWAYS,1987,1986-12-31,1987-12-31,-0.837813522186,0.777999597927,1987-10-05,1987-12-04,1992-01-14,1562,1502,True,0.641819165789,1987-01-07,sma,NASDAQ100_extended
TQQQ_ALWAYS,2000_2002,1999-12-31,2002-12-31,-0.999549764809,0.00122222279892,2000-03-27,2002-10-07,,,,False,0.00122222279892,2000-01-03,sma,NASDAQ100_extended
TQQQ_ALWAYS,2007_2009,2006-12-29,2009-12-31,-0.950562617663,0.430518322446,2007-10-31,2009-03-09,2013-10-18,2179,1684,True,0.000905640168767,,sma,NASDAQ100_extended
TQQQ_ALWAYS,2020,2019-12-31,2020-12-31,-0.698724694797,2.11233581649,2020-02-19,2020-03-20,2020-07-10,142,112,True,0.0826500382918,,sma,NASDAQ100_extended
TQQQ_ALWAYS,2022,2021-12-31,2022-12-30,-0.807789092425,0.213013188134,2022-01-03,2022-12-28,2024-07-05,914,555,True,0.0322411062765,,sma,NASDAQ100_extended
TQQQ_SMA_TO_NASDAQ,1987,1986-12-31,1987-12-31,-0.567839916078,1.30757572641,1987-10-05,1987-10-26,1991-04-02,1275,1254,True,1.19281330201,1987-01-08,sma,NASDAQ100_extended
TQQQ_SMA_TO_NASDAQ,2000_2002,1999-12-31,2002-12-31,-0.974056028636,0.0457613118315,2000-03-27,2002-10-07,2020-02-04,7253,6329,True,0.0457613118315,2000-01-03,sma,NASDAQ100_extended
TQQQ_SMA_TO_NASDAQ,2007_2009,2006-12-29,2009-12-31,-0.738778553644,1.27183836904,2007-10-31,2008-11-20,2012-03-19,1601,1215,True,0.05934689965,2020-02-04,sma,NASDAQ100_extended
TQQQ_SMA_TO_NASDAQ,2020,2019-12-31,2020-12-31,-0.585534720948,2.22089573369,2020-02-19,2020-03-20,2020-07-08,140,110,True,1.87242652425,2020-02-04,sma,NASDAQ100_extended
TQQQ_SMA_TO_NASDAQ,2022,2021-12-31,2022-12-30,-0.569957008938,0.455597040548,2022-01-03,2022-10-14,2023-12-13,709,425,True,0.426840320199,2023-12-18,sma,NASDAQ100_extended
TQQQ_SMA_TO_TBILL,1987,1986-12-31,1987-12-31,-0.383231764204,1.43686175519,1987-10-05,1987-10-16,1991-04-02,1275,1264,True,1.375382047,1987-01-08,sma,NASDAQ100_extended
TQQQ_SMA_TO_TBILL,2000_2002,1999-12-31,2002-12-31,-0.936505809927,0.10678076557,2000-03-27,2002-12-03,2018-07-13,6682,5701,True,0.10678076557,2000-01-03,sma,NASDAQ100_extended
TQQQ_SMA_TO_TBILL,2007_2009,2006-12-29,2009-12-31,-0.631822281269,1.54507112704,2007-10-31,2009-05-22,2010-03-23,874,305,True,0.119901426483,2018-07-13,sma,NASDAQ100_extended
TQQQ_SMA_TO_TBILL,2020,2019-12-31,2020-12-31,-0.549835054071,2.0493713645,2020-02-19,2020-03-11,2020-07-20,152,131,True,1.54997547556,2020-02-14,sma,NASDAQ100_extended
TQQQ_SMA_TO_TBILL,2022,2021-12-31,2022-12-30,-0.458472896024,0.570562823099,2022-01-03,2022-04-05,2023-07-13,556,464,True,0.534549605091,2023-07-17,sma,NASDAQ100_extended
