series,fund,lag,cost_bps,deployment,cap,harvest,rebalance,start,end,sessions,reserve_cagr,no_reserve_total_return,no_reserve_cagr,cumulative_log_growth_foregone,transferred_to_reserve,fraction_positive_portfolio_gains_transferred,new_hwm_gains_recognized,next_named_stress,next_stress_3y_post_drawdown_relative_growth_benefit,next_stress_3y_carried_opportunity_cost,next_stress_3y_payback_ratio
FIXED_85_15,SSO,LAG2,25,staged,0.15,0.1,quarterly,2005-10-31,2006-06-13,154,0.0190850049875,0.0075429927995,0.0122735507262,-0.00413120906865,0.0696495160652,0.0132314550584,0,2007_2009,0.566260408662,0.142174888361,3.98284405346
FIXED_85_15,SSO,LAG2,25,staged,0.15,0.1,quarterly,2006-07-25,2007-08-06,259,0.234804769836,0.277795723983,0.26807031348,0.0274386124894,0.273675432269,0.0252223454664,0.582804717855,2007_2009,0.566260408662,0.142174888361,3.98284405346
FIXED_85_15,SSO,LAG2,25,staged,0.15,0.1,quarterly,2009-06-01,2010-05-21,246,0.283776770188,0.319391228329,0.331064265901,0.0350583447003,0.505492560427,0.0386327031972,0,2020,0.239982645888,7.55373641121,0.031770058263
FIXED_85_15,SSO,LAG2,25,staged,0.15,0.1,quarterly,2010-09-13,2011-08-03,225,0.259156459649,0.265018336556,0.303452647496,0.03066987658,0.397930046763,0.0379502417121,0,2020,0.239982645888,7.55373641121,0.031770058263
FIXED_85_15,SSO,LAG2,25,staged,0.15,0.1,quarterly,2011-12-23,2012-11-15,224,0.152329489412,0.15442506832,0.173406377935,0.0162768968917,0.482839785855,0.0460839649257,0,2020,0.239982645888,7.55373641121,0.031770058263
FIXED_85_15,SSO,LAG2,25,staged,0.15,0.1,quarterly,2012-11-20,2014-10-14,477,0.329355414633,0.87882415023,0.394290942317,0.0904871622831,1.03084219326,0.0325486277564,6.67747844897,2020,0.239982645888,7.55373641121,0.031770058263
FIXED_85_15,SSO,LAG2,25,staged,0.15,0.1,quarterly,2014-10-21,2015-08-21,210,0.0402892407039,0.0381212815015,0.0459761077602,0.00453751382522,0.228683202438,0.0122017280118,1.28024406546,2020,0.239982645888,7.55373641121,0.031770058263
FIXED_85_15,SSO,LAG2,25,staged,0.15,0.1,quarterly,2016-03-14,2016-06-28,74,0.0490482929501,0.0160034479276,0.0562314752651,0.00198040673238,0.122655639838,0.0220206081939,0,2020,0.239982645888,7.55373641121,0.031770058263
FIXED_85_15,SSO,LAG2,25,staged,0.15,0.1,quarterly,2016-06-29,2018-10-12,577,0.248525543971,0.796021336375,0.291939695405,0.0781423716824,2.13207099802,0.0394654799777,10.3559049495,2020,0.239982645888,7.55373641121,0.031770058263
FIXED_85_15,SSO,LAG2,25,staged,0.15,0.1,quarterly,2019-02-13,2019-06-03,75,-0.0218273286028,-0.0109663469085,-0.0359521883439,-0.00438052059987,0.48005048827,0.0604191744262,0,2020,0.239982645888,7.55373641121,0.031770058263
FIXED_85_15,SSO,LAG2,25,staged,0.15,0.1,quarterly,2019-06-05,2020-02-28,185,0.102551872661,0.0790636185158,0.109274263346,0.00446014179148,0.817431112462,0.0307109962706,3.51909776619,2020,0.239982645888,7.55373641121,0.031770058263
FIXED_85_15,SSO,LAG2,25,staged,0.15,0.1,quarterly,2020-05-27,2022-01-24,419,0.4618714314,1.07248333408,0.550394075924,0.0977045213181,5.34888144695,0.0452709868467,25.6743779344,2022,-0.627779842131,8.10936069281,-0.077414221159
FIXED_85_15,SSO,LAG2,25,staged,0.15,0.1,quarterly,2023-03-17,2023-10-26,154,0.125330626464,0.0795192232122,0.133516344117,0.00442503271534,1.05393527271,0.0294233006681,0,,,,
FIXED_85_15,SSO,LAG2,25,staged,0.15,0.1,quarterly,2023-11-02,2025-03-11,337,0.328368713663,0.546105387096,0.379226245598,0.0509175661307,3.19790554675,0.0275432247294,15.4926014815,,,,
FIXED_85_15,SSO,LAG2,25,staged,0.15,0.1,quarterly,2025-05-13,2026-03-23,215,0.211415076069,0.202876620402,0.239693982766,0.0198375790045,2.68197941618,0.0326190430256,10.3319485813,,,,
FIXED_85_15,SSO,LAG2,25,staged,0.15,0.1,quarterly,2026-04-09,2026-09-02,101,0.589365404997,0.236660163796,0.701311708964,0.0272072556275,2.16612590718,0.0392470420734,12.6313542917,,,,
HWM_RESERVE,SSO,LAG2,25,staged,0.15,0.1,rule,1987-01-09,1987-10-19,196,-0.384055884448,-0.327959664379,-0.401271123182,-0.0219638749255,0.048057149062,0.0230439309084,0.494507263021,1987,0.021397548994,0.00322867189275,6.62735319809
HWM_RESERVE,SSO,LAG2,25,staged,0.15,0.1,rule,1988-06-02,1990-01-23,415,0.242561081808,0.428301388908,0.242357507841,-0.000269154160551,0,0,0,2000_2002,-2.30926389122e-14,0.135451619694,-1.7048625158e-13
HWM_RESERVE,SSO,LAG2,25,staged,0.15,0.1,rule,1990-05-07,1990-08-07,64,-0.17135794049,-0.0462422330322,-0.17135794049,3.33066907388e-16,0,0,0,2000_2002,-2.30926389122e-14,0.135451619694,-1.7048625158e-13
