series,fund,lag,cost_bps,deployment,cap,harvest,rebalance,horizon_years,cohorts,min_terminal_multiple,median_terminal_multiple,min_cagr,median_cagr,cohort_kind
NO_RESERVE,UPRO,LAG1,50,staged,0.15,0.1,rule,20,240,1.40901515,6.449645199,0.01729236054,0.09768055216,inherited_policy_state
NO_RESERVE,UPRO,LAG1,50,staged,0.15,0.1,rule,30,120,19.27837302,34.04916749,0.1036559901,0.1247747196,inherited_policy_state
FIXED_90_10,UPRO,LAG1,50,staged,0.15,0.1,quarterly,20,240,1.576285008,6.338369953,0.02301437727,0.09671565097,inherited_policy_state
FIXED_90_10,UPRO,LAG1,50,staged,0.15,0.1,quarterly,30,120,18.34162643,30.77057489,0.1018251295,0.1209621341,inherited_policy_state
FIXED_85_15,UPRO,LAG1,50,staged,0.15,0.1,quarterly,20,240,1.650089802,6.215671885,0.02535765722,0.09564276307,inherited_policy_state
FIXED_85_15,UPRO,LAG1,50,staged,0.15,0.1,quarterly,30,120,17.66429074,28.82302695,0.1004440757,0.1185452223,inherited_policy_state
HWM_RESERVE,UPRO,LAG1,50,staged,0.15,0.1,rule,20,240,1.419406953,6.438080223,0.0176661906,0.09758410707,inherited_policy_state
HWM_RESERVE,UPRO,LAG1,50,staged,0.15,0.1,rule,30,120,19.58934631,34.10147066,0.104244809,0.1248129295,inherited_policy_state
ASYMMETRIC_RESERVE_BAND,UPRO,LAG1,50,staged,0.2,0.1,rule,20,240,1.396709361,6.025779374,0.01684627539,0.0939378643,inherited_policy_state
ASYMMETRIC_RESERVE_BAND,UPRO,LAG1,50,staged,0.2,0.1,rule,30,120,17.99521194,30.76320278,0.1011057285,0.1209940691,inherited_policy_state
HWM_DRAWDOWN,UPRO,LAG1,50,drawdown,0.15,0.1,rule,20,240,1.835350102,7.051079468,0.03082738144,0.1025845116,inherited_policy_state
HWM_DRAWDOWN,UPRO,LAG1,50,drawdown,0.15,0.1,rule,30,120,21.54232167,37.38308774,0.1077482068,0.1282695356,inherited_policy_state
BAND_DRAWDOWN,UPRO,LAG1,50,drawdown,0.2,0.1,rule,20,240,1.659573063,6.840991948,0.02565149844,0.1009118745,inherited_policy_state
BAND_DRAWDOWN,UPRO,LAG1,50,drawdown,0.2,0.1,rule,30,120,20.14443393,33.72083958,0.1052535527,0.1244115522,inherited_policy_state
SP500_1X,UPRO,LAG1,50,none,0,0,none,20,240,2.548264871,5.387530213,0.04788163336,0.08783863295,inherited_policy_state
SP500_1X,UPRO,LAG1,50,none,0,0,none,30,120,14.5499732,18.97715059,0.0933527571,0.1030718628,inherited_policy_state
UPRO_ALWAYS,UPRO,LAG1,50,none,0,0,none,20,240,0.5231734517,3.262170035,-0.03187310567,0.06090215039,inherited_policy_state
UPRO_ALWAYS,UPRO,LAG1,50,none,0,0,none,30,120,9.375569906,33.73584136,0.07745327156,0.1244216884,inherited_policy_state
UPRO_SMA_TO_TBILL,UPRO,LAG1,50,none,0,0,none,20,240,1.295688769,5.410055781,0.01303456719,0.08807814432,inherited_policy_state
UPRO_SMA_TO_TBILL,UPRO,LAG1,50,none,0,0,none,30,120,12.80334002,20.93567077,0.0887021781,0.1066939287,inherited_policy_state
NO_RESERVE,UPRO,LAG2,0,staged,0.15,0.1,rule,20,240,5.45052877,18.2772059,0.08848370485,0.1563549575,inherited_policy_state
NO_RESERVE,UPRO,LAG2,0,staged,0.15,0.1,rule,30,120,66.57257759,154.150737,0.1502009958,0.1828338407,inherited_policy_state
FIXED_90_10,UPRO,LAG2,0,staged,0.15,0.1,quarterly,20,240,5.236108383,16.07498476,0.08630163044,0.148966925,inherited_policy_state
FIXED_90_10,UPRO,LAG2,0,staged,0.15,0.1,quarterly,30,120,56.48549158,118.8689181,0.1439188919,0.1726311542,inherited_policy_state
FIXED_85_15,UPRO,LAG2,0,staged,0.15,0.1,quarterly,20,240,5.091297951,14.89760746,0.08477939085,0.1446052889,inherited_policy_state
FIXED_85_15,UPRO,LAG2,0,staged,0.15,0.1,quarterly,30,120,51.31616683,102.8682941,0.1402652057,0.1669942348,inherited_policy_state
HWM_RESERVE,UPRO,LAG2,0,staged,0.15,0.1,rule,20,240,5.375305871,17.95562057,0.08772762664,0.1553060017,inherited_policy_state
HWM_RESERVE,UPRO,LAG2,0,staged,0.15,0.1,rule,30,120,66.35615412,150.7231019,0.1500761641,0.1819428566,inherited_policy_state
ASYMMETRIC_RESERVE_BAND,UPRO,LAG2,0,staged,0.2,0.1,rule,20,240,5.298761001,17.35926484,0.08694787183,0.1533572063,inherited_policy_state
ASYMMETRIC_RESERVE_BAND,UPRO,LAG2,0,staged,0.2,0.1,rule,30,120,65.68961674,140.8377127,0.1496892218,0.1792952029,inherited_policy_state
HWM_DRAWDOWN,UPRO,LAG2,0,drawdown,0.15,0.1,rule,20,240,6.306666364,18.41711038,0.09645293098,0.1567702542,inherited_policy_state
HWM_DRAWDOWN,UPRO,LAG2,0,drawdown,0.15,0.1,rule,30,120,66.12690447,144.5624963,0.1499435043,0.1803057137,inherited_policy_state
BAND_DRAWDOWN,UPRO,LAG2,0,drawdown,0.2,0.1,rule,20,240,6.496337735,19.36743334,0.09807860485,0.1597094564,inherited_policy_state
BAND_DRAWDOWN,UPRO,LAG2,0,drawdown,0.2,0.1,rule,30,120,70.00636277,152.4382605,0.1521307751,0.1823951799,inherited_policy_state
SP500_1X,UPRO,LAG2,0,none,0,0,none,20,240,2.548264871,5.387530213,0.04788163336,0.08783863295,inherited_policy_state
SP500_1X,UPRO,LAG2,0,none,0,0,none,30,120,14.5499732,18.97715059,0.0933527571,0.1030718628,inherited_policy_state
UPRO_ALWAYS,UPRO,LAG2,0,none,0,0,none,20,240,0.5231734517,3.262170035,-0.03187310567,0.06090215039,inherited_policy_state
UPRO_ALWAYS,UPRO,LAG2,0,none,0,0,none,30,120,9.375569906,33.73584136,0.07745327156,0.1244216884,inherited_policy_state
UPRO_SMA_TO_TBILL,UPRO,LAG2,0,none,0,0,none,20,240,5.508050638,17.79196041,0.08904249142,0.1548000142,inherited_policy_state
UPRO_SMA_TO_TBILL,UPRO,LAG2,0,none,0,0,none,30,120,58.04566849,118.821118,0.1449582338,0.1726271897,inherited_policy_state
NO_RESERVE,UPRO,LAG2,10,staged,0.15,0.1,rule,20,240,4.686270557,15.85516646,0.08029251726,0.1481435415,inherited_policy_state
NO_RESERVE,UPRO,LAG2,10,staged,0.15,0.1,rule,30,120,54.39061809,124.6965226,0.1424788267,0.1745012692,inherited_policy_state
FIXED_90_10,UPRO,LAG2,10,staged,0.15,0.1,quarterly,20,240,4.572673339,14.18746519,0.07896786161,0.1418135143,inherited_policy_state
FIXED_90_10,UPRO,LAG2,10,staged,0.15,0.1,quarterly,30,120,47.11449848,98.27012035,0.1370230641,0.1652149122,inherited_policy_state
FIXED_85_15,UPRO,LAG2,10,staged,0.15,0.1,quarterly,20,240,4.480726613,13.22528203,0.07787257575,0.1378112872,inherited_policy_state
FIXED_85_15,UPRO,LAG2,10,staged,0.15,0.1,quarterly,30,120,43.24475342,85.96427648,0.1337795673,0.1600306242,inherited_policy_state
HWM_RESERVE,UPRO,LAG2,10,staged,0.15,0.1,rule,20,240,4.618464453,15.59429505,0.07950555193,0.1471917949,inherited_policy_state
HWM_RESERVE,UPRO,LAG2,10,staged,0.15,0.1,rule,30,120,54.21617366,121.9411658,0.142356502,0.1736212452,inherited_policy_state
ASYMMETRIC_RESERVE_BAND,UPRO,LAG2,10,staged,0.2,0.1,rule,20,240,4.558479986,15.07420129,0.07880016106,0.1452587926,inherited_policy_state
ASYMMETRIC_RESERVE_BAND,UPRO,LAG2,10,staged,0.2,0.1,rule,30,120,53.73909656,114.4795917,0.1420200104,0.1711770167,inherited_policy_state
HWM_DRAWDOWN,UPRO,LAG2,10,drawdown,0.15,0.1,rule,20,240,5.461460727,16.04342822,0.0885927579,0.1488397325,inherited_policy_state
HWM_DRAWDOWN,UPRO,LAG2,10,drawdown,0.15,0.1,rule,30,120,54.82791558,119.1185608,0.1427838114,0.1727127046,inherited_policy_state
BAND_DRAWDOWN,UPRO,LAG2,10,drawdown,0.2,0.1,rule,20,240,5.6572243,16.98609709,0.09051129941,0.1521273068,inherited_policy_state
BAND_DRAWDOWN,UPRO,LAG2,10,drawdown,0.2,0.1,rule,30,120,58.22422372,125.6598312,0.1450754551,0.1748050121,inherited_policy_state
