series,lag,event,first_below_sma_signal_close,already_below_at_episode_start,first_deleveraging_execution_close,first_deleveraged_return_end,value_at_first_signal,decline_before_signal,lowest_value_after_first_signal,leverage_resumed_execution_close,switch_count,whipsaw_reversal_switches_within_10_sessions,episode_end_value,episode_min_value,episode_max_drawdown,eventual_recovery_date,episode_end_wealth_difference_vs_lag1,additional_episode_drawdown_vs_lag1
UPRO_ALWAYS,LAG2,2007_2009,2007-08-03,False,,,0.959286682985,0.223584623073,0.0528577835162,,0,0,0.213609687437,0.0528577835162,-0.957218632719,2015-05-18,0,0
UPRO_ALWAYS,LAG2,2020,2020-02-27,False,,,0.769913821569,0.328382311685,0.267295983969,,0,0,1.10660051656,0.267295983969,-0.766830123294,2021-01-07,0,0
UPRO_ALWAYS,LAG2,2022,2022-01-21,False,,,0.782287553741,0.232276386877,0.369834864659,,0,0,0.436818992279,0.369834864659,-0.637050395091,2024-06-12,0,0
UPRO_SMA_TO_SP500,LAG1,1987,1987-10-16,True,1987-10-16,1987-10-19,1.24328743318,0.434232294923,0.988863484861,1988-06-01,2,0,1.09392399154,0.988863484861,-0.550009909588,1989-07-31,0,0
UPRO_SMA_TO_SP500,LAG1,2000_2002,2000-02-18,False,2000-02-18,2000-02-22,0.741325448743,0.258674551257,0.306383206365,2000-02-23,25,17,0.348454226898,0.306383206365,-0.693616793635,2013-03-11,0,0
UPRO_SMA_TO_SP500,LAG1,2007_2009,2007-08-03,False,2007-08-03,2007-08-06,0.959286682985,0.223584623073,0.378672044972,2007-08-06,18,13,0.895929112305,0.378672044972,-0.693515188166,2013-01-29,0,0
UPRO_SMA_TO_SP500,LAG1,2020,2020-02-27,False,2020-02-27,2020-02-28,0.769913821569,0.328382311685,0.507523824729,2020-03-02,6,4,1.28290355899,0.507523824729,-0.557272556512,2020-11-16,0,0
UPRO_SMA_TO_SP500,LAG1,2022,2022-01-21,False,2022-01-21,2022-01-24,0.782287553741,0.232276386877,0.570056803826,2022-01-24,15,10,0.58187896664,0.570056803826,-0.440556011627,2024-03-01,0,0
UPRO_SMA_TO_SP500,LAG2,1987,1987-10-16,True,1987-10-19,1987-10-20,1.22952828641,0.434232294923,0.472963819477,1988-06-02,2,0,0.523213241442,0.472963819477,-0.782365596882,1995-06-22,-0.570710750102,0.232355687294
UPRO_SMA_TO_SP500,LAG2,2000_2002,2000-02-18,False,2000-02-22,2000-02-23,0.741325448743,0.258674551257,0.320871992397,2000-02-24,25,17,0.364932541083,0.320871992397,-0.679128007603,2007-01-24,0.016478314185,-0.014488786032
UPRO_SMA_TO_SP500,LAG2,2007_2009,2007-08-03,False,2007-08-06,2007-08-07,0.959286682985,0.223584623073,0.347114653662,2007-08-07,18,13,0.781989231711,0.347114653662,-0.7190567122,2013-03-08,-0.113939880595,0.025541524034
UPRO_SMA_TO_SP500,LAG2,2020,2020-02-27,False,2020-02-28,2020-03-02,0.769913821569,0.328382311685,0.594422002902,2020-03-03,6,4,1.45992538529,0.594422002902,-0.481468808212,2020-08-25,0.177021826297,-0.0758037483002
UPRO_SMA_TO_SP500,LAG2,2022,2022-01-21,False,2022-01-24,2022-01-25,0.782287553741,0.232276386877,0.52473580552,2022-01-25,15,10,0.532642703775,0.52473580552,-0.485033263507,2024-06-12,-0.0492362628646,0.0444772518794
UPRO_SMA_TO_TBILL,LAG1,1987,1987-10-16,True,1987-10-16,1987-10-19,1.17144339035,0.434232294923,1.17144339035,1988-06-01,2,0,1.18587922802,1,-0.434232294923,1989-07-19,0,0
UPRO_SMA_TO_TBILL,LAG1,2000_2002,2000-02-18,False,2000-02-18,2000-02-22,0.741325448743,0.258674551257,0.489432336435,2000-02-23,25,17,0.495269960753,0.489432336435,-0.510567663565,2007-07-13,0,0
UPRO_SMA_TO_TBILL,LAG1,2007_2009,2007-08-03,False,2007-08-03,2007-08-06,0.959286682985,0.223584623073,0.631162386728,2007-08-06,18,13,1.26147664425,0.631162386728,-0.489157734507,2009-11-16,0,0
UPRO_SMA_TO_TBILL,LAG1,2020,2020-02-27,False,2020-02-27,2020-02-28,0.769913821569,0.328382311685,0.631222230405,2020-03-02,6,4,1.19406858654,0.631222230405,-0.449366924816,2020-12-17,0,0
UPRO_SMA_TO_TBILL,LAG1,2022,2022-01-21,False,2022-01-21,2022-01-24,0.782287553741,0.232276386877,0.61706276164,2022-01-24,15,10,0.618242039259,0.61706276164,-0.394425169332,2024-03-20,0,0
UPRO_SMA_TO_TBILL,LAG2,1987,1987-10-16,True,1987-10-19,1987-10-20,1.15195207197,0.434232294923,0.443122503024,1988-06-02,2,0,0.448319582457,0.443122503024,-0.782365596882,1995-12-04,-0.737559645564,0.348133301959
UPRO_SMA_TO_TBILL,LAG2,2000_2002,2000-02-18,False,2000-02-22,2000-02-23,0.741325448743,0.258674551257,0.52318697126,2000-02-24,25,17,0.530676583585,0.52318697126,-0.47681302874,2003-12-29,0.0354066228315,-0.0337546348257
UPRO_SMA_TO_TBILL,LAG2,2007_2009,2007-08-03,False,2007-08-06,2007-08-07,0.959286682985,0.223584623073,0.515384968799,2007-08-07,18,13,1.03007738517,0.515384968799,-0.582864203256,2010-04-05,-0.231399259081,0.0937064687495
UPRO_SMA_TO_TBILL,LAG2,2020,2020-02-27,False,2020-02-28,2020-03-02,0.769913821569,0.328382311685,0.751154906067,2020-03-03,6,4,1.44881737819,0.751154906067,-0.344746246339,2020-08-25,0.254748791655,-0.104620678477
UPRO_SMA_TO_TBILL,LAG2,2022,2022-01-21,False,2022-01-24,2022-01-25,0.782287553741,0.232276386877,0.540810405458,2022-01-25,15,10,0.541779608954,0.540810405458,-0.469257926312,2024-07-10,-0.076462430305,0.0748327569798
