series,fund,lag,cost_bps,average_reserve,rounded_fixed_reserve,fixed_actual_average_reserve,dynamic_cagr,fixed_cagr,exact_average_fixed_cagr,exact_average_fixed_actual_reserve,dynamic_to_exact_average_fixed_terminal_ratio,dynamic_to_fixed_terminal_ratio,fixed_max_drawdown,dynamic_average_effective_exposure,fixed_average_effective_exposure,constant_leverage_cagr,constant_leverage_max_drawdown,constant_leverage_terminal_multiple
HWM_DRAWDOWN,UPRO,LAG1,25,0.0676574556927,0.05,0.0492577211057,0.176447806803,0.174735595939,0.173210447452,0.0666503582672,1.11632608326,1.05988774318,-0.769021866225,2.39809434214,2.43989773771,0.144384238372,-0.941718067214,218.286079219
BAND_DRAWDOWN,UPRO,LAG1,25,0.0757460524796,0.1,0.0985077522884,0.173973449375,0.170289674411,0.172495348324,0.0746175257847,1.05159838864,1.13372150779,-0.740706169147,2.37461143193,2.31557197779,0.144344797545,-0.93918479351,217.985848714
HWM_RESERVE,UPRO,LAG1,50,0.0111416092463,0,0,0.161940806071,0.161869047126,0.161207263038,0.0109777270956,1.02553950084,1.0024693753,-0.835051750179,2.53471423457,2.56397256188,0.144136687117,-0.954720840032,216.408330025
ASYMMETRIC_RESERVE_BAND,UPRO,LAG1,50,0.0380139438574,0.05,0.0492577211057,0.158341648951,0.158739954491,0.159527226992,0.0374509290678,0.959970835942,0.986364435668,-0.812112410811,2.4623448854,2.43989773771,0.144369567384,-0.948188346624,218.174354023
HWM_DRAWDOWN,UPRO,LAG1,50,0.06283292788,0.05,0.0492577211057,0.161583095295,0.158739954491,0.157871361197,0.0618982395804,1.136337922,1.10281357487,-0.812112410811,2.41094776953,2.43989773771,0.144395690133,-0.943065648947,218.373327533
BAND_DRAWDOWN,UPRO,LAG1,50,0.0755825065674,0.1,0.0985077522884,0.158491188829,0.155207356267,0.15698226276,0.0744564351214,1.05342632491,1.12003234428,-0.786595117406,2.37498447995,2.31557197779,0.14434561094,-0.939225767866,217.99203635
HWM_RESERVE,UPRO,LAG2,0,0.0127454308597,0,0,0.168887045035,0.16817959531,0.167774820719,0.0127745990239,1.03874840819,1.0244715232,-0.782365596882,2.53111735461,2.56397256188,0.144153702795,-0.954413995469,216.536893332
ASYMMETRIC_RESERVE_BAND,UPRO,LAG2,0,0.0339831940842,0.05,0.0500164903595,0.169539807356,0.166273359898,0.166975088119,0.0340213429993,1.09162703723,1.1181660451,-0.74694479863,2.47682020913,2.43865272265,0.144341381291,-0.949556838378,217.959862538
HWM_DRAWDOWN,UPRO,LAG2,0,0.0711452416803,0.05,0.0500164903595,0.167823044809,0.166273359898,0.165223870363,0.0711013576212,1.09305783532,1.05445857875,-0.74694479863,2.39057808827,2.43865272265,0.144374216899,-0.940917343103,218.20975582
BAND_DRAWDOWN,UPRO,LAG2,0,0.0728359968924,0.05,0.0500164903595,0.167032098233,0.166273359898,0.165134107489,0.0727858861147,1.06715859501,1.02631166088,-0.74694479863,2.38461356721,2.43865272265,0.144364520015,-0.940275183615,218.13592926
HWM_RESERVE,UPRO,LAG2,10,0.0123315002429,0,0,0.162262665993,0.16146750132,0.161164373532,0.0123600188478,1.03847591738,1.0277073911,-0.782448214197,2.53228742494,2.56397256188,0.144148230199,-0.954514010884,216.495536582
ASYMMETRIC_RESERVE_BAND,UPRO,LAG2,10,0.0339822429834,0.05,0.0500164903595,0.162872078272,0.159916853204,0.160504601227,0.034020392502,1.08478803561,1.10695700581,-0.746946790571,2.47682270118,2.43865272265,0.144341375648,-0.949557071245,217.959819619
