frontier,basis,variant,cell,family,regime,maturity_months,roll_months,moneyness,premium_budget,cagr_p50,cagr_p5,median_max_drawdown,prob_drawdown_worse_than_60,mean_delta_exposure,option_turnover_per_year,theta_burden_per_year,vega_per_nav,mean_entry_years,cagr_per_volatility_point,on_growth_frontier,on_robust_frontier,on_frontier
SPX fixed budget,fixed,SPX_85_35_15M_R12,SPX_85_35,SPX,15m/12m,15,12,0.85,0.35,0.1533037076,0.06999819004,-0.5403702854,0.2844,1.581155553,0.3506480148,-0.03963012852,0.2620612397,1.248596851,0.006100032569,False,False,False
SPX fixed budget,fixed,SPX_85_35_18M_R6,SPX_85_35,SPX,18m/6m,18,6,0.85,0.35,0.1416678331,0.06782709187,-0.5014740983,0.1694,1.468475183,0.71006223,-0.04041029773,0.4551504005,1.495880549,0.006896563507,False,False,False
SPX fixed budget,fixed,SPX_85_35_18M_R12,SPX_85_35,SPX,18m/12m,18,12,0.85,0.35,0.1492467227,0.07165055724,-0.5128624334,0.197,1.495902392,0.3594142152,-0.03903098355,0.3528403244,1.491594464,0.006436381222,False,False,False
SPX fixed budget,fixed,SPX_85_35_24M_R6,SPX_85_35,SPX,24m/6m,24,6,0.85,0.35,0.1362866888,0.06835820625,-0.4680446807,0.0958,1.340166393,0.6925298293,-0.03349121629,0.5543299067,2.000433204,0.00619593655,False,False,False
SPX fixed budget,fixed,SPX_85_35_24M_R12,SPX_85_35,SPX,24m/12m,24,12,0.85,0.35,0.1438854066,0.07329130115,-0.4769632111,0.104,1.362930984,0.3506480148,-0.03103878019,0.4414382544,2.004928131,0.006027598259,False,False,False
SPX fixed budget,fixed,SPX_85_35_30M_R12,SPX_85_35,SPX,30m/12m,30,12,0.85,0.35,0.1393336998,0.07330422332,-0.4492656481,0.0626,1.267592704,0.3506480148,-0.02810231946,0.5480053241,2.490759754,0.005776728505,True,False,True
SPX fixed budget,fixed,SPX_85_35_30M_R18,SPX_85_35,SPX,30m/18m,30,18,0.85,0.35,0.1416874001,0.07453191273,-0.4616090006,0.0774,1.287886165,0.23668741,-0.0236845266,0.4230811501,2.489010571,0.00580241762,True,False,True
SPX fixed budget,fixed,SPX_85_40_15M_R6,SPX_85_40,SPX,15m/6m,15,6,0.85,0.4,0.1532900576,0.06561466485,-0.576475282,0.407,1.767659112,0.8014811767,-0.04916400288,0.4369221977,1.24705681,0.008233656233,False,False,False
SPX fixed budget,fixed,SPX_85_40_15M_R12,SPX_85_40,SPX,15m/12m,15,12,0.85,0.4,0.1613651859,0.06835429148,-0.5955119257,0.4814,1.795722406,0.4007405884,-0.04593830623,0.3019380961,1.248596851,0.00682943346,False,False,False
SPX fixed budget,fixed,SPX_85_40_18M_R6,SPX_85_40,SPX,18m/6m,18,6,0.85,0.4,0.149376248,0.06576296761,-0.5520231989,0.3244,1.673608874,0.8114996914,-0.0463104605,0.5212216618,1.495880549,0.007759935,False,False,False
SPX fixed budget,fixed,SPX_85_40_18M_R12,SPX_85_40,SPX,18m/12m,18,12,0.85,0.4,0.1575662136,0.07036640743,-0.5641079663,0.363,1.698747721,0.4107591031,-0.04510116659,0.4062511048,1.491594464,0.007198677672,False,False,False
