series,lag,execution,switch_cost_bps,period,entry_close,first_return,last_return,observations,cagr,max_drawdown,terminal_multiple,years,annualized_volatility,sharpe,longest_underwater_calendar_days,max_drawdown_peak,max_drawdown_trough,max_drawdown_recovery,max_drawdown_recovered,max_drawdown_recovery_days_from_trough,max_drawdown_recovery_days_from_peak,worst_calendar_year,worst_calendar_year_return,best_calendar_year,best_calendar_year_return,worst_rolling_1y_cagr,worst_rolling_5y_cagr,worst_rolling_10y_cagr,switch_count,switches_per_year,average_equity_exposure,terminal_wealth_10000,timing_cagr_difference,timing_terminal_ratio,fee_equal_control_cagr,fee_equal_timing_cagr_difference,matched_entry_close,matched_first_return,matched_last_return,matched_observations,matched_cagr,matched_max_drawdown,matched_terminal_multiple,matched_years,matched_annualized_volatility,matched_sharpe,matched_longest_underwater_calendar_days,matched_max_drawdown_peak,matched_max_drawdown_trough,matched_max_drawdown_recovery,matched_max_drawdown_recovered,matched_max_drawdown_recovery_days_from_trough,matched_max_drawdown_recovery_days_from_peak,matched_worst_calendar_year,matched_worst_calendar_year_return,matched_best_calendar_year,matched_best_calendar_year_return,matched_worst_rolling_1y_cagr,matched_worst_rolling_5y_cagr,matched_worst_rolling_10y_cagr,matched_switch_count,matched_switches_per_year
VOL_BINARY,LAG1,IMMEDIATE_NEXT_RETURN,0,2010_2019,2009-12-31,2010-01-04,2019-12-31,2516,0.3125175262,-0.3824757987,15.16664201,9.998631075,0.3551503999,0.9302630811,521,2011-04-29,2011-10-03,2012-03-26,True,175,332,2018,-0.1355625666,2013,1.18798752,-0.2733182673,0.1888511325,0.3125175262,36,3.600492881,2.722575517,151666.4201,0.00754497475,1.059336452,0.3066022806,0.005915245588,2009-12-31,2010-01-04,2019-12-31,2516,0.3049725514,-0.4770167856,14.3171152,9.998631075,0.4022549941,0.8512863047,420,2011-04-29,2011-10-03,2012-03-19,True,168,325,2018,-0.2140521035,2013,1.044283607,-0.341510161,0.1293319127,0.3049725514,0,0
VOL_BINARY,LAG1,IMMEDIATE_NEXT_RETURN,0,2020_latest,2019-12-31,2020-01-02,2026-09-02,1676,0.2699623545,-0.4908101854,4.926146349,6.672142368,0.4130028814,0.7190715378,755,2020-02-19,2020-03-23,2021-02-12,True,326,359,2022,-0.3687687502,2021,0.8686921526,-0.3888191532,0.2025256938,,46,6.8943373,2.556085919,49261.46349,0.01877887665,1.10450513,0.2536455038,0.01631685063,2019-12-31,2020-01-02,2026-09-02,1676,0.2511834778,-0.6977806465,4.46004841,6.672142368,0.518689801,0.6403294218,808,2020-02-19,2020-03-23,2020-12-04,True,256,289,2022,-0.4884342569,2021,0.8085627757,-0.5125418064,0.1617761806,,0,0
VOL_BINARY,LAG1,IMMEDIATE_NEXT_RETURN,25,1987_1999,1986-12-31,1987-01-02,1999-12-31,3286,0.3069851307,-0.5202906202,32.46675059,12.99931554,0.390055881,0.7421591894,809,1989-10-09,1990-10-11,1991-12-27,True,442,809,1990,-0.3288586638,1995,1.22788602,-0.5095315115,0.05213305826,0.2255931191,58,4.461773378,2.776019477,324667.5059,0.007090797802,1.073277773,0.3011870006,0.005798130118,1986-12-31,1987-01-02,1999-12-31,3286,0.2998943329,-0.7685953069,30.25009127,12.99931554,0.4544305937,0.7033592088,2024,1987-08-25,1987-12-04,1993-03-10,True,1923,2024,1987,-0.3067259316,1995,1.111351564,-0.6918123878,-0.05393982919,0.1534971851,0,0
VOL_BINARY,LAG1,IMMEDIATE_NEXT_RETURN,25,2000_2009,1999-12-31,2000-01-03,2009-12-31,2515,-0.1573114657,-0.9002139698,0.1805381937,10.00136893,0.4026134375,-0.291550774,3569,2000-03-24,2009-03-09,,False,,,2008,-0.6790096122,2003,0.7062020826,-0.7470142693,-0.2273093114,-0.1573114657,70,6.999041883,2.305765408,1805.381937,-0.01687041594,0.8201671988,-0.1377667529,-0.01954471274,1999-12-31,2000-01-03,2009-12-31,2515,-0.1404410497,-0.9312032777,0.2201236455,10.00136893,0.512542733,-0.09278305485,3570,2000-03-23,2009-03-09,,False,,,2008,-0.7446082911,2003,0.6608719115,-0.8360275491,-0.2833794256,-0.1404410497,0,0
VOL_BINARY,LAG1,IMMEDIATE_NEXT_RETURN,25,2010_2019,2009-12-31,2010-01-04,2019-12-31,2516,0.3007416036,-0.3840196092,13.8597052,9.998631075,0.3551072522,0.9048943209,551,2011-04-29,2011-10-03,2012-03-26,True,175,332,2018,-0.1548190408,2013,1.18798752,-0.291197691,0.1764163425,0.3007416036,36,3.600492881,2.722575517,138597.052,-0.004230947801,0.9680515251,0.3066022806,-0.005860676962,2009-12-31,2010-01-04,2019-12-31,2516,0.3049725514,-0.4770167856,14.3171152,9.998631075,0.4022549941,0.8512863047,420,2011-04-29,2011-10-03,2012-03-19,True,168,325,2018,-0.2140521035,2013,1.044283607,-0.341510161,0.1293319127,0.3049725514,0,0
VOL_BINARY,LAG1,IMMEDIATE_NEXT_RETURN,25,2020_latest,2019-12-31,2020-01-02,2026-09-02,1676,0.2482341017,-0.4946195697,4.390367861,6.672142368,0.4131584157,0.6770992145,792,2020-02-19,2020-03-23,2021-04-01,True,374,407,2022,-0.3965785148,2021,0.8593603711,-0.4157635997,0.1857936709,,46,6.8943373,2.556085919,43903.67861,-0.002949376109,0.9843767279,0.2536455038,-0.00541140213,2019-12-31,2020-01-02,2026-09-02,1676,0.2511834778,-0.6977806465,4.46004841,6.672142368,0.518689801,0.6403294218,808,2020-02-19,2020-03-23,2020-12-04,True,256,289,2022,-0.4884342569,2021,0.8085627757,-0.5125418064,0.1617761806,,0,0
REL_VOL,LAG1,IMMEDIATE_NEXT_RETURN,0,1987_1999,1986-12-31,1987-01-02,1999-12-31,3286,0.3187208153,-0.4630408611,36.46741315,12.99931554,0.3520440384,0.8079948938,521,1987-08-25,1987-12-04,1989-01-27,True,420,521,1994,-0.02135327782,1995,0.8391718745,-0.2817701442,0.1115490645,0.2209781678,182,14.00073715,2.225806452,364674.1315,0.04627999681,1.591064836,0.2768594374,0.0418613779,1986-12-31,1987-01-02,1999-12-31,3286,0.2724408185,-0.6595340519,22.92013018,12.99931554,0.3643581946,0.7033365884,1588,1987-08-25,1987-12-04,1991-12-30,True,1487,1588,1990,-0.1991108304,1995,0.84783236,-0.5595140402,0.0005443015809,0.1556008289,0,0
REL_VOL,LAG1,IMMEDIATE_NEXT_RETURN,0,2000_2009,1999-12-31,2000-01-03,2009-12-31,2515,-0.1864358424,-0.965058382,0.1269975678,10.00136893,0.4580653946,-0.2811322791,3653,1999-12-31,2009-03-09,,False,,,2008,-0.6188430959,2003,0.6184927469,-0.7810272517,-0.3220162586,-0.1864358424,112,11.19846701,2.196023857,1269.975678,-0.05851299628,0.4992610512,-0.1248040425,-0.06163179991,1999-12-31,2000-01-03,2009-12-31,2515,-0.1279228461,-0.916625221,0.2543710701,10.00136893,0.4881474737,-0.09292400324,3570,2000-03-23,2009-03-09,,False,,,2008,-0.7214767551,2003,0.6275121566,-0.8169754147,-0.2663361305,-0.1279228461,0,0
REL_VOL,LAG1,IMMEDIATE_NEXT_RETURN,0,2010_2019,2009-12-31,2010-01-04,2019-12-31,2516,0.198115261,-0.4280526077,6.093664529,9.998631075,0.3026251866,0.73138341,801,2011-04-29,2011-11-25,2012-03-15,True,111,321,2015,-0.07287389298,2019,0.595706677,-0.2449321034,0.02646164274,0.198115261,116,11.60158817,2.231319555,60936.64529,-0.06139502832,0.6067342521,0.2638066129,-0.06569135189,2009-12-31,2010-01-04,2019-12-31,2516,0.2595102893,-0.4012226844,10.04338309,9.998631075,0.3296709731,0.8494389971,418,2011-04-29,2011-10-03,2012-03-13,True,162,319,2018,-0.1634849421,2013,0.8083005494,-0.2773648906,0.1159459713,0.2595102893,0,0
REL_VOL,LAG1,IMMEDIATE_NEXT_RETURN,0,2020_latest,2019-12-31,2020-01-02,2026-09-02,1676,0.2599075413,-0.4362457366,4.671689044,6.672142368,0.3836654502,0.7218280947,490,2022-08-16,2022-09-30,2023-12-19,True,445,490,2022,-0.324048557,2023,0.6026859979,-0.3555798316,0.1405817618,,82,12.28990562,2.196897375,46716.89044,0.02268092121,1.128858044,0.2416188823,0.01828865898,2019-12-31,2020-01-02,2026-09-02,1676,0.2372266201,-0.6318149958,4.1384203,6.672142368,0.4458019555,0.6390175109,788,2020-02-19,2020-03-23,2020-11-16,True,238,271,2022,-0.4236572435,2021,0.6747947331,-0.4471497596,0.1552924683,,0,0
REL_VOL,LAG1,IMMEDIATE_NEXT_RETURN,25,1987_1999,1986-12-31,1987-01-02,1999-12-31,3286,0.2733058108,-0.4710450757,23.12349896,12.99931554,0.3519804135,0.7087219131,524,1987-08-25,1987-12-04,1989-01-30,True,423,524,1990,-0.05321972162,1995,0.7625509946,-0.2924258106,0.07703386034,0.1816062829,182,14.00073715,2.225806452,231234.9896,0.0008649923256,1.008872933,0.2768594374,-0.003553626582,1986-12-31,1987-01-02,1999-12-31,3286,0.2724408185,-0.6595340519,22.92013018,12.99931554,0.3643581946,0.7033365884,1588,1987-08-25,1987-12-04,1991-12-30,True,1487,1588,1990,-0.1991108304,1995,0.84783236,-0.5595140402,0.0005443015809,0.1556008289,0,0
REL_VOL,LAG1,IMMEDIATE_NEXT_RETURN,25,2000_2009,1999-12-31,2000-01-03,2009-12-31,2515,-0.2089243762,-0.9733353012,0.09594905282,10.00136893,0.4581349315,-0.3422513186,3653,1999-12-31,2009-03-09,,False,,,2008,-0.6356354898,2003,0.6023684118,-0.7885730689,-0.346022271,-0.2089243762,112,11.19846701,2.196023857,959.4905282,-0.08100153008,0.3772011212,-0.1248040425,-0.08412033372,1999-12-31,2000-01-03,2009-12-31,2515,-0.1279228461,-0.916625221,0.2543710701,10.00136893,0.4881474737,-0.09292400324,3570,2000-03-23,2009-03-09,,False,,,2008,-0.7214767551,2003,0.6275121566,-0.8169754147,-0.2663361305,-0.1279228461,0,0
REL_VOL,LAG1,IMMEDIATE_NEXT_RETURN,25,2010_2019,2009-12-31,2010-01-04,2019-12-31,2516,0.1638220043,-0.4393919636,4.558011821,9.998631075,0.302698497,0.6351599256,809,2011-04-29,2011-11-25,2012-03-19,True,115,325,2015,-0.09579302222,2019,0.5446170306,-0.2744587349,-0.006406945716,0.1638220043,116,11.60158817,2.231319555,45580.11821,-0.09568828505,0.4538323172,0.2638066129,-0.09998460863,2009-12-31,2010-01-04,2019-12-31,2516,0.2595102893,-0.4012226844,10.04338309,9.998631075,0.3296709731,0.8494389971,418,2011-04-29,2011-10-03,2012-03-13,True,162,319,2018,-0.1634849421,2013,0.8083005494,-0.2773648906,0.1159459713,0.2595102893,0,0
REL_VOL,LAG1,IMMEDIATE_NEXT_RETURN,25,2020_latest,2019-12-31,2020-01-02,2026-09-02,1676,0.2217388174,-0.4362457366,3.804802209,6.672142368,0.3836578148,0.6413316925,521,2022-08-16,2022-09-30,2024-01-19,True,476,521,2022,-0.3456904545,2023,0.5630666115,-0.376226097,0.1046118389,,82,12.28990562,2.196897375,38048.02209,-0.01548780266,0.9193851598,0.2416188823,-0.01988006489,2019-12-31,2020-01-02,2026-09-02,1676,0.2372266201,-0.6318149958,4.1384203,6.672142368,0.4458019555,0.6390175109,788,2020-02-19,2020-03-23,2020-11-16,True,238,271,2022,-0.4236572435,2021,0.6747947331,-0.4471497596,0.1552924683,,0,0
EFFICIENCY,LAG1,IMMEDIATE_NEXT_RETURN,0,1987_1999,1986-12-31,1987-01-02,1999-12-31,3286,0.2007637862,-0.3854129922,10.78683845,12.99931554,0.2182021012,0.6966789045,861,1987-08-25,1987-10-19,1990-01-02,True,806,861,1990,-0.03652257159,1995,0.8528071756,-0.2698206009,0.0322779039,0.1335544262,112,8.615838248,1.347534997,107868.3845,-0.002562539543,0.972668293,0.2121944609,-0.01143067476,1986-12-31,1987-01-02,1999-12-31,3286,0.2033263257,-0.4367459894,11.08994559,12.99931554,0.2205838114,0.703262049,706,1987-08-25,1987-12-04,1989-07-31,True,605,706,1990,-0.08422159317,1995,0.4877410348,-0.3170846859,0.05536867684,0.1344296579,0,0
EFFICIENCY,LAG1,IMMEDIATE_NEXT_RETURN,0,2000_2009,1999-12-31,2000-01-03,2009-12-31,2515,-0.0206026891,-0.5613715647,0.8120386415,10.00136893,0.2373169135,-0.08572930594,2467,2007-06-04,2009-03-09,,False,,,2008,-0.3699761113,2009,0.3065700186,-0.4751914483,-0.09875876636,-0.0206026891,72,7.199014509,1.143141153,8120.386415,0.00785397625,1.083857266,-0.02037325151,-0.0002294375922,1999-12-31,2000-01-03,2009-12-31,2515,-0.02845666535,-0.6148457087,0.7492117894,10.00136893,0.2540959587,-0.09565157558,2600,2007-10-09,2009-03-09,,False,,,2008,-0.4256442279,2003,0.3160842139,-0.5342531798,-0.1098141192,-0.02845666535,0,0
EFFICIENCY,LAG1,IMMEDIATE_NEXT_RETURN,0,2010_2019,2009-12-31,2010-01-04,2019-12-31,2516,0.1175900751,-0.299439495,3.039199912,9.998631075,0.1887034478,0.6549000252,692,2010-04-23,2010-07-02,2011-02-18,True,231,301,2018,-0.06990224993,2017,0.395738958,-0.205437796,0.04816333842,0.1175900751,101,10.1013828,1.302861685,30391.99912,-0.04313027758,0.6848128149,0.1694823324,-0.05189225732,2009-12-31,2010-01-04,2019-12-31,2516,0.1607203527,-0.2496536467,4.438000934,9.998631075,0.1924897072,0.8421431784,383,2018-09-20,2018-12-24,2019-04-23,True,120,215,2018,-0.07717409732,2013,0.4223632943,-0.1540854876,0.07866173259,0.1607203527,0,0
EFFICIENCY,LAG1,IMMEDIATE_NEXT_RETURN,0,2020_latest,2019-12-31,2020-01-02,2026-09-02,1676,0.07883503209,-0.3570207568,1.659131168,6.672142368,0.254017003,0.3136220215,755,2020-02-19,2020-03-23,2021-06-28,True,462,495,2022,-0.1811088889,2021,0.2148729558,-0.2013887855,0.04503206176,,83,12.43978252,1.336515513,16591.31168,-0.09865713786,0.5577488171,0.1862257187,-0.1073906866,2019-12-31,2020-01-02,2026-09-02,1676,0.1774921699,-0.4330084817,2.974692401,6.672142368,0.2712113286,0.6330074497,750,2020-02-19,2020-03-23,2020-08-24,True,154,187,2022,-0.2565465084,2021,0.3805942056,-0.2753003818,0.1230796196,,0,0
EFFICIENCY,LAG1,IMMEDIATE_NEXT_RETURN,25,1987_1999,1986-12-31,1987-01-02,1999-12-31,3286,0.1751446868,-0.3869494597,8.149659474,12.99931554,0.2182263044,0.5980601387,1148,1987-08-25,1987-10-19,1990-06-04,True,959,1014,1992,-0.05322403245,1995,0.7711791962,-0.2716373558,0.01030254414,0.1085906149,112,8.615838248,1.347534997,81496.59474,-0.02818163891,0.7348692028,0.2121944609,-0.03704977412,1986-12-31,1987-01-02,1999-12-31,3286,0.2033263257,-0.4367459894,11.08994559,12.99931554,0.2205838114,0.703262049,706,1987-08-25,1987-12-04,1989-07-31,True,605,706,1990,-0.08422159317,1995,0.4877410348,-0.3170846859,0.05536867684,0.1344296579,0,0
EFFICIENCY,LAG1,IMMEDIATE_NEXT_RETURN,25,2000_2009,1999-12-31,2000-01-03,2009-12-31,2515,-0.03809343243,-0.6248804577,0.678118839,10.00136893,0.2373208973,-0.1617964577,3408,2000-09-01,2009-03-09,,False,,,2008,-0.3699761113,2009,0.2870935517,-0.4751914483,-0.1135275566,-0.03809343243,72,7.199014509,1.143141153,6781.18839,-0.009636767075,0.9051096747,-0.02037325151,-0.01772018092,1999-12-31,2000-01-03,2009-12-31,2515,-0.02845666535,-0.6148457087,0.7492117894,10.00136893,0.2540959587,-0.09565157558,2600,2007-10-09,2009-03-09,,False,,,2008,-0.4256442279,2003,0.3160842139,-0.5342531798,-0.1098141192,-0.02845666535,0,0
EFFICIENCY,LAG1,IMMEDIATE_NEXT_RETURN,25,2010_2019,2009-12-31,2010-01-04,2019-12-31,2516,0.08968598964,-0.3046805743,2.36027501,9.998631075,0.1886235081,0.5208327637,699,2010-04-23,2010-07-02,2012-03-15,True,622,692,2018,-0.08147048584,2019,0.3483946905,-0.2152734567,0.0258377172,0.08968598964,101,10.1013828,1.302861685,23602.7501,-0.07103436305,0.5318329232,0.1694823324,-0.07979634279,2009-12-31,2010-01-04,2019-12-31,2516,0.1607203527,-0.2496536467,4.438000934,9.998631075,0.1924897072,0.8421431784,383,2018-09-20,2018-12-24,2019-04-23,True,120,215,2018,-0.07717409732,2013,0.4223632943,-0.1540854876,0.07866173259,0.1607203527,0,0
EFFICIENCY,LAG1,IMMEDIATE_NEXT_RETURN,25,2020_latest,2019-12-31,2020-01-02,2026-09-02,1676,0.04575947254,-0.3590942272,1.347881721,6.672142368,0.2542460191,0.1907288161,761,2020-01-17,2020-03-23,2021-12-23,True,640,706,2022,-0.1811088889,2023,0.1868177858,-0.2106681584,0.01158684489,,83,12.43978252,1.336515513,13478.81721,-0.1317326974,0.4531163358,0.1862257187,-0.1404662462,2019-12-31,2020-01-02,2026-09-02,1676,0.1774921699,-0.4330084817,2.974692401,6.672142368,0.2712113286,0.6330074497,750,2020-02-19,2020-03-23,2020-08-24,True,154,187,2022,-0.2565465084,2021,0.3805942056,-0.2753003818,0.1230796196,,0,0
TREND_QUALITY,LAG1,IMMEDIATE_NEXT_RETURN,0,1987_1999,1986-12-31,1987-01-02,1999-12-31,3286,0.1873851985,-0.7899962287,9.324813322,12.99931554,0.4284219778,0.51528869,3086,1987-08-25,1987-12-04,1996-02-05,True,2985,3086,1987,-0.4278465316,1995,1.044034651,-0.7720161926,-0.161247827,0.04604019066,30,2.307813816,2.57821059,93248.13322,-0.1043039095,0.3347050481,0.2941352996,-0.1067501011,1986-12-31,1987-01-02,1999-12-31,3286,0.291689108,-0.7320150695,27.8597929,12.99931554,0.4220482925,0.7033521904,1942,1987-08-25,1987-12-04,1992-12-18,True,1841,1942,1987,-0.2513774449,1995,1.012985545,-0.6464242395,-0.03244133459,0.1558217619,0,0
TREND_QUALITY,LAG1,IMMEDIATE_NEXT_RETURN,0,2000_2009,1999-12-31,2000-01-03,2009-12-31,2515,-0.04609249648,-0.7389536456,0.6237845238,10.00136893,0.3636235984,-0.02340205934,3570,2000-03-23,2009-03-09,,False,,,2000,-0.468371998,2009,0.711569338,-0.5628195752,-0.1360367993,-0.04609249648,20,1.999726252,1.939960239,6237.845238,0.05403680707,1.791827607,-0.09585995656,0.04976746009,1999-12-31,2000-01-03,2009-12-31,2515,-0.1001293035,-0.8721374592,0.3481275326,10.00136893,0.4312252722,-0.09331489609,3570,2000-03-23,2009-03-09,,False,,,2008,-0.6618710348,2003,0.5501530942,-0.7656647923,-0.2268988481,-0.1001293035,0,0
