variant,cell,family,regime,moneyness,premium_budget,maturity_months,roll_months,canonical_mean_delta,fixed_budget_mean_delta,delta_ratio,matched_delta_budget,matched_budget_inside_grid,matched_budget_change,treasury_weight,matched_treasury_weight,treasury_weight_change,median_30y_cagr
SPX_85_45_30M_R12,SPX_85_45,SPX,30m/12m,0.85,0.45,30,12,1.789017235,1.648827179,0.9216385104,0.489588906,False,0.03958890596,0.5411964926,0.500833095,-0.04036339757,0.1545026001
SPX_85_25_30M_R18,SPX_85_25,SPX,30m/18m,0.85,0.25,30,18,1.02600735,0.9854547183,0.9604753011,0.2612014923,True,0.01120149233,0.7105976495,0.6976306967,-0.01296695283,0.1227433172
SPX_85_30_30M_R18,SPX_85_30,SPX,30m/18m,0.85,0.3,30,18,1.220249952,1.166469133,0.9559263912,0.3151796104,True,0.01517961041,0.6583249685,0.6410366556,-0.01728831289,0.1329213645
SPX_85_35_30M_R18,SPX_85_35,SPX,30m/18m,0.85,0.35,30,18,1.411905012,1.343617353,0.9516343813,0.3696459876,True,0.01964598761,0.6074355404,0.5854003504,-0.02203519002,0.1416874001
SPX_85_40_30M_R18,SPX_85_40,SPX,30m/18m,0.85,0.4,30,18,1.601366839,1.517412788,0.9475735048,0.4245589411,True,0.02455894111,0.5577697041,0.5306179346,-0.02715176948,0.1498855346
SPX_85_45_30M_R18,SPX_85_45,SPX,30m/18m,0.85,0.45,30,18,1.789017235,1.688336385,0.9437228172,0.4794520043,False,0.02945200427,0.50918219,0.4770587051,-0.03212348497,0.1573574435
SPX_90_30_15M_R6,SPX_90_30,SPX,15m/6m,0.9,0.3,15,6,1.360705437,1.561026813,1.147218767,0.2601657456,False,-0.03983425444,0.6873922336,0.7289005579,0.04150832436,0.1392029596
SPX_90_35_15M_R6,SPX_90_35,SPX,15m/6m,0.9,0.35,15,6,1.573129824,1.812470425,1.152142943,0.3024067048,True,-0.04759329522,0.6379719417,0.6872008225,0.04922888073,0.1478320267
SPX_90_40_15M_R6,SPX_90_40,SPX,15m/6m,0.9,0.4,15,6,1.782971358,2.062642113,1.156856561,0.3441340591,True,-0.05586594086,0.5890367511,0.6464338725,0.0573971214,0.1549078267
SPX_90_45_15M_R6,SPX_90_45,SPX,15m/6m,0.9,0.45,15,6,1.990717675,2.311965713,1.161372977,0.3856249845,True,-0.06437501545,0.5404981144,0.6062324277,0.0657343133,0.1603934287
SPX_90_30_15M_R12,SPX_90_30,SPX,15m/12m,0.9,0.3,15,12,1.360705437,1.612108395,1.184759281,0.2498181469,False,-0.05018185312,0.6746125648,0.7290410464,0.0544284816,0.1471702775
SPX_90_35_15M_R12,SPX_90_35,SPX,15m/12m,0.9,0.35,15,12,1.573129824,1.862600298,1.184009272,0.2922195947,False,-0.0577804053,0.6256165454,0.687422339,0.06180579355,0.1559692964
SPX_90_40_15M_R12,SPX_90_40,SPX,15m/12m,0.9,0.4,15,12,1.782971358,2.110294157,1.183582758,0.3341054863,True,-0.0658945137,0.5775747226,0.6471634931,0.06958877058,0.1631999312
SPX_90_45_15M_R12,SPX_90_45,SPX,15m/12m,0.9,0.45,15,12,1.990717675,2.355991075,1.183488299,0.3758620416,True,-0.0741379584,0.5303278994,0.6077068564,0.07737895702,0.1686959189
SPX_90_30_18M_R6,SPX_90_30,SPX,18m/6m,0.9,0.3,18,6,1.360705437,1.461112598,1.07379052,0.2788621717,False,-0.02113782829,0.6920633133,0.713760356,0.02169704269,0.1359035774
SPX_90_35_18M_R6,SPX_90_35,SPX,18m/6m,0.9,0.35,18,6,1.573129824,1.698618458,1.079770043,0.323581992,True,-0.02641800798,0.6424753145,0.6694612859,0.02698597141,0.1444445517
SPX_90_40_18M_R6,SPX_90_40,SPX,18m/6m,0.9,0.4,18,6,1.782971358,1.935202549,1.085380615,0.3678272553,True,-0.03217274466,0.593212765,0.6259314196,0.03271865461,0.1517254908
SPX_90_45_18M_R6,SPX_90_45,SPX,18m/6m,0.9,0.45,18,6,1.990717675,2.171162473,1.090643088,0.4117636769,True,-0.03823632312,0.5442147014,0.5829425991,0.03872789767,0.1579759269
SPX_90_30_18M_R12,SPX_90_30,SPX,18m/12m,0.9,0.3,18,12,1.360705437,1.485597217,1.091784582,0.2735934012,False,-0.02640659875,0.6883904233,0.7158189202,0.02742849687,0.1434425942
SPX_90_35_18M_R12,SPX_90_35,SPX,18m/12m,0.9,0.35,18,12,1.573129824,1.722075571,1.094681154,0.3185075306,True,-0.03149246943,0.639896058,0.6722976648,0.03240160681,0.1522047522
SPX_90_40_18M_R12,SPX_90_40,SPX,18m/12m,0.9,0.4,18,12,1.782971358,1.957164251,1.097698088,0.3629516631,True,-0.03704833694,0.5919799836,0.6297711412,0.03779115761,0.1600308326
SPX_90_45_18M_R12,SPX_90_45,SPX,18m/12m,0.9,0.45,18,12,1.990717675,2.191488384,1.100853432,0.4071596178,True,-0.04284038224,0.5445145513,0.5878771529,0.04336260161,0.1661472594
SPX_90_30_24M_R6,SPX_90_30,SPX,24m/6m,0.9,0.3,24,6,1.360705437,1.31251034,0.9645808012,0.3113036442,True,0.01130364422,0.6907546247,0.6791026258,-0.01165199899,0.1311747326
SPX_90_35_24M_R6,SPX_90_35,SPX,24m/6m,0.9,0.35,24,6,1.573129824,1.525694228,0.9698463566,0.3611747947,True,0.0111747947,0.6409297211,0.6294653306,-0.01146439043,0.1395620443
SPX_90_40_24M_R6,SPX_90_40,SPX,24m/6m,0.9,0.4,24,6,1.782971358,1.73793793,0.9747424835,0.4106442771,True,0.01064427708,0.5914345011,0.5805622902,-0.01087221094,0.1466145145
SPX_90_45_24M_R6,SPX_90_45,SPX,24m/6m,0.9,0.45,24,6,1.990717675,1.94947615,0.9792830866,0.4597480081,False,0.009748008095,0.5422132199,0.5322965328,-0.009916687195,0.1532320536
SPX_90_30_24M_R12,SPX_90_30,SPX,24m/12m,0.9,0.3,24,12,1.360705437,1.360705437,1,0.3,True,0,0.6723218733,0.6723218733,0,0.1384741495
SPX_90_35_24M_R12,SPX_90_35,SPX,24m/12m,0.9,0.35,24,12,1.573129824,1.573129824,1,0.35,True,0,0.622176412,0.622176412,0,0.147501694
