strategy,family,underlying,moneyness,premium_budget,cagr,annualized_volatility,max_drawdown,terminal_multiple,mean_delta_exposure,mean_option_weight,treasury_notional,gross_notional,cohort_10y_min_cagr,cohort_20y_min_cagr,cohort_20y_median_cagr,cohort_30y_min_cagr,cohort_30y_median_cagr,1987_crash,2000_2002_bust,2008_2009_gfc,2020_covid,2022_rates,cohort_20y_min_cagr_post_proxy,cohort_20y_entries_post_proxy,cagr_one_point_cheaper,cagr_one_point_dearer,cagr_per_volatility_point
NDX_80_45,NDX LEAPS,NASDAQ100_1X,0.8,0.45,0.2053993981,0.3072802189,-0.7409834616,1734.768187,1.358718639,0.4809186075,0.5190813925,1.877800031,-0.03651319833,0.1175875481,0.184025295,0.18309298,0.2099046746,-0.4656081476,-0.7275504005,-0.42331077,-0.2442916407,-0.5643608805,0.1175875481,90,0.2108902786,0.1999625079,0.005463885358
NDX_80_50,NDX LEAPS,NASDAQ100_1X,0.8,0.5,0.2153979954,0.3392945588,-0.7922422279,2412.559703,1.497620111,0.5285931508,0.4714068492,1.969026961,-0.05561386435,0.1147864087,0.1873248041,0.1882247508,0.2187368536,-0.4957853095,-0.7809373805,-0.4822922664,-0.2822016105,-0.5914881499,0.1147864087,90,0.2213359354,0.2095160077,0.005909963853
NDX_85_20,NDX LEAPS,NASDAQ100_1X,0.85,0.2,0.1421732166,0.17255077,-0.4804202713,201.8418498,0.6931156435,0.2303638858,0.7696361142,1.462751758,0.0325942296,0.1138502612,0.1421672574,0.1377058216,0.1526948349,-0.282220569,-0.3009048975,-0.09518718426,-0.04749837777,-0.4313537499,0.1138502612,90,0.1458769978,0.1385878541,0.00364457187
NDX_85_25,NDX LEAPS,NASDAQ100_1X,0.85,0.25,0.1594486109,0.2009261068,-0.5088706899,367.5450561,0.8547459405,0.2831212937,0.7168787063,1.571624647,0.02015193881,0.1182026169,0.1557029273,0.1540552489,0.1695465563,-0.3344536549,-0.4182066717,-0.1708755088,-0.09174127617,-0.4608408808,0.1182026169,90,0.1639514703,0.1550885441,0.004431463075
NDX_85_30,NDX LEAPS,NASDAQ100_1X,0.85,0.3,0.1753260113,0.231367206,-0.5499814858,632.6269147,1.013023415,0.3344502866,0.6655497134,1.678573129,0.006378318557,0.1211463002,0.1676070793,0.1646202006,0.1840174682,-0.3807131969,-0.5187094932,-0.242781367,-0.1347937439,-0.4901016501,0.1211463002,90,0.1805847702,0.1702327692,0.005176000543
NDX_85_35,NDX LEAPS,NASDAQ100_1X,0.85,0.35,0.1898248207,0.2631122004,-0.6280373954,1032.145975,1.168469494,0.3845439694,0.6154560306,1.783925525,-0.008747164873,0.1226704173,0.1771836991,0.1738312278,0.1970591579,-0.4219684993,-0.6045911868,-0.3111631718,-0.176703189,-0.5191386545,0.1226704173,90,0.1957976496,0.1840386493,0.005879500145
NDX_85_40,NDX LEAPS,NASDAQ100_1X,0.85,0.4,0.2029439347,0.2957877952,-0.6950561768,1599.129274,1.321562366,0.4335747805,0.5664252195,1.887987585,-0.02526508754,0.122746069,0.1850353212,0.1816915393,0.2089578962,-0.4589899134,-0.6777295008,-0.3762507322,-0.2175145352,-0.547954451,0.122746069,90,0.2095893394,0.1965047515,0.006542293951
NDX_85_45,NDX LEAPS,NASDAQ100_1X,0.85,0.45,0.2146620446,0.3292393189,-0.7549540372,2354.915487,1.472751615,0.4817000879,0.5182999121,1.991051527,-0.04373172256,0.1213247755,0.1894423086,0.1881822587,0.220145578,-0.4923973916,-0.7397520699,-0.4382491049,-0.2572703824,-0.5765515577,0.1213247755,90,0.2219378948,0.2076103534,0.007163770703
NDX_85_50,NDX LEAPS,NASDAQ100_1X,0.85,0.5,0.2249364249,0.3634448528,-0.8049542199,3296.312941,1.622471585,0.5290669595,0.4709330405,2.093404625,-0.06381152695,0.1183355591,0.192226246,0.1932614113,0.2294776351,-0.522695482,-0.7920767161,-0.4973418393,-0.2960111554,-0.6049324549,0.1183355591,90,0.23279893,0.217314279,0.00774232549
NDX_90_20,NDX LEAPS,NASDAQ100_1X,0.9,0.2,0.14757353,0.1828636754,-0.4868552398,243.6698491,0.7526211971,0.2318354653,0.7681645347,1.520785732,0.0290533501,0.1160864403,0.145965205,0.1440141015,0.1586479909,-0.3048199519,-0.3138810219,-0.1061746568,-0.05426121666,-0.4362216883,0.1160864403,90,0.1523310918,0.1430561317,0.004637480065
