series,fund,lag,cost_bps,deployment,cap,harvest,rebalance,period,entry_close,first_return,last_return,observations,cagr,max_drawdown,terminal_multiple,years,annualized_volatility,sharpe,longest_underwater_calendar_days,max_drawdown_peak,max_drawdown_trough,max_drawdown_recovery,max_drawdown_recovered,max_drawdown_recovery_days_from_trough,max_drawdown_recovery_days_from_peak,worst_calendar_year,worst_calendar_year_return,best_calendar_year,best_calendar_year_return,worst_rolling_1y_cagr,worst_rolling_5y_cagr,worst_rolling_10y_cagr,switch_count,switches_per_year,terminal_ratio_vs_no_reserve
FIXED_85_15,SSO,LAG1,50,staged,0.15,0.1,quarterly,2010_latest,2009-12-31,2010-01-04,2026-09-02,4192,0.154748155838,-0.405719142002,11.0080715468,16.6707734428,0.228537569388,0.67972837318,808,2020-02-19,2020-03-23,2020-09-02,True,163,196,2022,-0.308431176557,2013,0.5823228121,-0.322343187116,0.0181383070444,0.0822589748759,0,0,0.746754642373
HWM_RESERVE,SSO,LAG1,50,staged,0.15,0.1,rule,1987_1999,1986-12-31,1987-01-02,1999-12-31,3286,0.231723559023,-0.44317363004,15.0179368451,12.9993155373,0.266098139461,0.710753948922,812,1987-08-25,1987-10-19,1989-07-19,True,639,694,1990,-0.242453961402,1995,0.739501887161,-0.380151020902,0.029949291667,0.14530383278,0,0,0.989258712444
HWM_RESERVE,SSO,LAG1,50,staged,0.15,0.1,rule,2000_2009,1999-12-31,2000-01-03,2009-12-31,2515,-0.0625687859983,-0.737426468447,0.524029444485,10.0013689254,0.288731028619,-0.175303181688,3653,1999-12-31,2009-03-09,,False,,,2008,-0.381020606361,2009,0.504094465446,-0.514061352669,-0.165208158114,-0.0625687859983,0,0,1.0003461754
HWM_RESERVE,SSO,LAG1,50,staged,0.15,0.1,rule,2010_2019,2009-12-31,2010-01-04,2019-12-31,2516,0.161725752345,-0.356623289448,4.47658715362,9.99863107461,0.246728362384,0.709297699802,634,2010-04-23,2010-08-26,2011-04-26,True,243,368,2011,-0.14454187805,2013,0.705373768395,-0.206525231633,0.0917698703224,0.161725752345,0,0,0.996961731546
HWM_RESERVE,SSO,LAG1,50,staged,0.15,0.1,rule,2020_latest,2019-12-31,2020-01-02,2026-09-02,1676,0.194963268857,-0.466386745015,3.28186423103,6.67214236824,0.294877481205,0.655507002554,863,2020-02-19,2020-03-23,2020-09-02,True,163,196,2022,-0.351155804015,2021,0.583777414626,-0.366001239257,0.125072920898,,0,0,0.999668146705
HWM_RESERVE,SSO,LAG1,50,staged,0.15,0.1,rule,2010_latest,2009-12-31,2010-01-04,2026-09-02,4192,0.174915975864,-0.466386745015,14.6915512565,16.6707734428,0.266991473148,0.682864328024,863,2020-02-19,2020-03-23,2020-09-02,True,163,196,2022,-0.351155804015,2013,0.705373768395,-0.366001239257,0.0123258039763,0.0897141645428,0,0,0.99663088651
ASYMMETRIC_RESERVE_BAND,SSO,LAG1,50,staged,0.2,0.1,rule,1987_1999,1986-12-31,1987-01-02,1999-12-31,3286,0.226057606341,-0.412806817207,14.1442787142,12.9993155373,0.252014130378,0.717375133434,688,1987-08-25,1987-10-19,1989-06-23,True,613,668,1990,-0.231615412484,1995,0.692756653614,-0.355377279266,0.0332912339102,0.143579234439,0,0,0.931709268294
ASYMMETRIC_RESERVE_BAND,SSO,LAG1,50,staged,0.2,0.1,rule,2000_2009,1999-12-31,2000-01-03,2009-12-31,2515,-0.0586030365345,-0.725660195379,0.546628194272,10.0013689254,0.285787441501,-0.165347844591,3653,1999-12-31,2009-03-09,,False,,,2008,-0.380061367136,2009,0.503571735269,-0.512115502393,-0.161868734385,-0.0586030365345,0,0,1.04348606602
ASYMMETRIC_RESERVE_BAND,SSO,LAG1,50,staged,0.2,0.1,rule,2010_2019,2009-12-31,2010-01-04,2019-12-31,2516,0.15321740227,-0.356623289448,4.15936584954,9.99863107461,0.240094888828,0.691455010018,630,2010-04-23,2010-08-26,2011-04-26,True,243,368,2011,-0.14454187805,2013,0.635392178332,-0.199094028981,0.0852853749148,0.15321740227,0,0,0.926314720834
ASYMMETRIC_RESERVE_BAND,SSO,LAG1,50,staged,0.2,0.1,rule,2020_latest,2019-12-31,2020-01-02,2026-09-02,1676,0.186680605704,-0.446221039696,3.13304039246,6.67214236824,0.281446477344,0.648066610049,869,2020-02-19,2020-03-23,2020-09-01,True,162,195,2022,-0.348995687337,2021,0.550308494637,-0.36380490498,0.118168644015,,0,0,0.954335847618
ASYMMETRIC_RESERVE_BAND,SSO,LAG1,50,staged,0.2,0.1,rule,2010_latest,2009-12-31,2010-01-04,2026-09-02,4192,0.166495604098,-0.446221039696,13.0314612136,16.6707734428,0.257396065635,0.670431661657,869,2020-02-19,2020-03-23,2020-09-01,True,162,195,2022,-0.348995687337,2013,0.635392178332,-0.36380490498,0.0119778814958,0.0849804690433,0,0,0.884015344268
HWM_DRAWDOWN,SSO,LAG1,50,drawdown,0.15,0.1,rule,1987_1999,1986-12-31,1987-01-02,1999-12-31,3286,0.221641240308,-0.433152163487,13.4961034541,12.9993155373,0.25353363049,0.700608087043,812,1987-08-25,1987-10-19,1989-07-19,True,639,694,1990,-0.232342572557,1995,0.694656393306,-0.367970205432,0.0311597390813,0.140919065055,0,0,0.889012789421
HWM_DRAWDOWN,SSO,LAG1,50,drawdown,0.15,0.1,rule,2000_2009,1999-12-31,2000-01-03,2009-12-31,2515,-0.0498298267416,-0.699476248993,0.599768351986,10.0013689254,0.27348810547,-0.151372575711,3653,1999-12-31,2009-03-09,,False,,,2008,-0.365917795289,2009,0.504094465446,-0.499931323733,-0.159098708562,-0.0498298267416,0,0,1.14492798706
HWM_DRAWDOWN,SSO,LAG1,50,drawdown,0.15,0.1,rule,2010_2019,2009-12-31,2010-01-04,2019-12-31,2516,0.15871804997,-0.356623289448,4.36204500188,9.99863107461,0.242690996227,0.706284796641,634,2010-04-23,2010-08-26,2011-04-26,True,243,368,2011,-0.14454187805,2013,0.704370312753,-0.200237579155,0.0904158882549,0.15871804997,0,0,0.971452534918
HWM_DRAWDOWN,SSO,LAG1,50,drawdown,0.15,0.1,rule,2020_latest,2019-12-31,2020-01-02,2026-09-02,1676,0.190499973308,-0.443188559789,3.20093806875,6.67214236824,0.279621161893,0.661982645175,863,2020-02-19,2020-03-23,2020-09-02,True,163,196,2022,-0.335549672453,2021,0.565598709244,-0.349978420484,0.120618134338,,0,0,0.975017734326
HWM_DRAWDOWN,SSO,LAG1,50,drawdown,0.15,0.1,rule,2010_latest,2009-12-31,2010-01-04,2026-09-02,4192,0.171335002511,-0.443188559789,13.9626359041,16.6707734428,0.258060782967,0.685445166764,863,2020-02-19,2020-03-23,2020-09-02,True,163,196,2022,-0.335549672453,2013,0.704370312753,-0.349978420484,0.0159077355232,0.0910204894185,0,0,0.947183449601
