signal,lag,signal_close,execution_close,first_affected_return,into,upro_return,sp500_return,other_signal_state,signals_disagree,audit_period
price,2,2015-12-03,2015-12-04,2015-12-07,risk_off,-0.02086416099,-0.0069136636,1,True,2015-2016
price,2,2015-12-04,2015-12-07,2015-12-08,UPRO,-0.01919298779,-0.006402293202,1,False,2015-2016
price,2,2015-12-08,2015-12-09,2015-12-10,risk_off,0.006940063107,0.002361471149,1,True,2015-2016
price,2,2015-12-16,2015-12-17,2015-12-18,UPRO,-0.05353728489,-0.01779599394,1,False,2015-2016
price,2,2015-12-17,2015-12-18,2015-12-21,risk_off,0.02356902359,0.007895762386,0,False,2015-2016
price,2,2015-12-23,2015-12-24,2015-12-28,UPRO,-0.006687402784,-0.002172752728,1,False,2015-2016
price,2,2015-12-24,2015-12-28,2015-12-29,risk_off,0.03240958196,0.01082485888,1,True,2015-2016
price,2,2015-12-29,2015-12-30,2015-12-31,UPRO,-0.02835890284,-0.009409213719,1,False,2015-2016
price,2,2015-12-31,2016-01-04,2016-01-05,risk_off,0.005846976295,0.002013841202,1,True,2015-2016
price,2,2016-03-11,2016-03-14,2016-03-15,UPRO,-0.005528564249,-0.001820539439,1,False,2015-2016
price,2,2016-03-15,2016-03-16,2016-03-17,risk_off,0.01971504309,0.006606122505,1,True,2015-2016
price,2,2016-03-16,2016-03-17,2016-03-18,UPRO,0.01316003249,0.004403845511,1,False,2015-2016
price,2,2016-06-27,2016-06-28,2016-06-29,risk_off,0.0513788575,0.01716009093,0,False,2015-2016
price,2,2016-06-28,2016-06-29,2016-06-30,UPRO,0.04059328651,0.01356539091,1,False,2015-2016
price,2,2018-04-02,2018-04-03,2018-04-04,risk_off,0.0346546404,0.01163868657,1,True,2018
price,2,2018-04-03,2018-04-04,2018-04-05,UPRO,0.02064693737,0.007007891476,1,False,2018
price,2,2018-10-11,2018-10-12,2018-10-15,risk_off,-0.01784981535,-0.00588300429,0,False,2018
price,2,2018-10-12,2018-10-15,2018-10-16,UPRO,0.06454982244,0.02152402915,1,False,2018
price,2,2018-10-15,2018-10-16,2018-10-17,risk_off,-0.0009811616954,-0.000212105351,1,True,2018
price,2,2018-10-16,2018-10-17,2018-10-18,UPRO,-0.04340993911,-0.01429521037,1,False,2018
price,2,2018-10-19,2018-10-22,2018-10-23,risk_off,-0.01666319517,-0.005461961284,1,True,2018
