variant,structure,family,maturity_months,roll_months,channel,metric,value,control_value,difference,ratio
NDX_80_25_27M_ROLL12M,NDX_LEAPS_80_25_TREASURY,QQQ bridge,27,12,roll frequency,mean_premium_fraction_of_nav,0.25,0.25,0,1
NDX_80_25_27M_ROLL12M,NDX_LEAPS_80_25_TREASURY,QQQ bridge,27,12,roll frequency,mean_exit_premium_ratio,1.510039441,1.522360845,-0.01232140447,0.9919063837
NDX_80_25_27M_ROLL12M,NDX_LEAPS_80_25_TREASURY,QQQ bridge,27,12,recovery,recovery_exposure,0.7991998775,0.8426295553,-0.04342967783,0.9484593466
NDX_80_25_27M_ROLL12M,NDX_LEAPS_80_25_TREASURY,QQQ bridge,27,12,recovery,recovery_exposure_ratio,1.057887399,1.071856609,-0.01396921028,0.986967277
NDX_80_25_27M_ROLL12M,NDX_LEAPS_80_25_TREASURY,QQQ bridge,27,12,recovery,prob_underexposed_recovery_10y,0.1675213675,0.1469496021,0.0205717654,1.139991978
NDX_80_25_27M_ROLL12M,NDX_LEAPS_80_25_TREASURY,QQQ bridge,27,12,recovery,prob_underexposed_recovery_20y,0.137807784,0.127293578,0.01051420597,1.082598087
NDX_80_25_27M_ROLL12M,NDX_LEAPS_80_25_TREASURY,QQQ bridge,27,12,recovery,prob_underexposed_recovery_30y,0.147698894,0.1387141859,0.008984708158,1.064771372
NDX_85_30_24M_ROLL12M,NDX_LEAPS_85_30_TREASURY,control,24,12,theta,theta_burden_per_year,-0.04195014692,-0.04195014692,0,1
NDX_85_30_24M_ROLL12M,NDX_LEAPS_85_30_TREASURY,control,24,12,vega,vega_per_nav,0.3194650173,0.3194650173,0,1
NDX_85_30_24M_ROLL12M,NDX_LEAPS_85_30_TREASURY,control,24,12,delta instability,mean_delta_exposure,1.013023415,1.013023415,0,1
NDX_85_30_24M_ROLL12M,NDX_LEAPS_85_30_TREASURY,control,24,12,delta instability,delta_exposure_sd,0.2569186794,0.2569186794,0,1
NDX_85_30_24M_ROLL12M,NDX_LEAPS_85_30_TREASURY,control,24,12,delta instability,delta_exposure_p5,0.5303461917,0.5303461917,0,1
NDX_85_30_24M_ROLL12M,NDX_LEAPS_85_30_TREASURY,control,24,12,delta instability,delta_exposure_p50,1.02262047,1.02262047,0,1
NDX_85_30_24M_ROLL12M,NDX_LEAPS_85_30_TREASURY,control,24,12,delta instability,delta_exposure_p95,1.45624946,1.45624946,0,1
NDX_85_30_24M_ROLL12M,NDX_LEAPS_85_30_TREASURY,control,24,12,delta instability,min_exposure_after_loss,0.06980055974,0.06980055974,0,1
NDX_85_30_24M_ROLL12M,NDX_LEAPS_85_30_TREASURY,control,24,12,roll frequency,rolls,40,40,0,1
NDX_85_30_24M_ROLL12M,NDX_LEAPS_85_30_TREASURY,control,24,12,roll frequency,option_turnover_per_year,0.3005554413,0.3005554413,0,1
NDX_85_30_24M_ROLL12M,NDX_LEAPS_85_30_TREASURY,control,24,12,roll frequency,cost_drag_bps,83.02821615,83.02821615,0,1
NDX_85_30_24M_ROLL12M,NDX_LEAPS_85_30_TREASURY,control,24,12,roll frequency,mean_premium_fraction_of_nav,0.3,0.3,0,1
NDX_85_30_24M_ROLL12M,NDX_LEAPS_85_30_TREASURY,control,24,12,roll frequency,mean_exit_premium_ratio,1.561671523,1.561671523,0,1
NDX_85_30_24M_ROLL12M,NDX_LEAPS_85_30_TREASURY,control,24,12,recovery,recovery_exposure,0.4792835511,0.4792835511,0,1
NDX_85_30_24M_ROLL12M,NDX_LEAPS_85_30_TREASURY,control,24,12,recovery,recovery_exposure_ratio,0.4731218883,0.4731218883,0,1
NDX_85_30_24M_ROLL12M,NDX_LEAPS_85_30_TREASURY,control,24,12,recovery,prob_underexposed_recovery_10y,0.1512859304,0.1512859304,0,1
NDX_85_30_24M_ROLL12M,NDX_LEAPS_85_30_TREASURY,control,24,12,recovery,prob_underexposed_recovery_20y,0.1380823768,0.1380823768,0,1
NDX_85_30_24M_ROLL12M,NDX_LEAPS_85_30_TREASURY,control,24,12,recovery,prob_underexposed_recovery_30y,0.1410470157,0.1410470157,0,1
NDX_85_30_15M_ROLL6M,NDX_LEAPS_85_30_TREASURY,XND 15m,15,6,theta,theta_burden_per_year,-0.05953931767,-0.04195014692,-0.01758917075,1.419287465
NDX_85_30_15M_ROLL6M,NDX_LEAPS_85_30_TREASURY,XND 15m,15,6,vega,vega_per_nav,0.3092985392,0.3194650173,-0.01016647816,0.9681765526
NDX_85_30_15M_ROLL6M,NDX_LEAPS_85_30_TREASURY,XND 15m,15,6,delta instability,mean_delta_exposure,1.143845426,1.013023415,0.1308220104,1.129140164
NDX_85_30_15M_ROLL6M,NDX_LEAPS_85_30_TREASURY,XND 15m,15,6,delta instability,delta_exposure_sd,0.2676922477,0.2569186794,0.01077356839,1.041933768
NDX_85_30_15M_ROLL6M,NDX_LEAPS_85_30_TREASURY,XND 15m,15,6,delta instability,delta_exposure_p5,0.6423461263,0.5303461917,0.1119999346,1.211182689
NDX_85_30_15M_ROLL6M,NDX_LEAPS_85_30_TREASURY,XND 15m,15,6,delta instability,delta_exposure_p50,1.167915332,1.02262047,0.1452948616,1.142080924
NDX_85_30_15M_ROLL6M,NDX_LEAPS_85_30_TREASURY,XND 15m,15,6,delta instability,delta_exposure_p95,1.590628638,1.45624946,0.1343791775,1.092277581
NDX_85_30_15M_ROLL6M,NDX_LEAPS_85_30_TREASURY,XND 15m,15,6,delta instability,min_exposure_after_loss,0.07447275044,0.06980055974,0.004672190698,1.066936293
NDX_85_30_15M_ROLL6M,NDX_LEAPS_85_30_TREASURY,XND 15m,15,6,roll frequency,rolls,80,40,40,2
NDX_85_30_15M_ROLL6M,NDX_LEAPS_85_30_TREASURY,XND 15m,15,6,roll frequency,option_turnover_per_year,0.6011108825,0.3005554413,0.3005554413,2
NDX_85_30_15M_ROLL6M,NDX_LEAPS_85_30_TREASURY,XND 15m,15,6,roll frequency,cost_drag_bps,155.7855577,83.02821615,72.7573416,1.876296577
NDX_85_30_15M_ROLL6M,NDX_LEAPS_85_30_TREASURY,XND 15m,15,6,roll frequency,mean_premium_fraction_of_nav,0.3,0.3,0,1
NDX_85_30_15M_ROLL6M,NDX_LEAPS_85_30_TREASURY,XND 15m,15,6,roll frequency,mean_exit_premium_ratio,1.294025323,1.561671523,-0.2676461999,0.8286155597
NDX_85_30_15M_ROLL6M,NDX_LEAPS_85_30_TREASURY,XND 15m,15,6,recovery,recovery_exposure,1.158906865,0.4792835511,0.6796233137,2.417998411
NDX_85_30_15M_ROLL6M,NDX_LEAPS_85_30_TREASURY,XND 15m,15,6,recovery,recovery_exposure_ratio,1.013167373,0.4731218883,0.5400454845,2.141451068
NDX_85_30_15M_ROLL6M,NDX_LEAPS_85_30_TREASURY,XND 15m,15,6,recovery,prob_underexposed_recovery_10y,0.07371349096,0.1512859304,-0.07757243945,0.4872461752
NDX_85_30_15M_ROLL6M,NDX_LEAPS_85_30_TREASURY,XND 15m,15,6,recovery,prob_underexposed_recovery_20y,0.07247828991,0.1380823768,-0.06560408686,0.5248916741
NDX_85_30_15M_ROLL6M,NDX_LEAPS_85_30_TREASURY,XND 15m,15,6,recovery,prob_underexposed_recovery_30y,0.07138092061,0.1410470157,-0.06966609506,0.5060789147
NDX_85_30_15M_ROLL9M,NDX_LEAPS_85_30_TREASURY,XND 15m,15,9,theta,theta_burden_per_year,-0.05363598731,-0.04195014692,-0.01168584039,1.278564946
NDX_85_30_15M_ROLL9M,NDX_LEAPS_85_30_TREASURY,XND 15m,15,9,vega,vega_per_nav,0.2518934266,0.3194650173,-0.06757159078,0.7884851639
NDX_85_30_15M_ROLL9M,NDX_LEAPS_85_30_TREASURY,XND 15m,15,9,delta instability,mean_delta_exposure,1.139374061,1.013023415,0.1263506459,1.124726284
NDX_85_30_15M_ROLL9M,NDX_LEAPS_85_30_TREASURY,XND 15m,15,9,delta instability,delta_exposure_sd,0.2933205492,0.2569186794,0.03640186988,1.14168635
NDX_85_30_15M_ROLL9M,NDX_LEAPS_85_30_TREASURY,XND 15m,15,9,delta instability,delta_exposure_p5,0.5526929381,0.5303461917,0.02234674637,1.042136149
NDX_85_30_15M_ROLL9M,NDX_LEAPS_85_30_TREASURY,XND 15m,15,9,delta instability,delta_exposure_p50,1.154828678,1.02262047,0.1322082077,1.129283748
NDX_85_30_15M_ROLL9M,NDX_LEAPS_85_30_TREASURY,XND 15m,15,9,delta instability,delta_exposure_p95,1.561058535,1.45624946,0.1048090748,1.071971924
NDX_85_30_15M_ROLL9M,NDX_LEAPS_85_30_TREASURY,XND 15m,15,9,delta instability,min_exposure_after_loss,0.1013086,0.06980055974,0.03150804029,1.451400969
NDX_85_30_15M_ROLL9M,NDX_LEAPS_85_30_TREASURY,XND 15m,15,9,roll frequency,rolls,48,40,8,1.2
NDX_85_30_15M_ROLL9M,NDX_LEAPS_85_30_TREASURY,XND 15m,15,9,roll frequency,option_turnover_per_year,0.3606665295,0.3005554413,0.06011108825,1.2
NDX_85_30_15M_ROLL9M,NDX_LEAPS_85_30_TREASURY,XND 15m,15,9,roll frequency,cost_drag_bps,98.13669288,83.02821615,15.10847674,1.18196798
NDX_85_30_15M_ROLL9M,NDX_LEAPS_85_30_TREASURY,XND 15m,15,9,roll frequency,mean_premium_fraction_of_nav,0.3,0.3,0,1
NDX_85_30_15M_ROLL9M,NDX_LEAPS_85_30_TREASURY,XND 15m,15,9,roll frequency,mean_exit_premium_ratio,1.499826704,1.561671523,-0.06184481881,0.9603983182
NDX_85_30_15M_ROLL9M,NDX_LEAPS_85_30_TREASURY,XND 15m,15,9,recovery,recovery_exposure,0.647738697,0.4792835511,0.1684551459,1.35147283
NDX_85_30_15M_ROLL9M,NDX_LEAPS_85_30_TREASURY,XND 15m,15,9,recovery,recovery_exposure_ratio,0.5685039875,0.4731218883,0.09538209924,1.201601536
NDX_85_30_15M_ROLL9M,NDX_LEAPS_85_30_TREASURY,XND 15m,15,9,recovery,prob_underexposed_recovery_10y,0.1382311978,0.1512859304,-0.01305473264,0.9137082173
NDX_85_30_15M_ROLL9M,NDX_LEAPS_85_30_TREASURY,XND 15m,15,9,recovery,prob_underexposed_recovery_20y,0.1237491661,0.1380823768,-0.01433321066,0.8961981174
NDX_85_30_15M_ROLL9M,NDX_LEAPS_85_30_TREASURY,XND 15m,15,9,recovery,prob_underexposed_recovery_30y,0.123,0.1410470157,-0.01804701567,0.8720496454
NDX_85_30_15M_ROLL12M,NDX_LEAPS_85_30_TREASURY,XND 15m,15,12,theta,theta_burden_per_year,-0.05587870992,-0.04195014692,-0.01392856301,1.332026561
NDX_85_30_15M_ROLL12M,NDX_LEAPS_85_30_TREASURY,XND 15m,15,12,vega,vega_per_nav,0.2154186212,0.3194650173,-0.1040463962,0.6743105176
NDX_85_30_15M_ROLL12M,NDX_LEAPS_85_30_TREASURY,XND 15m,15,12,delta instability,mean_delta_exposure,1.179619111,1.013023415,0.1665956961,1.164453944
NDX_85_30_15M_ROLL12M,NDX_LEAPS_85_30_TREASURY,XND 15m,15,12,delta instability,delta_exposure_sd,0.2964351215,0.2569186794,0.03951644217,1.153809144
NDX_85_30_15M_ROLL12M,NDX_LEAPS_85_30_TREASURY,XND 15m,15,12,delta instability,delta_exposure_p5,0.6201512513,0.5303461917,0.08980505961,1.169332902
NDX_85_30_15M_ROLL12M,NDX_LEAPS_85_30_TREASURY,XND 15m,15,12,delta instability,delta_exposure_p50,1.200928095,1.02262047,0.1783076248,1.174363442
NDX_85_30_15M_ROLL12M,NDX_LEAPS_85_30_TREASURY,XND 15m,15,12,delta instability,delta_exposure_p95,1.619169327,1.45624946,0.1629198666,1.111876345
NDX_85_30_15M_ROLL12M,NDX_LEAPS_85_30_TREASURY,XND 15m,15,12,delta instability,min_exposure_after_loss,0.0001585684624,0.06980055974,-0.06964199128,0.002271736258
NDX_85_30_15M_ROLL12M,NDX_LEAPS_85_30_TREASURY,XND 15m,15,12,roll frequency,rolls,40,40,0,1
NDX_85_30_15M_ROLL12M,NDX_LEAPS_85_30_TREASURY,XND 15m,15,12,roll frequency,option_turnover_per_year,0.3005554413,0.3005554413,0,1
NDX_85_30_15M_ROLL12M,NDX_LEAPS_85_30_TREASURY,XND 15m,15,12,roll frequency,cost_drag_bps,86.78069349,83.02821615,3.75247734,1.045195206
NDX_85_30_15M_ROLL12M,NDX_LEAPS_85_30_TREASURY,XND 15m,15,12,roll frequency,mean_premium_fraction_of_nav,0.3,0.3,0,1
NDX_85_30_15M_ROLL12M,NDX_LEAPS_85_30_TREASURY,XND 15m,15,12,roll frequency,mean_exit_premium_ratio,1.672416143,1.561671523,0.1107446198,1.070914157
NDX_85_30_15M_ROLL12M,NDX_LEAPS_85_30_TREASURY,XND 15m,15,12,recovery,recovery_exposure,1.229032759,0.4792835511,0.7497492078,2.564312412
NDX_85_30_15M_ROLL12M,NDX_LEAPS_85_30_TREASURY,XND 15m,15,12,recovery,recovery_exposure_ratio,1.041889494,0.4731218883,0.5687676055,2.202158724
NDX_85_30_15M_ROLL12M,NDX_LEAPS_85_30_TREASURY,XND 15m,15,12,recovery,prob_underexposed_recovery_10y,0.1397590361,0.1512859304,-0.01152689426,0.9238072289
NDX_85_30_15M_ROLL12M,NDX_LEAPS_85_30_TREASURY,XND 15m,15,12,recovery,prob_underexposed_recovery_20y,0.1243333333,0.1380823768,-0.01374904344,0.9004286879
