variant,cell,family,regime,moneyness,premium_budget,maturity_months,roll_months,cagr,p5,drawdown,tail,resolution,improves,worsens,mixed,unresolved,matched_cagr,matched_p5,matched_drawdown,matched_tail,matched_resolution,matched_improves,matched_worsens,matched_mixed,matched_unresolved,matched_inside_grid
SPX_90_35_15M_R6,SPX_90_35,SPX,15m/6m,0.9,0.35,15,6,0.0003303326865,-0.009376675941,-0.05675123725,0.2034,0.01109924683,False,True,False,False,-0.007883382077,-0.007073654569,-0.0007787017248,0.03035077858,0.01109924683,False,True,False,False,True
SPX_90_35_15M_R12,SPX_90_35,SPX,15m/12m,0.9,0.35,15,12,0.008467602378,-0.008876282734,-0.08336749307,0.3014,0.009922643573,False,True,False,False,-0.0003314164846,-0.005281006837,-0.02200878422,0.0856,0.009922643573,False,True,False,False,False
SPX_90_35_18M_R6,SPX_90_35,SPX,18m/6m,0.9,0.35,18,6,-0.00305714233,-0.007521816813,-0.02908734283,0.1018,0.009763876492,False,True,False,False,-0.007569852831,-0.006590751031,0.0005920363778,0.02698420141,0.009763876492,False,True,False,False,True
SPX_90_35_18M_R12,SPX_90_35,SPX,18m/12m,0.9,0.35,18,12,0.004703058224,-0.004642292152,-0.04600574522,0.1628,0.009843561561,False,True,False,False,-0.0008157816301,-0.003334162636,-0.0102984709,0.05421396542,0.009843561561,False,True,False,False,True
SPX_90_35_24M_R6,SPX_90_35,SPX,24m/6m,0.9,0.35,24,6,-0.007939649671,-0.004067673638,0.01245378274,-0.0108,0.008169916567,False,True,False,False,-0.006363451549,-0.004477657282,0.00109429867,0.02178570135,0.008169916567,False,True,False,False,True
SPX_90_35_30M_R12,SPX_90_35,SPX,30m/12m,0.9,0.35,30,12,-0.004494342845,0.001225090583,0.03409744087,-0.0658,0.008169916567,True,False,False,False,0.001327966072,0.000904106658,-0.00247322814,0.01179723872,0.008169916567,False,False,False,True,True
SPX_90_35_30M_R18,SPX_90_35,SPX,30m/18m,0.9,0.35,30,18,-0.001920062857,0.001740883033,0.01915148256,-0.0498,0.008169916567,True,False,False,False,0.001864210131,0.00146058641,-0.002829516511,0.009233723804,0.008169916567,False,False,False,True,True
SPX_90_40_15M_R6,SPX_90_40,SPX,15m/6m,0.9,0.4,15,6,-0.0006412410563,-0.01249455093,-0.06500524091,0.2626,0.01242143228,False,True,False,False,-0.008729393043,-0.007533275486,-6.724653055e-05,0.01667143902,0.01242143228,False,True,False,False,True
SPX_90_40_15M_R12,SPX_90_40,SPX,15m/12m,0.9,0.4,15,12,0.007650863445,-0.01162077402,-0.09150728746,0.3562,0.01107177368,False,True,False,False,-0.002376893922,-0.006173829677,-0.01407685965,0.06739927886,0.01107177368,False,True,False,False,True
SPX_90_40_18M_R6,SPX_90_40,SPX,18m/6m,0.9,0.4,18,6,-0.003823577004,-0.00968751562,-0.03488469891,0.142,0.01096655633,False,True,False,False,-0.0085085329,-0.007290486165,0.0008802309714,0.009705673956,0.01096655633,False,True,False,False,True
SPX_90_40_18M_R12,SPX_90_40,SPX,18m/12m,0.9,0.4,18,12,0.004481764853,-0.006645641222,-0.05138946168,0.2088,0.01099159709,False,True,False,False,-0.001317100427,-0.004005651653,-0.01051105795,0.05215963142,0.01099159709,False,True,False,False,True
SPX_90_40_24M_R6,SPX_90_40,SPX,24m/6m,0.9,0.4,24,6,-0.008934553301,-0.004342536241,0.01141271356,-0.0304,0.009147533745,False,False,True,False,-0.007525774896,-0.005186494464,0.000655040515,0.009494750493,0.009147533745,False,True,False,False,True
SPX_90_40_30M_R12,SPX_90_40,SPX,30m/12m,0.9,0.4,30,12,-0.005098500166,0.002374295832,0.03713094035,-0.132,0.009110836087,True,False,False,False,0.00134384131,0.001371445455,-0.002417483267,0.01106843409,0.009110836087,False,False,False,True,True
SPX_90_40_30M_R18,SPX_90_40,SPX,30m/18m,0.9,0.4,30,18,-0.001916027096,0.002704074471,0.02217006172,-0.0896,0.009110836087,True,False,False,False,0.002437027807,0.001830512105,-0.004589802603,0.01523557239,0.009110836087,False,False,False,True,True
SPX_90_45_15M_R6,SPX_90_45,SPX,15m/6m,0.9,0.45,15,6,-0.00219014018,-0.01585722368,-0.07095620761,0.2576,0.0136642712,False,True,False,False,-0.009710036914,-0.008727140119,0.0001281305236,0.005227430595,0.0136642712,False,True,False,False,True
SPX_90_45_15M_R12,SPX_90_45,SPX,15m/12m,0.9,0.45,15,12,0.006112349938,-0.01576431002,-0.09820077138,0.3248,0.012154848,False,True,False,False,-0.002874292979,-0.007120308989,-0.01509636404,0.0570964312,0.012154848,False,True,False,False,True
SPX_90_45_18M_R6,SPX_90_45,SPX,18m/6m,0.9,0.45,18,6,-0.004607641981,-0.01244168204,-0.03880727584,0.1492,0.01211151551,False,True,False,False,-0.009387515932,-0.008482833738,0.001241167269,-0.003745292498,0.01211151551,False,True,False,False,True
SPX_90_45_18M_R12,SPX_90_45,SPX,18m/12m,0.9,0.45,18,12,0.003563690506,-0.008969419618,-0.05593525962,0.2238,0.01207563462,False,True,False,False,-0.001676910746,-0.004902643714,-0.0105305784,0.04575537142,0.01207563462,False,True,False,False,True
SPX_90_45_24M_R6,SPX_90_45,SPX,24m/6m,0.9,0.45,24,6,-0.009351515317,-0.005884261998,0.00932710657,-0.0358,0.01008645795,False,False,True,False,-0.009351515317,-0.005884261998,0.00932710657,-0.0358,0.01008645795,False,False,True,False,False
SPX_90_45_30M_R12,SPX_90_45,SPX,30m/12m,0.9,0.45,30,12,-0.004685074137,0.003637560173,0.03985645407,-0.1594,0.009996765246,True,False,False,False,-0.004685074137,0.003637560173,0.03985645407,-0.1594,0.009996765246,True,False,False,False,False
SPX_90_45_30M_R18,SPX_90_45,SPX,30m/18m,0.9,0.45,30,18,-0.001451530562,0.003621840319,0.02451795951,-0.1018,0.009996765246,True,False,False,False,-0.001451530562,0.003621840319,0.02451795951,-0.1018,0.009996765246,True,False,False,False,False
