case,arm,dial,block_days,iv_premium,roll,treasury_leverage,horizon_years,paths,strategy,family,underlying,moneyness,premium_budget,mean_cagr,max_drawdown_median,worst_max_drawdown,prob_negative_cagr,prob_below_own_underlying,prob_below_sp500,cagr_p5,terminal_wealth_p5,cagr_p10,terminal_wealth_p10,cagr_p50,terminal_wealth_p50,cagr_p90,terminal_wealth_p90,cagr_p95,terminal_wealth_p95,max_drawdown_p90,max_drawdown_p95,prob_drawdown_worse_than_40,prob_drawdown_worse_than_50,prob_drawdown_worse_than_60,prob_drawdown_worse_than_75,mean_delta_exposure,mean_option_weight,treasury_notional,gross_notional,on_growth_frontier,on_robust_frontier,on_frontier,adjacent_lower_risk,prob_beat_adjacent_lower_risk
primary,baseline,none,63,0.03,12m,1,10,15000,NDX_95_25,NDX LEAPS,NASDAQ100_1X,0.95,0.25,0.153259823,-0.3765106459,-0.8090421073,0.026,0.5117333333,0.2658666667,0.02057947938,1.225903281,0.04443295843,1.544471274,0.1478796558,3.970832745,0.2704670009,10.9519531,0.3069693772,14.53767531,-0.5144654016,-0.5591714374,0.4010666667,0.1218,0.02413333333,0.0008,0.8939383412,0.2721091395,0.7278908605,1.620475296,False,False,False,,
primary,baseline,none,63,0.03,12m,1,10,15000,NDX_95_30,NDX LEAPS,NASDAQ100_1X,0.95,0.3,0.1667217617,-0.4266458973,-0.8607526346,0.0346,0.3794666667,0.2359333333,0.01225822462,1.12955114,0.03998196938,1.479908255,0.1600946193,4.414137305,0.3036935913,14.17743462,0.3473989773,19.71445909,-0.5733631706,-0.6216970431,0.6128666667,0.2456,0.06886666667,0.003466666667,1.060021234,0.3217011149,0.6782988851,1.737452823,False,False,False,NDX_80_35,0.5032
primary,baseline,none,63,0.03,12m,1,10,15000,NDX_95_35,NDX LEAPS,NASDAQ100_1X,0.95,0.35,0.1786286775,-0.4770084587,-0.8995423733,0.04606666667,0.3027333333,0.223,0.002872394726,1.029094047,0.03325448994,1.386926873,0.1709708837,4.845818405,0.3353463115,18.0205144,0.3852716497,26.01091998,-0.6315958108,-0.6793627982,0.7974,0.4178666667,0.1478666667,0.013,1.224116571,0.3702723264,0.6297276736,1.852514429,False,False,False,NDX_80_40,0.5304
primary,baseline,none,63,0.03,12m,1,10,15000,NDX_95_40,NDX LEAPS,NASDAQ100_1X,0.95,0.4,0.1890189691,-0.5263606357,-0.9333115555,0.06073333333,0.2754,0.2201333333,-0.008891794559,0.9145680532,0.02551423542,1.28647679,0.1797667132,5.222315483,0.3655649608,22.53919579,0.4218392812,33.75171501,-0.6861317496,-0.7335523842,0.912,0.5980666667,0.2687333333,0.03886666667,1.38667737,0.4181086053,0.5818913947,1.967007021,False,False,False,NDX_90_40,0.5966
primary,baseline,none,63,0.03,12m,1,10,15000,NDX_95_45,NDX LEAPS,NASDAQ100_1X,0.95,0.45,0.1979076918,-0.5736703462,-0.957521322,0.07506666667,0.2706,0.2272666667,-0.02148206323,0.8048238188,0.01702187004,1.183839669,0.1868784045,5.545751718,0.3954070267,27.97763495,0.4576346732,43.27757155,-0.7364832986,-0.7823300536,0.9667333333,0.7575333333,0.4122,0.08193333333,1.547810395,0.4652252545,0.5347747455,2.081292321,False,False,False,NDX_85_50,0.44
primary,baseline,none,63,0.03,12m,1,10,15000,NDX_95_50,NDX LEAPS,NASDAQ100_1X,0.95,0.5,0.2052878226,-0.6187953336,-0.9736664554,0.09066666667,0.2820666667,0.2385333333,-0.03635398008,0.6905535185,0.006981990806,1.072044717,0.1922606484,5.80239854,0.4237276687,34.202608,0.4916094353,54.48958505,-0.781855631,-0.8254965765,0.9894,0.8691333333,0.564,0.1512,1.709161741,0.5118934,0.4881066,2.195572458,False,False,False,NDX_85_50,0.562
primary,baseline,none,63,0.03,12m,1,20,15000,SP500_1X,index,SP500_1X,,,0.1123325932,-0.3878250611,-0.8406408759,0.001666666667,0,0,0.04959240539,2.632774069,0.06390323595,3.451775937,0.1123406911,8.409235073,0.1611703921,19.85724849,0.1740168366,24.74494561,-0.520787077,-0.566534731,0.4396,0.1328666667,0.0286,0.0009333333333,,,,,,,False,,
primary,baseline,none,63,0.03,12m,1,20,15000,NASDAQ100_1X,index,NASDAQ100_1X,,,0.1507160064,-0.5249953776,-0.9496384925,0.0056,0,0.1467333333,0.04941591175,2.623933948,0.07206572008,4.021871518,0.1500506586,16.38096265,0.2306130299,63.44978912,0.2547758411,93.61016609,-0.6870600242,-0.7329044547,0.9067333333,0.5951333333,0.2655333333,0.03833333333,,,,,,,False,NDX_90_35,0.2334
primary,baseline,none,63,0.03,12m,1,20,15000,SPX_80_25,SP500 LEAPS,SP500_1X,0.8,0.25,0.1206820487,-0.3374623744,-0.8033741105,0.0006,0.3688666667,0.3688666667,0.05927773035,3.163711262,0.07183018572,4.004236267,0.1195331147,9.566187369,0.1707111384,23.38810349,0.1857931924,30.21197085,-0.4482194385,-0.4879579164,0.2178,0.03913333333,0.004466666667,0.0001333333333,0.8927466388,0.2677181294,0.7322818706,1.624703603,False,True,True,,
primary,baseline,none,63,0.03,12m,1,20,15000,SPX_85_30,SP500 LEAPS,SP500_1X,0.85,0.3,0.1359178144,-0.400107362,-0.8591502929,0.0014,0.1582,0.1582,0.05845596326,3.114984445,0.07392973021,4.164063154,0.1340266276,12.37271597,0.1997536747,38.18051453,0.2185698443,52.120495,-0.5220161112,-0.5637125108,0.5006,0.1416666667,0.02446666667,0.0008666666667,1.175890997,0.3187966271,0.6812033729,1.856733452,False,False,False,,
